id,feature_type,DEPOSIT_NAME,longitude,latitude,geometry_name,geometry_type,STATE,OPERATING_STATUS,COMMODITY_NAMES,ENO,SYNONYMS,LONG_GDA94,LAT_GDA94,ACCURACY_M,COMMODITY_CODES,COMPANIES,COMPANY_WEBSITES,PROVINCES,GEOLOGIC_AGE,DEPOSIT_MODEL,LINKED_FILES
MineralDeposits.333863,Feature,Barbara - Surprise,121.2482,-30.9641,DEPOSIT_LOCATION,Point,WA,historic mine,Gold,333863,"Barbara, South Kalgoorlie Operations, Surprise",121.2482,-30.9641,500.0,Au,"Alacer Gold Corporation, Metals X Limited, Northern Star Resources Limited","http://www.alacergold.com/, http://www.metalsx.com.au/, http://www.nsrltd.com/","Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Norseman-Wiluna Belt",Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold",N
MineralDeposits.333865,Feature,Cape Flattery,145.2722,-14.9385,DEPOSIT_LOCATION,Point,QLD,mineral deposit,Silica sand,333865,,145.2722,-14.9385,500.0,Sisd,Diatreme Resources Limited,http://www.diatreme.com.au,Hodgkinson Province,,,N
MineralDeposits.333866,Feature,Galtee More,117.8312,-28.0127,DEPOSIT_LOCATION,Point,WA,historic mine,Gold,333866,Mt Magnet Project,117.8312,-28.0127,500.0,Au,Ramelius Resources Limited,http://www.rameliusresources.com.au/,"Yilgarn Craton, Big Bell Gold Metallogenic Province, Murchison Domain",Archean,,N
MineralDeposits.333815,Feature,Quartz Circle,120.1874,-21.665,DEPOSIT_LOCATION,Point,WA,mineral deposit,"Copper, (Gold)",333815,,120.1874,-21.665,1000.0,"Cu, (Au)","Cazaly Resources Limited, Corazon Mining Limited","http://corazon.com.au/, http://www.cazalyresources.com.au/",Pilbara Craton,Archean,,N
MineralDeposits.333869,Feature,Paradise South,139.112,-19.7571,DEPOSIT_LOCATION,Point,QLD,mineral deposit,"Phosphate, (Phosphorus oxide)",333869,Lady Annie,139.112,-19.7571,2000.0,"Phos, (P2O5)",Legend International Holdings Inc,http://www.lgdi.net,Georgina Basin,,"Environment: Basin chemical, Group: Phosphorite, Type: Phosphorite",N
MineralDeposits.333870,Feature,Lady Loretta,139.0702,-19.7686,DEPOSIT_LOCATION,Point,QLD,operating mine,"Zinc, Lead, (Silver)",333870,,139.0702,-19.7686,250.0,"Zn, Pb, (Ag)",Glencore Plc,http://www.glencore.com/,"Mount Isa Orogen, Century Domain, Lawn Hill Platform",Proterozoic,"Environment: Basin hydrothermal, Group: Sediment-hosted, Type: Siliciclastic-carbonate zinc-lead",N
MineralDeposits.333871,Feature,Marvel Loch,119.4926,-31.4646,DEPOSIT_LOCATION,Point,WA,historic mine,Gold,333871,Southern Cross Operations,119.4926,-31.4646,500.0,Au,"Shandong Tianye Real Estate, China Hanking Holdings Limited","http://www.sdtianye.com, http://www.hankingmining.com/?lang=en","Yilgarn Craton, Bounty Gold Metallogenic Province, Southern Cross Province, Southern Cross Domain (Youanmi Terrane)",Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold",N
MineralDeposits.333872,Feature,Mertondale Project,121.545,-28.6656,DEPOSIT_LOCATION,Point,WA,historic mine,Gold,333872,Leonora - Mertondale Project,121.545,-28.6656,999.0,Au,Patronus Resources,https://www.patronusresources.com.au/,"Yilgarn Craton, Darlot Gold Metallogenic Province, Eastern Goldfields Province, Norseman-Wiluna Belt",Archean,,N
MineralDeposits.333873,Feature,Mount Isa (Pb-Zn-Ag orebodies),139.4756,-20.7159,DEPOSIT_LOCATION,Point,QLD,operating mine,"Silver, (Zinc, Lead, Copper)",333873,Mt Isa,139.4756,-20.7159,100.0,"Ag, (Zn, Pb, Cu)",Glencore Xstrata plc,http://www.glencorexstrata.com/,"Mount Isa Orogen, Leichhardt River Domain, Leichhardt River Fault Trough",Paleoproterozoic,"Environment: Basin hydrothermal, Group: Sediment-hosted, Type: Siliciclastic-carbonate zinc-lead",N
MineralDeposits.333874,Feature,Norseman Project,121.7941,-32.1964,DEPOSIT_LOCATION,Point,WA,operating mine,"Gold, Silver",333874,Norseman Project,121.7941,-32.1964,999.0,"Au, Ag","Pantoro Ltd, Tulla Resources PLC, Mineral Resources","http://www.pantoro.com.au, https://tullaresources.com/, http://www.mineralresources.com.au/mrl-mining/lithium.html","Yilgarn Craton, Eastern Goldfields Province, Eastern Goldfields Superterrane, Kalgoorlie Gold Metallogenic Province, Kalgoorlie Terrane, Norseman-Wiluna Belt",Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold",N
