node_type,node_id,x,y
Company,comp_296,50.963078,-5.5549707
Company,comp_299,16.54448,-7.22207
Company,comp_300,31.381453,-8.65492
Company,comp_301,-8.47228,-11.372714
Company,comp_302,-18.650442,20.936882
Company,comp_303,-29.35727,21.365822
Company,comp_307,-18.07444,-3.8779087
Company,comp_309,-1.400228,-11.877233
Company,comp_312,4.726695,8.629948
Company,comp_315,-3.582719,17.074574
Company,comp_317,5.4966993,2.3287985
Company,comp_318,7.239053,11.02508
Company,comp_319,15.7019615,-31.313137
Company,comp_323,-28.19451,12.692317
Company,comp_324,44.73391,19.811522
Company,comp_326,13.788761,-10.813164
Company,comp_328,41.35493,2.1580963
Company,comp_332,1.9565516,2.0815504
Company,comp_334,41.645683,0.37225765
Company,comp_335,-0.6058275,5.260897
Company,comp_337,40.609356,0.69100416
Company,comp_338,30.585964,-22.505844
Company,comp_340,5.274262,7.531743
Company,comp_341,10.396081,19.50765
Company,comp_346,42.30656,0.017664216
Company,comp_347,42.06163,-14.464235
Company,comp_349,0.75529873,17.28273
Company,comp_350,1.1744671,18.66173
Company,comp_351,36.071205,-21.573446
Company,comp_356,16.243658,-30.387074
Company,comp_357,-31.83749,-0.36645582
Company,comp_360,-6.099452,33.379887
Company,comp_362,-29.608973,-24.874409
Company,comp_366,-29.830797,-24.791285
Company,comp_370,16.18324,8.081363
Company,comp_371,3.4813645,-0.26000297
Company,comp_375,43.99156,16.58237
Company,comp_376,-7.981593,21.889597
Company,comp_377,43.61302,18.493643
Company,comp_379,41.250717,5.507631
Company,comp_384,-26.14249,10.057969
Company,comp_385,-6.821779,-1.1988158
Company,comp_386,-9.16909,22.869347
Company,comp_388,16.846903,3.1854823
Company,comp_395,24.850914,0.5241397
Company,comp_400,6.710969,-9.871463
Company,comp_401,-28.192604,-6.3647027
Company,comp_406,1.6342413,13.249878
Company,comp_407,0.5639356,9.323303
Company,comp_408,8.742901,5.753223
Company,comp_410,35.52331,18.059397
Company,comp_411,22.207365,-22.540924
Company,comp_412,-6.7390304,-9.701947
Company,comp_420,-3.0317395,-1.238551
Company,comp_421,16.605106,45.093906
Company,comp_422,26.995718,-14.257784
Company,comp_423,-18.157265,-11.71073
Company,comp_425,21.368126,-24.030634
Company,comp_429,26.765276,-13.856476
Company,comp_430,32.971622,16.841175
Company,comp_431,15.488021,6.8103447
Company,comp_432,44.853237,15.660782
Company,comp_433,-8.02438,-17.913752
Company,comp_435,35.77065,-15.940378
Company,comp_438,18.372875,1.2744038
Company,comp_439,3.886521,8.223428
Company,comp_440,8.52268,5.8659077
Company,comp_441,25.202435,-15.802644
Company,comp_443,4.6929655,6.6496897
Company,comp_444,15.755996,0.5225133
Company,comp_445,0.72376364,-40.113583
Company,comp_450,7.243881,4.156207
Company,comp_452,8.70795,24.672276
Company,comp_454,43.556442,16.522911
Company,comp_458,17.666008,-29.382357
Company,comp_463,38.77739,2.9149618
Company,comp_465,-3.0407012,7.3922424
Company,comp_473,41.83086,2.083454
Company,comp_475,23.190826,-14.54323
Company,comp_477,18.670141,0.87118375
Company,comp_479,-8.116816,22.939772
Company,comp_481,31.799662,18.908766
Company,comp_482,-16.46798,-33.25308
Company,comp_485,16.759619,-33.315662
Company,comp_486,21.003256,-26.546604
Company,comp_487,4.738313,-4.6143312
Company,comp_488,-22.413078,20.77414
Company,comp_490,-17.979359,-12.609763
Company,comp_492,-27.452847,-5.4913335
Company,comp_493,-11.07258,5.346758
Company,comp_494,11.220315,10.483964
Company,comp_495,-8.5870075,8.199077
Company,comp_496,41.82882,18.192297
Company,comp_497,-8.3211355,-10.216192
Company,comp_498,35.895027,19.150005
Company,comp_499,3.5991578,9.257392
Company,comp_503,2.8206215,9.836792
Company,comp_505,20.032663,-29.698568
Company,comp_506,-11.053091,-17.536074
Company,comp_508,41.06202,-8.265378
Company,comp_511,45.678207,17.736729
Company,comp_517,42.027817,20.237085
Company,comp_518,15.584361,29.58669
Company,comp_521,10.503116,5.3756833
Company,comp_522,43.794464,17.104275
Company,comp_523,10.8301,19.241972
Company,comp_528,38.341946,-16.434223
Company,comp_531,2.5189593,17.1021
Company,comp_536,4.967844,9.261594
Company,comp_540,46.863472,-7.6924233
Company,comp_541,-21.629164,-16.630198
Company,comp_542,10.107984,19.838331
Company,comp_544,28.082598,-18.566666
Company,comp_547,12.92916,18.213348
Company,comp_550,-12.412422,1.3534912
Company,comp_553,3.5246468,16.482323
Company,comp_555,8.032399,3.4361808
Company,comp_556,31.378916,-9.51618
Company,comp_557,22.668383,-19.060371
Company,comp_558,63.355003,1.903472
Company,comp_562,4.1846614,15.726726
Company,comp_564,14.492204,-9.926015
Company,comp_566,26.765223,4.564242
Company,comp_570,6.2402716,4.820508
Company,comp_572,-58.469467,-13.805918
Company,comp_574,14.685232,-9.533992
Company,comp_577,1.5878059,18.217798
Company,comp_578,-11.694036,-9.954594
Company,comp_580,64.32188,1.6249061
Company,comp_587,12.630314,18.64122
Company,comp_588,10.983565,3.4989378
Company,comp_594,12.183631,-8.140629
Company,comp_596,-9.742992,20.63142
Company,comp_599,21.19384,5.797253
Company,comp_600,-7.7649918,33.661407
Company,comp_602,25.782425,3.5751512
Company,comp_607,14.53162,45.766712
Company,comp_612,-14.206768,6.715103
Company,comp_616,46.50724,17.776043
Company,comp_621,37.939026,-21.679752
Company,comp_628,-3.1709633,-1.3764704
Company,comp_631,-10.97292,2.51686
Company,comp_634,5.587675,1.5252438
Company,comp_635,11.729885,8.662871
Company,comp_643,4.863908,8.960393
Company,comp_646,-12.57178,2.040432
Company,comp_649,-4.7622557,14.908889
Company,comp_653,26.299536,1.0231382
Company,comp_655,35.843475,17.613907
Company,comp_660,-19.529593,14.664175
Company,comp_663,63.971973,2.9063
Company,comp_666,25.40276,18.31691
Company,comp_671,30.397495,-24.080727
Company,comp_675,37.97813,2.2186668
Company,comp_678,16.561724,-7.284262
Company,comp_681,-9.194292,-27.096016
Company,comp_682,25.529863,5.1247377
Company,comp_683,-9.816336,-12.486007
Company,comp_684,-29.03996,18.648333
Company,comp_685,20.319124,-2.7382693
Company,comp_690,-5.684733,-48.500927
Company,comp_696,13.578733,-11.378087
Company,comp_700,-0.3919148,17.406439
Company,comp_701,12.534255,3.300658
Company,comp_705,-5.042715,16.48357
Company,comp_709,6.4760275,-9.899939
Company,comp_713,9.726341,11.570062
Company,comp_714,-13.212464,-5.142792
Company,comp_716,13.234477,-9.518852
Company,comp_719,43.03478,2.4002001
Company,comp_721,34.399574,-22.768751
Company,comp_722,-27.417091,-4.698555
Company,comp_727,42.319664,0.08990491
Company,comp_728,-29.905039,16.343113
Company,comp_732,31.27077,-29.822447
Company,comp_735,13.469446,-9.406427
Company,comp_742,-3.0480022,5.1439037
Company,comp_743,24.87463,4.6377544
Company,comp_744,41.83129,3.3377976
Company,comp_745,0.53551835,13.859697
Company,comp_748,1.238186,18.559504
Company,comp_750,-3.0862532,5.378495
Company,comp_753,16.351562,-26.718897
Company,comp_754,-4.1208262,7.926384
Company,comp_755,3.5315895,-0.34999573
Company,comp_756,-9.375312,-13.197012
Company,comp_760,8.461069,12.541541
Company,comp_785,-10.233162,-2.1252766
Company,comp_806,20.779945,-45.953835
Company,comp_849,32.118015,17.51927
Company,comp_906,0.063957356,22.220732
Company,comp_1015,20.065977,-7.0952077
Company,comp_1016,-51.17379,10.508291
Company,comp_1028,32.531853,-22.752258
Company,comp_1043,0.2378094,-5.553524
Company,comp_1077,1.0631406,12.363054
Company,comp_1281,22.5803,29.586552
Company,comp_1556,18.568848,-46.46272
Company,comp_1557,30.198442,-22.850386
Company,comp_1589,8.288358,-16.817667
Company,comp_1594,12.960455,2.855553
Company,comp_1601,-4.428367,43.64308
Company,comp_1610,-26.896704,-3.6045108
Company,comp_1626,40.331314,-21.214197
Company,comp_1631,25.676863,-15.581371
Company,comp_1641,12.090972,-9.973021
Company,comp_1647,2.742858,6.6817393
Company,comp_1683,18.254261,-21.823614
Company,comp_1686,14.49306,-27.715454
Company,comp_1688,-19.473425,-9.374113
Company,comp_1689,22.547625,-5.9462824
Company,comp_1692,-2.234185,-22.511957
Company,comp_1740,33.812557,19.186893
Company,comp_1833,24.757393,4.795965
Company,comp_1885,-7.8102956,11.971249
Company,comp_1886,-7.9583516,-18.145718
Company,comp_1889,18.051945,-10.311295
Company,comp_1893,8.114133,9.242991
Company,comp_1912,3.2443202,5.285257
Company,comp_1916,4.4752793,4.4774055
Company,comp_1981,6.522399,10.0528965
Company,comp_2068,15.996246,7.689928
Company,comp_2096,21.14734,7.365746
Company,comp_2117,1.7353691,-35.56101
Company,comp_2246,6.729581,4.6024513
Company,comp_2270,6.0033193,28.355392
Company,comp_2366,10.047561,5.484117
Company,comp_2421,16.36584,-5.5775433
Company,comp_3060,-29.12701,16.871864
Company,comp_3119,-3.9041443,6.55143
Company,comp_3132,41.97233,2.1675107
Company,comp_3206,-3.87559,1.4368229
Company,comp_3424,30.39178,-13.381047
Company,comp_3947,-47.226387,13.895431
Company,comp_3949,13.606564,45.195232
Company,comp_3951,-6.8539834,-20.032063
Company,comp_3954,16.726974,-33.514614
Company,comp_3978,22.055397,-5.509055
Company,comp_4134,-6.8439374,-31.742208
Company,comp_4173,9.133183,-11.10838
Company,comp_4488,-18.032726,-12.163654
Company,comp_4564,-15.581872,-13.492043
Company,comp_4576,20.089571,3.3551219
Company,comp_5595,24.132431,21.347841
Company,comp_5599,5.0055184,2.8652012
Company,comp_5603,44.059162,28.280722
Company,comp_5607,34.145008,19.27854
Company,comp_5609,34.636818,19.691185
Company,comp_5611,45.835262,-6.453933
Company,comp_5614,-50.60899,16.414953
Company,comp_5618,42.778664,-7.888589
Company,comp_5619,34.322224,19.214981
Company,comp_5626,36.7308,4.982923
Company,comp_5628,1.4741433,-16.331018
Company,comp_5631,-36.945484,-12.061389
Company,comp_5635,8.019379,2.205352
Company,comp_5641,21.660923,-1.352696
Company,comp_5645,43.02937,16.100338
Company,comp_5646,-15.584015,-0.322184
Company,comp_5649,38.35221,-1.3778901
Company,comp_5653,27.712273,-3.6529968
Company,comp_5656,-12.647357,-2.4258888
Company,comp_5657,-47.993244,16.6892
Company,comp_5659,-20.153448,-42.63589
Company,comp_5660,24.543968,-15.088877
Company,comp_5666,-9.353304,49.62908
Company,comp_5668,24.284298,-8.5874195
Company,comp_5669,3.5497499,21.990053
Company,comp_5671,1.5730752,21.451834
Company,comp_5674,-27.425829,5.8208237
Company,comp_5676,33.85865,23.885248
Company,comp_5680,26.532011,-18.43722
Company,comp_5681,62.90341,1.8844403
Company,comp_5686,24.472454,23.493862
Company,comp_5687,61.291306,-0.9357656
Company,comp_5688,35.683407,-16.98105
Company,comp_5693,-10.555619,-20.549734
Company,comp_5697,-33.17378,-24.87607
Company,comp_5702,-23.236357,2.1142795
Company,comp_5704,-30.486557,-24.437635
Company,comp_5706,20.305773,4.868035
Company,comp_5715,25.969473,1.1395419
Company,comp_5718,16.324776,14.148877
Company,comp_5721,9.039205,-26.372347
Company,comp_5722,37.905056,-7.204729
Company,comp_5732,3.3173268,-16.782946
Company,comp_5743,29.795866,2.8257644
Company,comp_5746,22.094559,-28.332146
Company,comp_5752,25.60642,3.5282078
