Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
WSP CN Equity,WSP GLOBAL INC,CA,Common Stock,41.36B,17.90B,22.70B,73k,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,--,--
J US Equity,JACOBS SOLUTIONS,US,Common Stock,27.03B,17.45B,17.02B,--,Industrial Support Services,Professional Business Support Services,Professional Services,Research & Consulting Services,Engineering & Construction,Engineering Services,--,--
ACM US Equity,AECOM,US,Common Stock,26.60B,24.43B,17.38B,--,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,--,--
ATRL CN Equity,ATKINSREALIS GRO,CA,Common Stock,19.19B,10.70B,12.68B,--,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,Construction Engineering Svcs,--
STN CN Equity,STANTEC INC,CA,Common Stock,18.98B,6.49B,7.82B,--,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,--,--
SPIE FP Equity,SPIE SA,FR,Common Stock,14.41B,16.42B,16.71B,55k,Construction and Materials,Engineering and Contracting Services,Commercial Services & Supplies,Diversified Support Services,Engineering & Construction,Engineering Services,--,--
TTEK US Equity,TETRA TECH INC,US,Common Stock,14.37B,6.56B,6.07B,30k,Construction and Materials,Engineering and Contracting Services,Commercial Services & Supplies,Environmental & Facilities Services,Engineering & Construction,Engineering Services,Environmental Engineering Svcs,--
SPX LN Equity,SPIRAX GROUP PLC,GB,Common Stock,10.59B,3.23B,5.35B,--,Industrial Engineering,Machinery: Industrial,Machinery,Industrial Machinery & Supplies & Components,Engineering & Construction,Engineering Services,Ind & Traffic Engineering Svcs,--
443060 KS Equity,HD HYUNDAI MARIN,KR,Common Stock,9.91B,1.94B,1.26B,--,Industrial Transportation,Marine Transportation,Machinery,Construction Machinery & Heavy Transportation Equipment,Engineering & Construction,Engineering Services,--,--
2404 TT Equity,UNITED INTEGRATE,TW,Common Stock,9.42B,2.24B,2.30B,--,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,--,--
SWECB SS Equity,SWECO AB-B,SE,Common Stock,9.19B,4.40B,4.13B,21k,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,--,--
LTTS IN Equity,L&T TECHNOLOGY S,IN,Common Stock,7.65B,1.94B,1.81B,24k,Construction and Materials,Engineering and Contracting Services,Professional Services,Research & Consulting Services,Engineering & Construction,Engineering Services,Ind & Traffic Engineering Svcs,--
1735 HK Equity,CENTRAL NEW ENER,HK,Common Stock,7.29B,1.17B,931.79M,952,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,--,--
ARCAD NA Equity,ARCADIS NV,NL,Common Stock,7.07B,8.19B,6.53B,--,Construction and Materials,Engineering and Contracting Services,Professional Services,Research & Consulting Services,Engineering & Construction,Engineering Services,--,--
GBF GR Equity,BILFINGER SE,DE,Common Stock,6.47B,8.26B,5.80B,32k,Industrial Support Services,Industrial Suppliers,Commercial Services & Supplies,Diversified Support Services,Engineering & Construction,Engineering Services,--,--
DEME BB Equity,DEME GROUP,BE,Common Stock,5.59B,6.73B,9.16B,--,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,Environmental Engineering Svcs,--
000032 CH Equity,SHENZ SED IND-A,CN,Common Stock,5.57B,14.20B,15.57B,--,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,Ind & Traffic Engineering Svcs,--
EXPO US Equity,EXPONENT INC,US,Common Stock,5.31B,847.68M,1.25B,--,Construction and Materials,Engineering and Contracting Services,Professional Services,Research & Consulting Services,Engineering & Construction,Engineering Services,--,--
000967 CH Equity,INFORE ENVIRON-A,CN,Common Stock,4.79B,2.76B,6.56B,--,Industrial Engineering,Machinery: Industrial,Machinery,Industrial Machinery & Supplies & Components,Engineering & Construction,Engineering Services,Environmental Engineering Svcs,--
ATE FP Equity,ALTEN,FR,Common Stock,4.17B,6.80B,6.10B,6k,Software and Computer Services,Computer Services,IT Services,IT Consulting & Other Services,Engineering & Construction,Engineering Services,Ind & Traffic Engineering Svcs,--
300140 CH Equity,CECEP ENVIRONM-A,CN,Common Stock,4.01B,1.25B,6.76B,--,Electronic and Electrical Equipment,Electrical Components,Machinery,Industrial Machinery & Supplies & Components,Engineering & Construction,Engineering Services,Environmental Engineering Svcs,--
600629 CH Equity,ARCPLUS GROUP -A,CN,Common Stock,3.97B,1.79B,3.49B,--,Construction and Materials,Engineering and Contracting Services,Professional Services,Research & Consulting Services,Engineering & Construction,Engineering Services,--,--
600072 CH Equity,CSSC SCIENCE &-A,CN,Common Stock,3.91B,1.78B,10.65B,--,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,--,--
003035 CH Equity,CHINA SOUTHERN-A,CN,Common Stock,3.78B,664.82M,4.60B,--,Alternative Energy,Renewable Energy Equipment,Commercial Services & Supplies,Environmental & Facilities Services,Engineering & Construction,Engineering Services,Environmental Engineering Svcs,--
600720 CH Equity,CCCC DESIGN & -A,CN,Common Stock,3.70B,2.62B,6.81B,--,Construction and Materials,Cement,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,--,--
