Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
MRHI US Equity,MARIAH INTL-UTAH,US,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
1525Q CN Equity,VIRGINIA GOLD MN,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
2413479D US Equity,SOUTH AMERICAN M,US,Common Stock,--,--,--,--,Precious Metals and Mining,Gold Mining,--,--,Metals & Mining,Precious Metals,Gold,--
ALQN GR Equity,A25 GOLD PRODUCE,CA,Common Stock,--,--,--,--,Precious Metals and Mining,Gold Mining,--,--,Metals & Mining,Precious Metals,Gold,--
1863294D US Equity,WHOLE GOLD INTER,US,Common Stock,--,--,--,--,Investment Banking and Brokerage Services,Diversified Financial Services,--,--,Metals & Mining,Precious Metals,Gold,--
IROG US Equity,IRONWOOD GOLD CO,US,Common Stock,--,--,--,--,--,--,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
0694543D AU Equity,COWAL GOLD MINE,AU,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
1510926D KZ Equity,BAKYRCHIK MINING,KZ,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
1860884D US Equity,ALTO GROUP HLDS,US,Common Stock,--,--,--,--,Investment Banking and Brokerage Services,Diversified Financial Services,--,--,Metals & Mining,Precious Metals,Gold,--
1855217D CN Equity,GOLDMINCO CORP L,CA,Common Stock,--,--,--,--,Precious Metals and Mining,Gold Mining,--,--,Metals & Mining,Precious Metals,Gold,--
1848762D CN Equity,KARUS GOLD CORP,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
WRX AU Equity,PATRON RESOURCES,AU,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
1847605D CN Equity,EMERGING AFRICA,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
WSW SJ Equity,WEST WITWATERSRD,ZA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
WSCM CN Equity,WHITE STAR COPPE,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
