Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
CAEN US Equity,CALIF-ENGELS MNG,US,Common Stock,4.59M,--,--,--,Investment Banking and Brokerage Services,Diversified Financial Services,Paper & Forest Products,Forest Products,Metals & Mining,Mineral & Precious Stone Mining,--,--
MTX CN Equity,METALEX VENTURES,CA,Common Stock,4.56M,0,9.57M,--,Precious Metals and Mining,Platinum and Precious Metals,Metals & Mining,Precious Metals & Minerals,Metals & Mining,Mineral & Precious Stone Mining,--,--
OMGA CN Equity,OMEGA PACIFIC RE,CA,Common Stock,4.53M,--,610.96k,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
WSR CN Equity,WESTERN STAR RES,CA,Common Stock,4.50M,0,859.25k,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
ILC CN Equity,INTERNATIONAL LI,CA,Common Stock,4.50M,0,11.80M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Lithium
CPL CN Equity,COPPER LAKE RESO,CA,Common Stock,4.47M,0,2.85M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,--,--
PKO AU Equity,PEAKO LTD,AU,Common Stock,4.46M,0,177.28k,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
TBLL CN Equity,TOMBILL MINES LT,CA,Common Stock,4.35M,0,470.05k,--,Investment Banking and Brokerage Services,Diversified Financial Services,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
TMIN CN Equity,TEAKO MINERALS C,CA,Common Stock,4.35M,0,3.24M,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
GSPR CN Equity,GSP RESOURCE COR,CA,Common Stock,4.32M,0,3.06M,--,--,--,--,--,Metals & Mining,Mining Services,--,--
PLG AU Equity,PEARL GULL IRON,AU,Common Stock,4.30M,21.00k,10.17M,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Metals & Mining,Iron,Iron Ore Mining,--
TM1 LN Equity,TECHNOLOGY MINER,GB,Common Stock,4.28M,0,44.65M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
BTG MO Equity,BAYANTEEG JSC,MN,Common Stock,4.27M,--,--,--,--,--,--,--,Metals & Mining,Coal Mining,--,--
ISP CN Equity,INSPIRATION ENER,CA,Common Stock,4.23M,--,728.69k,--,Industrial Metals and Mining,Copper,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
TRAC CN Equity,TRACTION URANIUM,CA,Common Stock,4.22M,0,4.08M,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
NZP CN Equity,CHATHAM ROCK PHO,NZ,Common Stock,4.22M,0,7.66M,--,Precious Metals and Mining,Gold Mining,Chemicals,Fertilizers & Agricultural Chemicals,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Phosphate Rock
