Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
DG FP Equity,VINCI SA,FR,Common Stock,121.31B,118.85B,216.67B,284k,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,--,--
PWR US Equity,QUANTA SERVICES,US,Common Stock,87.78B,35.90B,30.21B,--,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,Energy Infra Construction,Power Plant Construction
LT IN Equity,LARSEN & TOUBRO,IN,Common Stock,86.28B,46.13B,71.09B,58k,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,--,--
FER SM Equity,FERROVIAL SE,NL,Common Stock,63.45B,15.00B,48.52B,22k,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,--,--
ALPHADHA UH Equity,ALPHA DHABI HOLD,AE,Common Stock,42.93B,26.18B,78.14B,--,General Industrials,Diversified Industrials,Industrial Conglomerates,Industrial Conglomerates,Engineering & Construction,Infrastructure Construction,--,--
788 HK Equity,CHINA TOWER CO-H,CN,Common Stock,40.36B,20.60B,73.72B,--,Telecommunications Service Providers,Telecommunications Services,Diversified Telecommunication Services,Integrated Telecommunication Services,Engineering & Construction,Infrastructure Construction,Communication Infra Const,Comm & Transmission Const
CLNX SM Equity,CELLNEX TELECOM,ES,Common Stock,36.72B,7.14B,73.07B,--,Telecommunications Service Providers,Telecommunications Services,Diversified Telecommunication Services,Integrated Telecommunication Services,Engineering & Construction,Infrastructure Construction,Communication Infra Const,Comm & Transmission Const
VTWR GR Equity,VANTAGE TOWERS A,DE,Common Stock,33.71B,1.10B,18.96B,533,Telecommunications Service Providers,Telecommunications Services,Diversified Telecommunication Services,Integrated Telecommunication Services,Engineering & Construction,Infrastructure Construction,Communication Infra Const,Comm & Transmission Const
ACS SM Equity,ACS,ES,Common Stock,33.06B,68.29B,70.32B,144k,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,--,--
390 HK Equity,CHINA RAIL GR-H,CN,Common Stock,27.15B,244.52B,499.76B,--,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,Transportation Infra Const,Railway & Subway Construction
1800 HK Equity,CHINA COM CONS-H,CN,Common Stock,26.40B,161.90B,411.61B,--,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,Transportation Infra Const,--
1038 HK Equity,CKI HOLDINGS,HK,Common Stock,25.62B,970.51M,32.85B,2k,"Gas, Water and Multi-utilities",Multi-Utilities,Electric Utilities,Electric Utilities,Engineering & Construction,Infrastructure Construction,--,--
EN FP Equity,BOUYGUES SA,FR,Common Stock,25.49B,93.09B,105.55B,--,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,--,--
MTZ US Equity,MASTEC INC,US,Common Stock,24.04B,18.66B,14.51B,36k,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,--,--
1186 HK Equity,CHINA RAIL CN-H,CN,Common Stock,21.45B,224.89B,412.62B,--,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,Transportation Infra Const,Railway & Subway Construction
601669 CH Equity,POWER CONSTRUC-A,CN,Common Stock,20.66B,133.72B,285.51B,--,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,Utility Line Construction,Electric Utility Line Const
3996 HK Equity,CHINA ENERGY E-H,CN,Common Stock,18.94B,92.03B,192.48B,--,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,Energy Infra Construction,--
KEP SP Equity,KEPPEL LTD,SG,Common Stock,18.80B,7.49B,32.71B,--,"Gas, Water and Multi-utilities",Multi-Utilities,Industrial Conglomerates,Industrial Conglomerates,Engineering & Construction,Infrastructure Construction,--,--
ENKAI TI Equity,ENKA,TR,Common Stock,16.80B,4.65B,16.62B,25k,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,--,--
STR AV Equity,STRABAG SE-BR,AT,Common Stock,16.73B,28.58B,24.55B,79k,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,Transportation Infra Const,--
INW IM Equity,INFRASTRUTTURE W,IT,Common Stock,16.72B,1.70B,15.87B,--,Telecommunications Service Providers,Telecommunications Services,Diversified Telecommunication Services,Integrated Telecommunication Services,Engineering & Construction,Infrastructure Construction,Communication Infra Const,Comm & Transmission Const
STRL US Equity,STERLING INFRAST,US,Common Stock,16.61B,3.21B,3.26B,--,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Infrastructure Construction,--,--
