Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
CAT US Equity,CATERPILLAR INC,US,Common Stock,331.37B,98.29B,141.90B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
SAND SS Equity,SANDVIK AB,SE,Common Stock,51.91B,17.62B,26.92B,41k,Industrial Engineering,Machinery: Tools,Machinery,Industrial Machinery & Supplies & Components,Machinery,Construction & Mining Machinery,--,--
6301 JP Equity,KOMATSU LTD,JP,Common Stock,51.39B,41.33B,61.71B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
034020 KS Equity,DOOSAN ENERBILIT,KR,Common Stock,43.41B,18.05B,28.78B,--,Industrial Engineering,Machinery: Industrial,Electrical Equipment,Heavy Electrical Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
600031 CH Equity,SANY HEAVY IND-A,CN,Common Stock,38.95B,16.52B,33.70B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
EPIA SS Equity,EPIROC AB-A,SE,Common Stock,37.47B,9.12B,12.21B,19k,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,--,--
000425 CH Equity,XCMG CONSTRUCT-A,CN,Common Stock,25.83B,19.32B,35.65B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
METSO FH Equity,METSO CORP,FI,Common Stock,17.71B,7.98B,11.74B,17k,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Mining Machinery & Equipment,--
WEIR LN Equity,WEIR GROUP PLC,GB,Common Stock,14.14B,4.86B,7.66B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Industrial Machinery & Supplies & Components,Machinery,Construction & Mining Machinery,Mining Machinery & Equipment,Mining Material Handling Equip
000157 CH Equity,ZOOMLION HEAVY-A,CN,Common Stock,13.79B,9.58B,27.40B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
OSK US Equity,OSHKOSH CORP,US,Common Stock,12.94B,16.27B,15.24B,--,Industrial Transportation,Commercial Vehicles and Parts,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
6305 JP Equity,HITACHI CONST MA,JP,Common Stock,10.40B,13.81B,19.14B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,--,--
601717 CH Equity,ZMJ GROUP CO L-A,CN,Common Stock,9.20B,7.81B,10.86B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Mining Machinery & Equipment,--
688425 CH Equity,CHINA RAILWAY -A,CN,Common Stock,6.10B,2.12B,5.92B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,--,--
FLS DC Equity,FLSMIDTH,DK,Common Stock,5.99B,4.44B,6.04B,6k,Construction and Materials,Building Materials: Other,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Mining Machinery & Equipment,--
603338 CH Equity,ZHEJIANG DINGL-A,CN,Common Stock,5.98B,1.64B,3.40B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
241560 KS Equity,DOOSAN BOBCAT IN,KR,Common Stock,5.80B,9.51B,13.21B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
HIAB FH Equity,HIAB OYJ,FI,Common Stock,5.75B,2.70B,4.10B,4k,Industrial Engineering,Machinery: Construction and Handling,Machinery,Industrial Machinery & Supplies & Components,Machinery,Construction & Mining Machinery,Construction Machinery,--
600582 CH Equity,TIAN DI -A,CN,Common Stock,5.25B,6.43B,12.68B,--,Industrial Engineering,Machinery: Industrial,Machinery,Industrial Machinery & Supplies & Components,Machinery,Construction & Mining Machinery,Mining Machinery & Equipment,--
TEX US Equity,TEREX CORP,US,Common Stock,5.17B,7.78B,9.26B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
000528 CH Equity,GUANGXI LIUGON-A,CN,Common Stock,4.80B,6.34B,10.61B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
631 HK Equity,SANY HEAVY EQUIP,CN,Common Stock,4.64B,4.62B,9.07B,8k,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Mining Machinery & Equipment,--
002097 CH Equity,SUNWARD INTELL-A,CN,Common Stock,3.81B,1.50B,4.64B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
042670 KS Equity,HD HYUNDAI INFRA,KR,Common Stock,3.29B,4.57B,4.69B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
000680 CH Equity,SHANTUI CONST-A,CN,Common Stock,3.19B,3.00B,4.05B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
1333 HK Equity,BRETON TECHNOL-H,CN,Common Stock,3.04B,133.91M,318.59M,372,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,--,--
WAC GR Equity,WACKER NEUSON SE,DE,Common Stock,2.94B,3.67B,4.16B,6k,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
600710 CH Equity,SUMEC CORP-A,CN,Common Stock,2.70B,24.69B,12.16B,--,Industrial Support Services,Industrial Suppliers,Trading Companies & Distributors,Trading Companies & Distributors,Machinery,Construction & Mining Machinery,Construction Machinery,--
6432 JP Equity,TAKEUCHI MFG CO,JP,Common Stock,2.64B,2.14B,2.33B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
002651 CH Equity,CHENGDU LEEJUN-A,CN,Common Stock,2.50B,163.58M,763.87M,--,Industrial Engineering,Machinery: Industrial,Machinery,Industrial Machinery & Supplies & Components,Machinery,Construction & Mining Machinery,Construction Machinery,--
3339 HK Equity,LONKING,CN,Common Stock,2.45B,2.15B,3.43B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
ACCE IN Equity,ACTION CONSTRUCT,IN,Common Stock,2.35B,603.77M,507.81M,1k,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
002685 CH Equity,WUXI HUADONG H-A,CN,Common Stock,1.97B,249.57M,674.30M,--,Industrial Transportation,Commercial Vehicles and Parts,Machinery,Industrial Machinery & Supplies & Components,Machinery,Construction & Mining Machinery,--,--
ENGCONB SS Equity,ENGCON AB,SE,Common Stock,1.89B,236.51M,162.38M,427,Industrial Engineering,Machinery: Specialty,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,--,--
267270 KS Equity,HD HYUNDAI CONST,KR,Common Stock,1.85B,3.82B,3.64B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
ASTE US Equity,ASTEC INDUSTRIES,US,Common Stock,1.66B,1.98B,1.69B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
002526 CH Equity,SHANDONG MININ-A,CN,Common Stock,1.54B,501.54M,1.13B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Mining Machinery & Equipment,Underground Mining Machinery
PON1V FH Equity,PONSSE OYJ,FI,Common Stock,1.42B,1.23B,942.15M,2k,Industrial Engineering,Machinery: Agricultural,Machinery,Agricultural & Farm Machinery,Machinery,Construction & Mining Machinery,Construction Machinery,--
6395 JP Equity,TADANO,JP,Common Stock,1.42B,2.92B,4.14B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
MTU FP Equity,MANITOU BF,FR,Common Stock,1.34B,4.36B,3.51B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
AJAXENGG IN Equity,AJAX ENGINEERING,IN,Common Stock,1.30B,376.36M,277.70M,487,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
002483 CH Equity,JIANGSU RAINBO-A,CN,Common Stock,1.29B,1.73B,2.34B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Industrial Machinery & Supplies & Components,Machinery,Construction & Mining Machinery,Construction Machinery,--
603861 CH Equity,GUANGZHOU BAIY-A,CN,Common Stock,1.23B,1.05B,2.22B,--,Electronic and Electrical Equipment,Electrical Components,Electrical Equipment,Electrical Components & Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
835174 CH Equity,HUNAN WUXIN TU-A,CN,Common Stock,1.15B,168.37M,245.15M,649,--,--,--,--,Machinery,Construction & Mining Machinery,--,--
300210 CH Equity,ANSHAN SENYUAN-A,CN,Common Stock,1.08B,47.80M,230.77M,--,Industrial Transportation,Transportation Services,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
600815 CH Equity,XIAMEN XGMA-A,CN,Common Stock,1.05B,144.00M,514.38M,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
300986 CH Equity,JIANGXI GETO N-A,CN,Common Stock,1.02B,532.40M,1.21B,--,Construction and Materials,Building Materials: Other,Metals & Mining,Aluminum,Machinery,Construction & Mining Machinery,Construction Machinery,--
603280 CH Equity,FUJIAN SOUTH H-A,CN,Common Stock,941.40M,211.03M,453.33M,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,--,--
300818 CH Equity,NAIPU MINING M-A,CN,Common Stock,877.50M,236.39M,569.82M,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Mining Machinery & Equipment,--
603012 CH Equity,SHANGHAI CHUAN-A,CN,Common Stock,816.59M,658.10M,1.71B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Mining Machinery & Equipment,--
GEA PW Equity,FAMUR,PL,Common Stock,795.06M,712.12M,1.50B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Mining Machinery & Equipment,Underground Mining Machinery
002535 CH Equity,LINZHOU HEAVY-A,CN,Common Stock,724.02M,354.78M,949.87M,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Industrial Machinery & Supplies & Components,Machinery,Construction & Mining Machinery,Const & Mining Mach Parts & Svcs,--
001360 CH Equity,NANCHANG MINER-A,CN,Common Stock,681.76M,163.80M,474.24M,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Mining Machinery & Equipment,--
300865 CH Equity,CHENGDU DAHONG-A,CN,Common Stock,627.70M,78.36M,228.29M,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Const & Mining Mach Parts & Svcs,--
001226 CH Equity,ANHUI TUOSHAN -A,CN,Common Stock,618.82M,126.71M,274.35M,--,Industrial Engineering,Machinery: Industrial,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Const & Mining Mach Parts & Svcs,--
002691 CH Equity,JIKAI EQUIP MA-A,CN,Common Stock,580.81M,80.65M,261.31M,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Mining Machinery & Equipment,Underground Mining Machinery
MTW US Equity,MANITOWOC CO,US,Common Stock,536.52M,3.30B,2.68B,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
300837 CH Equity,ZHE KUANG HEAV-A,CN,Common Stock,530.59M,137.63M,523.54M,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,--,--
6289 JP Equity,GIKEN LTD,JP,Common Stock,427.30M,298.26M,487.03M,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
300823 CH Equity,TJK INTELLIGE-A,CN,Common Stock,421.84M,95.08M,275.94M,--,Industrial Engineering,Machinery: Industrial,Machinery,Industrial Machinery & Supplies & Components,Machinery,Construction & Mining Machinery,Construction Machinery,--
SFPI FP Equity,GROUPE SFPI,FR,Common Stock,398.44M,1.09B,947.24M,4k,Construction and Materials,Building Materials: Other,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,Machinery,Construction & Mining Machinery,--,--
GENC US Equity,GENCOR INDS INC,US,Common Stock,336.45M,171.68M,303.91M,--,Industrial Engineering,Machinery: Industrial,Machinery,Industrial Machinery & Supplies & Components,Machinery,Construction & Mining Machinery,Construction Machinery,--
6306 JP Equity,NIKKO (ENGINEER),JP,Common Stock,327.31M,495.06M,681.17M,--,Industrial Engineering,Machinery: Construction and Handling,Machinery,Construction Machinery & Heavy Transportation Equipment,Machinery,Construction & Mining Machinery,Construction Machinery,--
