ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,GEOLOGIC_AGE,DEPOSIT_MODEL_ENVIRONMENT,DEPOSIT_MODEL_GROUP,DEPOSIT_MODEL_TYPE,PROVINCES,IGNEOUS,METALLOGENIC,SEDIMENTARY,TECTONIC
336035,Gabanintha Au-Cu Project,Gabanintha Project,WA,118.6444,-26.9179,historic mine,"Ni, Cu, Co",Au,"Nickel, Copper, Cobalt, (Gold)",Monument Mining Limited,Archean,Magmatic,Komatiite,Komatiite nickel-copper-PGE,"Yilgarn Craton, Murchison Province, Murchison Domain",Warakurna Large Igneous Province,,,"West Australian Element,Yilgarn Craton"
336037,Eloise,,QLD,140.9799,-20.9549,operating mine,"Cu, Ag, Au",,"Copper, Silver, Gold",AIC Mines Ltd,Mesoproterozoic,Regional metasomatic,Metasomatic iron,Iron sulfide polymetallic,"Mount Isa Inlier, Mount Isa Orogen, Selwyn Metallogenic Province, Soldiers Cap Domain",,,"Eromanga Basin,Karumba Basin","Mount Isa Orogen,North Australian Element,Soldiers Cap Domain"
336045,Ravenswood,,QLD,146.88,-20.0969,operating mine,Au,Ag,"Gold, (Silver)","EMR Capital Group, Golden Energy and Resources Limited",,Magmatic hydrothermal,Intrusion-related,Oxidized intrusion-related gold,"Charters Towers Province, Lolworth-Ravenswood Block, Ravenswood, Ravenswood Igneous Subprovince",,,,"Charters Towers Province,Tasman Element,Thomson Orogen"
336047,Yallourn,"East Field, Maryvale Field, Yallourn East, Yallourn Township",VIC,146.3604,-38.1951,operating mine,Cbr,,Coal - brown,"CLP Holdings, TRU Energy",Cenozoic,,,,Gippsland Basin,,,"Gippsland Basin,Selwyn Province","Lachlan Orogen,Melbourne-Mathinna Zone,Tasman Element"
336049,Emerald - Rumour,Chatterbox Shear Project,WA,122.3119,-28.668,mineral deposit,Au,,Gold,Focus Minerals Limited,Archean,,,,"Yilgarn Craton, Eastern Goldfields Province",,Windarra Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
336050,Clarence,includes Blue Mountains,NSW,150.2439,-33.4565,operating mine,Cbl,,Coal - black,Banpu Public Company Limited,,,,,Sydney Basin,,,Sydney Basin,"Eastern Province,Lachlan Orogen,Tasman Element"
336051,Lock,,SA,135.5818,-33.5614,mineral deposit,Cbl,,Coal - black,Energy Exploration Ltd,,,,,Polda Basin,,,"Eucla Basin,Polda Basin","Gawler Craton,South Australian Element"
336052,Merlin,"Excalibur, Launfal, Palomides, Sacramore, Tristram, etc",NT,136.3451,-16.848,feasibility,Dmd,Dmdg,"Diamond - undifferentiated, (Diamond - gem and cheap gem)",Lucapa Diamond Company Limited,,Magmatic,Kimberlite,Kimberlite diamond,McArthur Basin,,,"Georgina Basin,McArthur Basin",North Australian Element
336054,Lake Rebecca Nickel,"Mulgabbie?, North Rebecca, South Rebecca",WA,122.357,-30.0655,mineral deposit,"Ni, Co",,"Nickel, Cobalt",Ardea Resources Limited,Cenozoic,,,,"Yilgarn Craton, Eastern Goldfields Province",,,Rebecca Paleovalley,"West Australian Element,Yilgarn Craton"
336057,Mount Ararat,"Ararat, Mt Ararat",VIC,142.8679,-37.3129,mineral deposit,"Cu, Ag","Au, Zn","Copper, (Gold, Silver, Zinc)",Stavely Minerals Limited,Paleozoic,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Mafic-siliciclastic VMS,"Lachlan Orogen, Grampians-Stavely Zone, Heathcote Igneous Province",,,,"Lachlan Orogen,Stawell Zone,Tasman Element"
