Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total number of WA Staff (including long term contractors),Number of truck drivers employed in WA,Total number of National Staff (including long term contractors),Number of trucks e.g asset base/fleet/number of pieces of equipment,Tonnes moved (annually),Number of branches/depots in WA,Branch Locations (suburb/town only),Footprint (in sqm),Number of Branches/Depots Interstate,Core Services: Regions Covered,Core Services: Industries Covered,Notable clients,WA Revenue most recent financial year,Is the organisation headquartered in WA?,Ultimate holding company
Northline,,27,"Brett Williams(Regional Manager, West)",1983,,,,,,2,"Adelaide, Melbourne, Sydney, Brisbane, Mackay,…Adelaide, Melbourne, Sydney, Brisbane, Mackay, Townsville, Cairns, Darwin, Katherine, Tennant Creek, Alice Springs, Perth and Broome.","13 branches nationally with over 110,000 m2 of…13 branches nationally with over 110,000 m2 of warehousing space across 8 national locations.",13,Domestic and international,"National Freight Management, Warehouse &…National Freight Management, Warehouse & Distribution, International Freight Management, Special Projects",,,,
Allwest Transport Service,71,,Michael Harders(Managing Director),1995,10,,,,,1,Forrestfield,,,Western Australia,"Local metropolitan haulage, heavy haulage,…Local metropolitan haulage, heavy haulage, oversize loads, shipping container logistics trailer, prime mover and telehandler hire","Sandvik, UGL, RCR Tomlinson, United Steel, Pindan…Sandvik, UGL, RCR Tomlinson, United Steel, Pindan Group",,Yes,
Toll Group,2,1,Thomas Knudsen(Managing Director),1980,NFP,,,"1,000",,130,All capital cities and major regional centres,More than 130 depots across the state,,"WA Country, interstate, global logistics",Transport and logistics,,$1.00bn,,Japan Post
WA Fuel,,,"Andrew Glover(Founder, Director)",,,,,,,2,"Kwinana, Kalgoorlie",,,,,,,Yes,
Silk Contract Logistics,,,Wayne Plecas(WA & SA State Manager),,,,492,,,1,"Derrimut, Port Melbourne, Erskine Park, Lytton,…Derrimut, Port Melbourne, Erskine Park, Lytton, Greenfields, Canning Vale.",,5,,,,,,
WA Universal Rigging & Cranes,,,Aaron Holding(General Manager),1985,,,,,,,,,,,,,,Yes,
G.H Country Courier,,,Raymon Proudlove(Managing Director),,,,,,,1,Geraldton,,,Western Australia,,,,Yes,
Australia Post,1,,,1975,"2,950",,,,,,,,,,,,,,
Austwide Storage and Logistics,,,,,,,,,,,,,,,,,,,
Coogee Freight Services,64,51,Paul Yakas(Managing Director),2007,20,,,,,2,Bibra Lake,,,Western Australia,"Mining, agriculture, wharf",,,Yes,
GBI Group,34,,Mark Gibson(Managing Director),1959,110,,,,,3,,20000m2,,Western Australia,Distributor of quality whitegoods and products to…Distributor of quality whitegoods and products to retailers and commercial markets. 3pl (Third Party Logistics) services.,,,Yes,
Armaguard,15,10,Mick Cronin(Chief Executive Officer),1962,350,,3000,,,4,,,38,Right across Australia,"CIT, precious cargo, FLM, SLM, security",,,Yes,
EES Shipping,66,50,Brian Hack(Managing Director),1986,20,,,6,,1,Cockburn Central,2500,,Primarily WA,International Freight Forwarding & Customs Broking,,,Yes,
3PL Warehouse Solutions Perth,73,81,Gerri Ranieri(Director),2020,9,,9,,,1,Cockburn Central,,,Perth; Western Australia,Warehouse storage; pallet storage; container…Warehouse storage; pallet storage; container inward clearing and receival; pick and pack; logistics; freight on-forwarding; distribution.,,NFP,Yes,
Chess Moving Perth,53,53,Nick D'Adamo(Chief Executive Officer),1977,NFP,,400,20,,1,Canning Vale,5000m2,11,Household Moving. Business Relocations. Library…Household Moving. Business Relocations. Library Relocations. Factory Relocations. Storage.,Removals storage and logistics,,$6.50m,Yes,
LR Logistics,43,,Andrew Lye(Managing Director),2013,72,55,85,47,8800,2,Wangara/Newman/Brisbane/Mackay,6500sqm,2,Australia Wide,Time Critical Transport,,,Yes,LR Hotshots Pty Ltd
Sadleirs,25,8,David Cole(Chief Executive Officer),1895,204,,350,,,4,,,6,"Australia, Worldwide","Australian Interstate Logistics, Regional Freight…Australian Interstate Logistics, Regional Freight, Warehousing + 3PL , Global Freight Forwarding, Project Cargo, Customs Brokerage, Packaging Products & Services and customised business solutions.","Chevron, Aldi",$200.00m,Yes,RC Sadleir Pty Ltd
Adlam Transport,51,50,Paul Adlam(Managing Director),1990,40,,,,,2,Perth & Karratha,,,Australia,Removals and Storage,,,Yes,
Bis,7,3,Simon Atkinson(Chief Executive),1915,"1,000",,1700,,,5,"Perth WA, Welshpool WA, Brisbane QLD, Mackay QLD,…Perth WA, Welshpool WA, Brisbane QLD, Mackay QLD, Newcastle NSW, Sydney NSW, Port Kembla NSW, Whyalla SA, Launceston TAS, Jakarta Indonesia",,10,"Australia, Indonesia","Off-road Load and Haul, Specialised Logistics,…Off-road Load and Haul, Specialised Logistics, Large Scale Infrastructure, Crushing and Mineral Extraction, Underground Equipment Services, Site Services",,,Yes,Carlyle and Varde Partners
Hampton Transport Services,13,10,Bart Jones(Managing Director),1977,353,,,,,2,"Kalgoorlie, Muchea",,,Most areas of Australia. Expertise in remote…Most areas of Australia. Expertise in remote transport.,"Mining and civil, heavy haulage, ore cartage…Mining and civil, heavy haulage, ore cartage,potable water, Drill & Blast",,,Yes,
