Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total number of WA Staff (including long term contractors),Number of truck drivers employed in WA,Total number of National Staff (including long term contractors),Number of trucks e.g asset base/fleet/number of pieces of equipment,Tonnes moved (annually),Number of branches/depots in WA,Branch Locations (suburb/town only),Footprint (in sqm),Number of Branches/Depots Interstate,Core Services: Regions Covered,Core Services: Industries Covered,Notable clients,WA Revenue most recent financial year,Is the organisation headquartered in WA?,Ultimate holding company
Matic Group,10,8,Danny Matic(Managing Director),2002,NFP,NFP,535,"1,100",,14,"Bibra Lake 1 - 7, Hope Valley, Geraldton,…Bibra Lake 1 - 7, Hope Valley, Geraldton, Karratha, Tom Price, Newman, Darwin, Alice Springs, Adelaide",17 Depots,3,"Western Australia, Northern Territory, South…Western Australia, Northern Territory, South Australia","Pneumatic Tankers, Heavy Haulage, PUD, Express…Pneumatic Tankers, Heavy Haulage, PUD, Express Freight, Hot Shots, HME Tyres Transportation & Storage, Specialised & DG, Project Logistics, Storage, General Freight, Lead Logistics Provider (LLP)","Rio Tinto Iron Ore, Adbri, Cockburn Cement,…Rio Tinto Iron Ore, Adbri, Cockburn Cement, Northern Cement, Boral Australia, Summit Fertilizers, Natrio",,Yes,Matic Transport Pty Ltd
Allied Moving Services,29,22,Tony Donellan(Director Moving Services AU/NZ),1980,155,40,600,105,,8,"Perth, Kalgoorlie, Albany, Bunbury, Karratha,…Perth, Kalgoorlie, Albany, Bunbury, Karratha, Newman, Broome, Port Hedland",42 branches,42,Global,Relocation services,,,,SIRVA Inc
CTI Logistics,5,3,David Watson(Executive Chair),1973,"1,020",243,1290,760,,20,"West Perth, Bibra Lake, Welshpool, Bassendean,…West Perth, Bibra Lake, Welshpool, Bassendean, Kewdale, Hazelmere, Forrestfield, Bunbury, Albany, Karratha, Broome, Altona, Laverton, Truganina, Ormeau, Cardiff, Gregory Hills, Ingleburn, Edinburgh, Wingfield, Berrinba, Geraldton, Kalgoorlie, Port Hedland","533,500 sqm",10,"Western Australia, NSW, Victoria, Queensland and…Western Australia, NSW, Victoria, Queensland and South Australia","Transport, warehousing, distribution and supply…Transport, warehousing, distribution and supply chain logistics",,$321.16m,Yes,CTI Logistics Limited
Watco Australia,36,,Gavin Bignell(Managing Director),2011,100,,400,,,4,"Kalgoorlie, Rockingham, Fremantle Forrestfield",,6,Regions services by Arc Infrastructure and…Regions services by Arc Infrastructure and Queensland Rail networks,"Intermodal Freight, Mining, Grain, Rail…Intermodal Freight, Mining, Grain, Rail Infrastructure and Livestock",,,Yes,
Countrywide Fridge Lines,60,,Thomas Tsouris(Managing Director),2005,25,13,25,41,,1,Maddington,,,"Gascoyne, Goldfields-Esperance, Great Southern,…Gascoyne, Goldfields-Esperance, Great Southern, Mid West, Pilbara, South West","Refrigerated freight, general freight, dangerous…Refrigerated freight, general freight, dangerous goods",,,Yes,
KTrans,16,17,Wade Jolly(Managing Director),1998,320,240,,700,,4,"Kenwick (WA) , Welshpool (WA) and Karratha (WA)",140000sqm,,Australia wide,"Specialists in 3PL contract linehaul, bulk waste…Specialists in 3PL contract linehaul, bulk waste transport, contract mine services, container unpacks and wharf cartage, Bulk Gas and General Transport and Distribution",,,Yes,
LINX Cargo Care Group,24,18,,2016,208,,"3,200",,,8,"Dampier, Geraldton, Fremantle, Bunbury, Albany,…Dampier, Geraldton, Fremantle, Bunbury, Albany, Esperance",8 depots,27,,"Mining, agriculture, oil & gas, bulk products,…Mining, agriculture, oil & gas, bulk products, motor vehicles, wood/fibre",,,,
REGROUP,17,,Michael Still(Managing Director),2006,300,220,350,500,24000000,4,"Port Hedland, Derby, Perth, Kumarina, Mt Isa",100000,1,"WA, QLD","Mining, Civils, Bulk Haulage, Logistics,…Mining, Civils, Bulk Haulage, Logistics, Renewables","Newmont, Greatland, MRL, SO4, Element 25,…Newmont, Greatland, MRL, SO4, Element 25, Glencore, Austral Resources, Han Roy, FMG, Kimberley Mineral Sands, Strandline Resources, Goldfields, BHP, CTI Logistics, South 32",$140.00m,Yes,
Geodis Australia,63,53,"Stuart Littlefair(General Manager, WA)",,NFP,,,,,,,,,Worldwide,"Freight Forwarding, Customs Brokerage, Warehousing",,,,
Mattben Pty Ltd TAs Freight Lines Group,20,17,Michael Harding(Managing Director),1989,260,123,260,180,,8,"Esperance, Welshpool, Kewdale, Ravensthorpe,…Esperance, Welshpool, Kewdale, Ravensthorpe, Geraldton, Kalgoorlie, Albany, Denmark","Perth, Geraldton, Albany, Esperance, Ravensthorpe…Perth, Geraldton, Albany, Esperance, Ravensthorpe, Kalgoorlie",,"Perth, Midwest, Goldfields-Esperance, South West,…Perth, Midwest, Goldfields-Esperance, South West, Great Southern, Pilbara","General freight, FMCG, mining transport, bulk…General freight, FMCG, mining transport, bulk agricultural transport, Fuel transport.","CBH, CSBP, Woolworths, Kmart, FQM, IGA's, Nufarm,…CBH, CSBP, Woolworths, Kmart, FQM, IGA's, Nufarm, Nutrien, 29 Metals, Galaxy Metals, Lynas Rare Earth, Evolution Mining",$140.00m,Yes,Mattben Pty Ltd
Antrak Logistics,58,,"Ted Del Borello(General Manager, Operations )",1995,28,,,,,1,,,,Western Australia,Global transport & logistics services specific to…Global transport & logistics services specific to the mining & resource sectors,"Newmont, Endeavour Mining, Perseus Mining,…Newmont, Endeavour Mining, Perseus Mining, Fortescue, Lycopodium, Ausenco",NFP,Yes,Ceva Logistics
Prime Global Logistics,67,59,"Mundi Puvanendran(Founder, Managing Director)",2016,17,,25,,,1,"Welshpool (WA), Hemmant (QLD)",10500sqm,1,Global,Global Logistics,"Pilbara Minerals, Minerals Resources, Strandline…Pilbara Minerals, Minerals Resources, Strandline Resources, Primero Group",,Yes,Prime Global Logistics
Fuel Distributors of Western Australia,28,23,Craig Burrows(Managing Director),1999,165,,,92,600000,8,"Kwinana, Moora, York, Pingelly, Narrogin, Wagin,…Kwinana, Moora, York, Pingelly, Narrogin, Wagin, Albany, Bunbury",,,"Southern half of WA, servicing Albany to…Southern half of WA, servicing Albany to Geraldton and across to Kalgoorlie","Primary producer, transport, earthmoving, marine,…Primary producer, transport, earthmoving, marine, retail",Chevron,,Yes,
Ashburton Crane Hire,54,,Guy Black(Managing Director),2005,NFP,6,,35,1000,2,High Wycombe and Port Hedland,2,,"Perth Metro, Wheatbelt, Pilbara","Construction, maintenance, crane hire, riggers,…Construction, maintenance, crane hire, riggers, transport",,NFP,Yes,Blaize Holdings PTY LTD
Goldstar Transport,11,16,Sean Carren(Managing Director),2004,470,,,650,,10,Kewdale,"Transport yard, office and warehouse, 9 offsite…Transport yard, office and warehouse, 9 offsite locations",,"Perth metropolitan, regional Western Australia…Perth metropolitan, regional Western Australia and selected interstate routes.","Diversified transport services in Perth metro and…Diversified transport services in Perth metro and regional Western Australia with an extensive fleet servicing clients in the FMCG, retail, mining, steel, container, warehousing, construction and agricultural industries.","Coca Cola Europacific Partners, Woolworths,…Coca Cola Europacific Partners, Woolworths, Mineral Resources, Air Liquide, Bluescope Steel, Ceva Logistics, GR Engineering Services, Kimberley Clark, SSAB, Coates Hire, CBH, Iplex, Capral, Vault Minerals, Monde Nissin",,Yes,
MLG Oz,4,,"Murray Leahy(Founder, Chief Executive, Managing Director)",2002,"1,375",,1400,"1,250",,32,,,1,"Pilbara, Murchison, Goldfields, Esperance,…Pilbara, Murchison, Goldfields, Esperance, Wheatbelt, Perth, South west and the Northern Territory",Mining,"Northern Star Resources, Gold Fields, Ramelius…Northern Star Resources, Gold Fields, Ramelius Resources, Westgold, Newmont Corporation, Evolution Mining, Vault Limited, Genesis Minerals, Fortescue, Ora Banda Mining, Roy Hill",,Yes,
Instatruck,72,,Anthony Tascone(Chief Executive),2015,10,20,,,,,"Perth, WA",,,,,,,Yes,
PEP Transport,,,Tabita Trewin(General Manager of Sales and Service),1968,,,,,,6,"Kewdale, Kalgoorlie and Mackay",,1,"Parcels, Couriers, Rapid Express Couriers, Taxi…Parcels, Couriers, Rapid Express Couriers, Taxi Trucks, 3pl Warehousing and 24/7 Hotshots.","All industry areas – including transport, mining,…All industry areas – including transport, mining, resources, energies, medical, hospital, construction, hardware, government, hospitality, consumer industries, wholesale/ retail, supermarkets.",,,Yes,
Campbell Transport,22,,"David Campbell(Founder, Managing Director )",1997,250,,,120,,4,"Perth, Jerramungup, Port Hedland, Esperance.",,,"Great Southern, Southern, Pilbara.","Agricultural, mining, food, industrial,…Agricultural, mining, food, industrial, automotive and machinery.",,,Yes,
Fyfe Transport,,,,,,,,,,,,,37,,,,,,
Lindsay Australia,,,Clay McDonald(Chief executive),,100,,,210,,,,10000,,,,,,,
Frontier Helicopters,,,,,,,,,,,,,,,,,,,
