Ticker,LONG_COMP_NAME,CIE_DES_BULK
603876 CH Equity,Jiangsu Dingsheng New Energy Materials Co Ltd,"Jiangsu Dingsheng New Energy Materials Co., Ltd. manufactures aluminumproducts. The Company mainly produces and sells aluminum plates,strips, foils, and other products. Jiangsu Dingsheng New EnergyMaterials also exports aluminum products."
AAU/H CN Equity,AndeanGold Ltd,
WENTEL MK Equity,WENTEL ENGINEERING HOLDINGS BHD,
ACP LN Equity,Armadale Capital PLC,
KIW LN Equity,Kiwara Ltd,
688678 CH Equity,Freewon China Co Ltd,
HIG AU Equity,Highlands Pacific Ltd,
LRC AU Equity,Kingsgate Chile NL,Laguna Resources NL explores for gold and silver in Latin America.
NANO CN Equity,Nano One Materials Corp,
HK CN Equity,Huakan International Mining Inc,
PRE LN Equity,Pensana PLC,
KRM AU Equity,Kingsrose Mining Ltd,Kingsrose Mining Ltd. is a gold exploration and production company. The Companyhas interests in the Way Linggo Gold Project in Southern Sumatra.
GYG/H CN Equity,Guyana Frontier Mining Corp,
SRL US Equity,Scully Royalty Ltd,"Scully Royalty Ltd. operates as an integrated merchant banking company. TheCompany offers structured, trade, and inventory financing, as well as factoringforfaiting, risk management, and strategic consulting services. Scully Royaltyserves customers globally."
IBC/H CN Equity,International Bethlehem Mining Corp,
MTL LN Equity,Metals Exploration PLC,
HZM LN Equity,Horizonte Minerals PLC,
GTR CN Equity,Gatling Exploration Inc,
605128 CH Equity,Shanghai Yanpu Precision Technology Group Co Ltd,
LAI/X CN Equity,La Imperial Resources Inc,
ENGC EY Equity,Engineering Industries ICON,
AALI/H CN Equity,Advance Lithium Corp,
OKU AU Equity,Oklo Resources Ltd,
ZIOC LN Equity,Zanaga Iron Ore Co Ltd,
KGD AU Equity,Kula Gold Ltd,Kula Gold Limited is a mineral exploration company. The Company focuses ongold projects in Western Australia. Kula Gold owns land positions withgeological structures positioned near to major gold mines.
NINK US Equity,NAMI Corp,
600058 CH Equity,Minmetals Development Co Ltd,"Minmetals Development Co., Ltd imports and exports metals and minerals. TheCompany imports rolled steel, ore sand, and steel billets, and exports coke,coal, iron, bolognian stones, and other minerals.  Minmetals Development alsoprovides freight transportation service and manages hotels."
DUR/H CN Equity,Delta Uranium Inc,
DER/H CN Equity,Desert Eagle Resources Ltd,
603527 CH Equity,Anhui Zhongyuan New Materials Co Ltd,"Anhui Zhongyuan New Materials Co., Ltd. operates as a copper productsmanufacturing company. The Company produces and sells high precision purplecopper belts, copper rings, and other products. Anhui Zhongyuan New Materialmarkets its products throughout China."
PRH AU Equity,Bifox Ltd,
FEAM US Equity,5E Advanced Materials Inc,"5E Advanced Materials, Inc. provides boron specialty advanced materials. TheCompany offers materials with a focus on global decarbonization, clean energytransition, proliferation of electric transportation, and growing concerns overfood security. 5E Advanced Materials serves customers worldwide."
NQ CN Equity,Northquest Ltd,
DNO CN Equity,Dinero Ventures Ltd,
MTM AU Equity,Metallium Ltd,"Metallium Limited operates as an exploration company. The Company focuses onthe gold, niobium, rare earth elements, and other minerals exploration, as wellas metal recovery technology development. Metallium serves customers worldwide."
LRV AU Equity,Larvotto Resources Ltd,Larvotto Resources Limited provides exploration and mining services. The Companyexplores and develops copper and gold projects. Larvotto Resources servescustomers worldwide.
2223857D CN Equity,Windstorm Resources Inc,
LAT AU Equity,Latitude 66 Ltd,Latitude 66 Ltd provides mining services. The Company explores and developsprojects for gold and critical minerals in mining jurisdictions in Finland andAustralia. Latitude 66 serves customers worldwide.
LIF CN Equity,Labrador Iron Ore Royalty Corp,
SCOT CN Equity,Scottie Resources Corp,
