Ticker,LONG_COMP_NAME,CIE_DES_BULK
1986986D LN Equity,BHP Group UK LTD,
1378 HK Equity,China Hongqiao Group Ltd,"China Hongqiao Group Ltd. manufactures aluminum products. The Company'saluminum products consist of molten aluminum alloy, aluminum alloy ingots andaluminum busbars."
ANTO LN Equity,Antofagasta PLC,
HNDL IN Equity,Hindalco Industries Ltd,
BHP AU Equity,BHP Group Ltd,"BHP Group Limited manufactures base metals. The Company offers copper, ironore, metallurgical coal, nickel, and potash metals for global economic growthinfrastructure to energy transition used in household, steel products, foodsupply chain, and lithium batteries that power the electric vehiclerevolutions. BHP Group serves customers worldwide."
MP US Equity,MP Materials Corp,"MP Materials is a fully integrated rare earth producer with capabilitiesspanning the entire supply chain-from mining and processing to metallizationand permanent magnet manufacturing. The company's products support thetransportation, energy, robotics, defense, and aerospace industries."
IVN CN Equity,Ivanhoe Mines Ltd,
RIO AU Equity,Rio Tinto Ltd,"Rio Tinto Limited operates as a mining company. The Company produces iron orefor steel and aluminium for cars and phones, as well as copper for windturbines. Rio Tinto serves customers worldwide. Dually-listed company with RIOLN."
RBC US Equity,RBC Bearings Inc,
MT NA Equity,ArcelorMittal SA,
BOL SS Equity,Boliden AB,
SCCO US Equity,Southern Copper Corp,"Southern Copper Corporation conducts mining operations in Peru and Mexico.The Company owns and operates open pit mines and metallurgical complexes thatproduce copper, molybdenum, zinc, and precious metals."
2059 TT Equity,King Slide Works Co Ltd,
5401 JP Equity,Nippon Steel Corp,"Nippon Steel Corporation manufactures steel products. The Company mainlyproduces and sells steel plates, steel pipes, structural steel, and more. NipponSteel also offers chemicals, new materials, and other products."
2002 TT Equity,China Steel Corp,
RIO LN Equity,Rio Tinto PLC,
AA US Equity,Alcoa Corp,"Alcoa Corporation manufactures metal products. The Company produces andsells bauxite, alumina, and aluminum products. Alcoa serves aluminum industryworldwide."
HZ IN Equity,Hindustan Zinc Ltd,
5411 JP Equity,JFE Holdings Inc,"JFE Holdings, Inc. operates as a holding company which established throughthe merger of NKK Corp and Kawasaki Steel Corp. The Company manages andconducts its subsidiaries' business, which conducts steel production andintegrated engineering businesses. JFE Holdings conducts businesses in Japan."
FCX US Equity,Freeport-McMoRan Inc,"Freeport-McMoRan Inc. is an international natural resources company. The Companyoperates large, long-lived, geographically diverse assets with significantreserves of copper, gold, molybdenum, cobalt, oil, and gas."
ACF AU Equity,Acrow Ltd,"Acrow Limited provides engineered industrial and construction services. TheCompany offers formwork, scaffolding, falsework and shoring, and screensolutions to residential, commercial, civil, and industrial sectors, as well asin house engineering and industrial labour services. Acrow serves customers inAustralia."
NMDC IN Equity,NMDC Ltd,
VEDL IN Equity,Vedanta Ltd,
601958 CH Equity,Jinduicheng Molybdenum Co Ltd,"Jinduicheng Molybdenum Co.,Ltd. engages in molybdenum mining, dressing,smelting, processing, and trading. The Company supplies molybdenumburden, molybdenum concentrate, copper products, molybdenum chemicals,molybdenum metal, lead zinc, and other products. Jinduicheng Molybdenum marketsits products domestically and overseas."
FAST US Equity,Fastenal Co,
EGL AU Equity,Environmental Group Ltd/The,"The Environmental Group Limited supplies gas and vapor emission control systems,water treatment systems and engineering services to a variety of industries.The Company provides flaring systems for disposal of gases from offshore rigsand plants, provides low emission burners and combustion systems, watertreatment and purification and other environmental control services."
BSL AU Equity,BlueScope Steel Ltd,
002384 CH Equity,Suzhou Dongshan Precision Manufacturing Co Ltd,
000932 CH Equity,Hunan Valin Steel Co Ltd,"Hunan Valin Steel Co., Ltd. smelts and processes steel and nonferrous metals.The Company's products include steel billets, seamless steel tubes, aluminiumwire rods, and other metal products. Hunan Valin also exports its products toUnited States, Korea, Thailand, and other countries."
AAL LN Equity,Anglo American PLC,
000657 CH Equity,China Tungsten And Hightech Materials Co Ltd,"China Tungsten And Hightech Materials Co.,Ltd manufactures and marketsnon-ferrous products. The Company produces hard alloys, tungstencarbides, ceramal, and cobalt power. China Tungsten And Hightech Materialsmarkets its products across worldwide."
HBM CN Equity,Hudbay Minerals Inc,
MAADEN AB Equity,Saudi Arabian Mining Co,
APAT IN Equity,APL Apollo Tubes Ltd,
TECK/B CN Equity,Teck Resources Ltd,
MIN AU Equity,Mineral Resources Ltd,"Mineral Resources is a mining service company. The Company provides solutionsincluding open pit mining, crushing, processing, transport, and accommodation.Mineral Resources owns and operates iron ore and lithium mining operations aswell as lithium hydroxide processing facilities. Mineral Resources servescustomers in Australia."
SPCCPI1 PE Equity,Southern Copper Corp/Peru,
SIMECB MM Equity,Grupo Simec SAB de CV,
GMEXICOB MM Equity,Grupo Mexico SAB de CV,
002683 CH Equity,Guangdong Hongda Holdings Group Co Ltd,"Guangdong Hongda Holdings Group Co.,Ltd. provides civil mine explosiveintegrated services. The Company's main products and services include open pitmine stripping services, develops, manufactures, and sells explosive materialsproducts. Guangdong Hongda Holdings Group markets its products throughout China."
002460 CH Equity,Ganfeng Lithium Group Co Ltd,
600497 CH Equity,Yunnan Chihong Zinc&Germanium Co Ltd,"Yunnan Chihong Zinc&Germanium Co., Ltd. mines and distributes metal products.The Company produces zinc, lead, germanium, and other products. Yunnan ChihongZinc&Germanium also operates import and export businesses."
010130 KS Equity,Korea Zinc Co Ltd,
002203 CH Equity,Zhejiang Hailiang Co Ltd,
NHY NO Equity,Norsk Hydro ASA,
600765 CH Equity,AVIC Heavy Machinery Co Ltd,
GLEN LN Equity,Glencore PLC,
MBMA IJ Equity,Merdeka Battery Materials Tbk PT,
SHPC1 PE Equity,Shougang Hierro Peru S.A.A.,
600111 CH Equity,China Northern Rare Earth Group High-Tech Co Ltd,"China Northern Rare Earth (Group) High-Tech Co.,Ltd manufactures rare earthproducts. The Company produces rare earth concentrates, rare earth metals, rareearth oxides, new rare earth materials, and other products. China Northern RareEarth (Group) High-Tech also operates import and export businesses."
600595 CH Equity,Henan Zhongfu Industry Co Ltd,"Henan Zhongfu Industry Co.,Ltd manufactures and markets aluminumproducts. The Company produces aluminum ingots, aluminum shape materials,aluminum plates, aluminum coils, and other products. Henan Zhongfu Industryalso provides heat supply services."
601137 CH Equity,Ningbo Boway Alloy Material Co Ltd,"Ningbo Boway Alloy Material Co., Ltd. develops, produces and sells non-ferrous alloy rods and wire materials. The Company's main products are copperalloy rods and wires."
VALE3 BZ Equity,Vale SA,
600516 CH Equity,Fangda Carbon New Material Co Ltd,
SHYAMMET IN Equity,Shyam Metalics & Energy Ltd,
SKFB SS Equity,SKF AB,
601020 CH Equity,Tibet Huayu Mining Co Ltd,"Tibet Huayu Mining Co., Ltd. is engaged in the development, processing and salesof non-ferrous metals. The Company also surveys for solidmineral resources."
PMAH MK Equity,Press Metal Aluminium Holdings Bhd,
301219 CH Equity,Ganzhou Teng Yuan Cobalt New Material Co Ltd,"Ganzhou Teng Yuan Cobalt New Material Co., Ltd. manufactures and distributesmetal products. The Company produces high purity cobalt chloride, high puritycobalt oxalate, high purity cobalt sulfate, standard cathode copper, and otherproducts. Ganzhou Teng Yuan Cobalt New Material also operates importand export businesses."
FMG AU Equity,Fortescue Ltd,"Fortescue Ltd provides exploration and mining services. The Company exploresand develops iron ore projects, as well as owns and operates purpose-builtrail and port facilities. Fortescue serves customers worldwide."
002756 CH Equity,YongXing Special Materials Technology Co Ltd,"YongXing Special Materials Technology Co., Ltd. produces steel products. TheCompany develops, produces, and sells stainless steel rods and wires used inpetrochemical, basic energy, equipment manufacturing, and other industrialfields. YongXing Special Materials Technology markets its productsthroughout China."
LYC AU Equity,Lynas Rare Earths Ltd,"Lynas Rare Earths Limited operates as a mining company. The Company explores andmines for rare earth minerals such as cerium, praseodymium, and neodymium.Lynas Rare Earths serves customers in Australia and Malaysia."
600259 CH Equity,Rising Nonferrous Metals Share Co Ltd,"Rising Nonferrous Metals Share Co.,Ltd. operates in the refining,processing, manufacturing of rare earth products. The Companyproduces rare earth concentrates, mixed rare earths, rare earth oxides, rareearth permanent magnet materials, and more. Rising Nonferrous Metals Sharemainly markets its products in China."
600019 CH Equity,Baoshan Iron & Steel Co Ltd,"Baoshan Iron & Steel Co., Ltd. manufactures and markets iron andsteel products. The Company produces and sells cold rolled plates and coils, hotrolled plates and coils, seamless steel tubes, high-speed wire rods, steelbillets, and other products. Baoshan Iron & Steel markets its productsthroughout China."
KTY PW Equity,Grupa Kety SA,
BEKB BB Equity,Bekaert SA,
3993 HK Equity,CMOC Group Ltd,CMOC Group Limited operates as a mineral mining and exploration company. TheCompany focuses on non-ferrous metal mining. CMOC Group specializes inmining and trading of base and rare metals.
600961 CH Equity,Zhuzhou Smelter Group Co Ltd,"Zhuzhou Smelter Group Co., Ltd. engages in mining business. The Companymines, processes, and distributes lead, zinc, zinc alloys, lead ingots, leadalloys, gold, silver, and other products. Zhuzhou Smelter Group conductsbusinesses in China."
5016 JP Equity,JX Advanced Metals Corp,"JX Advanced Metals Corporation mines and distributes non ferrous metalproducts. The Company smelts, refines, and markets non ferrous metals such ascopper, gold, silver, and more. JX Advanced Metals also sells semiconductormaterials, special steel materials, and other products."
GMDC IN Equity,Gujarat Mineral Development Corp Ltd,
300618 CH Equity,Nanjing Hanrui Cobalt Co Ltd,
STLD US Equity,Steel Dynamics Inc,"Steel Dynamics, Inc. is a diversified carbon-steel producer and metals recyclerin the United States. The Company's operating segments include steel operations,metals recycling and ferrous resources operations, and steel fabricationoperations. Steel Dynamics products include flat rolled steel sheet, engineeredbar special-bar-quality, and structural beams."
300428 CH Equity,Lizhong Sitong Light Alloys Group Co Ltd,
NIC AU Equity,Nickel Industries Ltd,"Nickel Industries Limited provides mining services. The Company acquires,explores, and develops nickel projects. Nickel Industries operates in Australia."
JSTL IN Equity,JSW Steel Ltd,
GODPI IN Equity,Godawari Power and Ispat Ltd,
002466 CH Equity,Tianqi Lithium Corp,
5471 JP Equity,Daido Steel Co Ltd,"DAIDO STEEL CO., LTD. manufactures and markets specialty steel products forautomobiles, electronics, and construction use.  The Company also providesengineering services for industrial furnaces and waste disposal facilities, anddevelops various types of alloy metals."
000807 CH Equity,Yunnan Aluminium Co Ltd,"Yunnan Aluminium Co,Ltd mines and processes aluminum products. The Companyproduces aluminum ingots, alumina, and hydropower aluminum products. YunnanAluminium conducts businesses in China."
000969 CH Equity,Advanced Technology & Materials Co Ltd,
1208 HK Equity,MMG Ltd,"MMG Limited is a mid-tier global resources company which explores, develops andmines base metal projects around the world.  The Company currently owns andoperates the Century, Golden Grove and Rosebery mines in Australia, theKinsevere mine in the Democratic Republic of Congo (DRC) and the LXML Seponmine in Laos."
600782 CH Equity,Xinyu Iron & Steel Co Ltd,"Xinyu Iron & Steel Co., Ltd. manufactures and markets steel products.  TheCompany produces and sells steel strands, aluminum sheathed steel wires, steelwires, electric wires, cables, and other related products. Xinyu Iron & Steelalso markets its products primarily throughout China with limited overseas."
NUE US Equity,Nucor Corp,"Nucor Corporation manufactures steel products. The Company's products includecarbon and alloy steel, steel joints, steel deck, cold finished steel, steelgrinding balls, steel bearing products, and metal building systems. Nucor alsobrokers ferrous and nonferrous metals, pig iron, HBI, and DRI, suppliesferro-alloys, processes ferrous, and nonferrous scrap."
ERA FP Equity,Eramet SA,
000708 CH Equity,Citic Pacific Special Steel Group Co Ltd,"Citic Pacific Special Steel Group Co., Ltd manufactures and markets steelproducts. The Company produces spring steel, ball steel, mold steel, alloysteel, medium thick plates, seamless steel pipes, and other related products.Citic Pacific Special Steel Group also markets its products to United States,Japan, European Union, Southeast Asia, and other countries and regions."
301522 CH Equity,Zhonghang Shangda Superalloys Co Ltd,
5713 JP Equity,Sumitomo Metal Mining Co Ltd,"Sumitomo Metal Mining Co., Ltd. develops and mines non-ferrous metals. TheCompany produces and markets copper, gold, nickel, and other preciousmetals. Sumitomo Metal Mining serves customers globally."
YCA LN Equity,Yellow Cake PLC,
002541 CH Equity,Anhui Honglu Steel Construction Group Co Ltd,
TATA IN Equity,Tata Steel Ltd,
600110 CH Equity,Nuode New Materials Co Ltd,"Nuode New Materials Co.,Ltd. develops, manufactures, and distributes coppermaterials. The Company produces lithium ion battery copper foils and otherlithium battery materials. Nuode New Materials also conducts photovoltaicenergy storage, wires and cables production and sales, and other businesses."
600338 CH Equity,Xizang Zhufeng Resources Co Ltd,"Xizang Zhufeng Resources Co.,Ltd. provides mining services. The Company mainlymines, processes, and sells lead, zinc, copper, silver, and other mineralresources. Xizang Zhufeng Resources also offers resource exploration, smelting,and other services."
RS US Equity,Reliance Inc,"Reliance, Inc. provides diversified metal solutions. The Company offers avariety of shapes and sizes, including plate, coil, tube, rod, bar, pipe, angle,channel, and other related products, as well as delivers metals processing,inventory and supply chain management, kitting, contract manufacturing,packaging, and storage services. Reliance serves customers worldwide."
300855 CH Equity,Jiangsu ToLand Alloy Co Ltd,"Jiangsu Toland Alloy Co.,Ltd. operates alloy material production businesses.The Company produces welding materials, nickel base alloys, iron base alloys,high resistant heating alloys, and other products. Jiangsu TolandAlloy provides services for aerospace, warships, nuclear power, energy,and other fields."
LLOYDSME IN Equity,Lloyds Metals & Energy Ltd,
USM IN Equity,Usha Martin Ltd,
600888 CH Equity,Xinjiang Joinworld Co Ltd,"Xinjiang Joinworld Co., Ltd. manufactures and markets aluminum products.The Company produces aluminum ingots, electronic aluminum foils, aluminumalloys, and other aluminum products. Xinjiang Joinworld also operates roadtransportation."
TIINDIA IN Equity,Tube Investments of India Ltd,
5451 JP Equity,Yodogawa Steel Works Ltd,"Yodogawa Steel Works, Ltd. manufactures and markets surface-treated steelsheets and plates, and also produces steel rolls and ingots. The Company alsomaintains buildings, office spaces, golf resorts and parking lots. YodogawaSteel has a subsidiary in Taiwan, Thailand and China."
BHFC IN Equity,Bharat Forge Ltd,
340 HK Equity,Tongguan Gold Group Ltd,"Tongguan Gold Group Limited operates as a gold mining company. The Companyprovides gold exploration, mining, processing, sales, and other services.Tongguan Gold Group markets its products throughout Hong Kong."
000426 CH Equity,Inner Mongolia Xingye Silver&Tin Mining Co Ltd,"Mongolia Xingye Silver&tin Mining Co., Ltd. offers mining and smelting of metalmaterials. The Company produces zinc fine powder, tin fine powder, copper silverfine powder, iron fine powder, lead fine powder, and other products. MongoliaXingye Silver&tin Mining also sells mining machinery parts, bearings, automobileparts, and other products."
603370 CH Equity,Jiangyin Huaxin Precision Technology Corp,
000612 CH Equity,Jiaozuo Wanfang Aluminum Manufacturing Co Ltd,"Jiaozuo Wanfang Aluminum Manufacturing Company Ltd. manufactures and markets avariety of aluminum products including aluminum ingots, coils, alloy rods, andfoils."
002290 CH Equity,Suzhou Hesheng Special Material Co Ltd,
CRS US Equity,Carpenter Technology Corp,"Carpenter Technology Corporation manufactures, fabricates, and distributesstainless steels, titanium, and specialty metal alloys. Carpenter processesbasic metal alloying elements into finished products such as billets, bars,rods, and various special shapes. The Company also manufactures engineeredproducts such as ceramics, and metal injected molded designs."
ELHA GA Equity,ElvalHalcor SA,
600549 CH Equity,Xiamen Tungsten Co Ltd,
603112 CH Equity,Shanxi Huaxiang Group Co Ltd,
UEC US Equity,Uranium Energy Corp,
1785 TT Equity,Solar Applied Materials Technology Corp,
MLI US Equity,Mueller Industries Inc,
002192 CH Equity,Youngy Co Ltd,"YOUNGY Co., Ltd. is an electronic manufacturer. The Company designs, produces,and sells lithium batteries and other related electronic components. YOUNGYalso operates lithium mining business."
VOE AV Equity,voestalpine AG,
MMTC IN Equity,MMTC Ltd,
2600 HK Equity,Aluminum Corp of China Ltd,"Aluminum Corporation of China Limited manufactures aluminum products. TheCompany offers aluminum ores, aluminum, bauxite, coal, and other products.Aluminum of China serves coal mining, logistics, and other businesses."
300963 CH Equity,Shanghai Zhongzhou Special Alloy Materials Co Ltd,
UNTR IJ Equity,United Tractors Tbk PT,
8415 TT Equity,Brighton-Best International Taiwan Inc,
KIO SJ Equity,Kumba Iron Ore Ltd,
603271 CH Equity,Yong Jie New Material Co Ltd,"Yong Jie New Material Co.,Ltd. researches, develops, manufactures, anddistributes aluminum products. The Company produces aluminum plates, aluminumalloy, aluminum foil, aluminum coil, aluminum panel, aluminum strip, andaluminum sheet. Yong Jie New Material markets its products worldwide."
FM CN Equity,First Quantum Minerals Ltd,
7485 JP Equity,Okaya & Co Ltd,"Okaya & Co., Ltd. trades steel and machinery.  The Company produces ordinarysteel, special steel, nonferrous metals, piping, housing facilities, chemicalproducts, machinery, and electric machinery.  Okaya also provides informationsystem services and operates real estate businesses."
ZCCM ZL Equity,ZCCM Investments Holdings PLC,
SSABA SS Equity,SSAB AB,
AMAG AV Equity,AMAG Austria Metall AG,
PE&OLES* MM Equity,Industrias Penoles SAB de CV,
300697 CH Equity,Jiangyin Electrical Alloy Co Ltd,
KKF IN Equity,Kirloskar Ferrous Industries Ltd,
3939 HK Equity,Wanguo Gold Group Ltd,"Wanguo Gold Group Limited operates as a mining company. The Companymines and supplies gold ores, gold concentrades, copper concentrades, zincconcentrades, iron ores, and more. Wanguo Gold Group conducts business inMainland China and Hong Kong."
UAMY US Equity,United States Antimony Corp,"US Antimony Corp refines, produces, and sells antimonyproducts such as antimony metal, antimony oxides, and sodium antimonate.  TheCompany also mines, mills, and concentrates silver and gold bearing rock. UnitedStates Antimony Corporation also has a joint venture through which it mines anddistributes zeolite."
005490 KS Equity,POSCO Holdings Inc,
002552 CH Equity,Baoding Technology Co Ltd,
600392 CH Equity,Shenghe Resources Holding Co Ltd,
SANDUMA IN Equity,Sandur Manganese & Iron Ores Ltd/The,
EREGL TI Equity,Eregli Demir ve Celik Fabrikalari TAS,
USA CN Equity,Americas Gold & Silver Corp,
DVP AU Equity,Develop Global Ltd,Develop Global Limited explores for precious metals in Australia.
600569 CH Equity,Anyang Iron & Steel Inc,"AnYang Iron & Steel Inc. manufactures and distributes steel products. TheCompany produces steel shapes, steel plates, pipes, hot rolled coils, andsteel wire products. AnYang Iron & Steel also conducts coking and smeltingbusinesses."
600010 CH Equity,Inner Mongolia BaoTou Steel Union Co Ltd,"Inner Mongolia BaoTou Steel Union Co.,Ltd smelts and processes ferrous metalproducts. The Company produces and sells steel plates, seamless metal tubes,heavy tubes, square steel, wire rods, steel pipes, steel scraps, and otherrelated products. Inner Mongolia BaoTou Steel Union also provides importing andexporting services."
NIKL PM Equity,Nickel Asia Corp,
NXE CN Equity,NexGen Energy Ltd,
5727 JP Equity,Toho Titanium Co Ltd,"Toho Titanium Co., Ltd. provides base metals. The Company offers titaniummetals, propylene polymerization catalysts, electronic materials, chemicals,and other related products, as well as focuses on research and developmentservices. Toho Titanium serves clients in Japan."
NGE IN Equity,Jayaswal NECO Industries Ltd,
CVERDEC1 PE Equity,Sociedad Minera Cerro Verde SAA,
300057 CH Equity,Shantou Wanshun New Material Group Co Ltd,
601121 CH Equity,Xinjiang Baodi Mining Co Ltd,"Xinjiang Baodi Mining Co., Ltd. operates as a mining company. The Companyprovides rock and mineral testing, mineral development and processing, geologyand mineral prospecting, and other related services. Xinjiang Baodi Mining alsooffers house leasing, mining investment, mineral and steel products salesservices."
601700 CH Equity,Changshu Fengfan Power Equipment Co Ltd,
003670 KS Equity,POSCO Future M Co Ltd,
VSL AU Equity,Vulcan Steel Ltd,
000959 CH Equity,Beijing Shougang Co Ltd,"Beijing Shougang Co., Ltd. manufactures and markets steel products. The Companyproduces and sells rolled steel, steel billets, and other steel products.Beijing Shougang markets its products throughout China."
603399 CH Equity,Jinzhou Yongshan Lithium Co Ltd,
603799 CH Equity,Zhejiang Huayou Cobalt Co Ltd,"Zhejiang Huayou Cobalt Company Ltd. manufactures, processes, and distributesbattery materials and new cobalt materials. The Company produces cathodematerials, cobalt products, copper products, nickel products, nickel cobaltmanganese hydroxide, and lithium products. Zhejiang Huayou Cobalt conductsbusinesses in China."
AE1 AU Equity,Aerison Group Ltd,"Aerison Group Ltd operates as an environmental engineering company. The Companyoffers engineering and design, fabrication, mechanical piping, instrumentation,and asset maintenance services. Aerison Group serves customers in Australia."
001430 KS Equity,SeAH Besteel Holdings Corp,
5444 JP Equity,Yamato Kogyo Co Ltd,"YAMATO KOGYO CO., LTD. manufactures, processes, and markets a wide variety ofrailroad related and steel products.  The Company also provides heavy industryprocessing for shipbuilding and plant engineering.  Yamato Kogyo has operationsthrough joint-ventures and subsidiaries in the United States, Thailand, and theBahamas."
MDI CN Equity,Major Drilling Group International Inc,
000878 CH Equity,Yunnan Copper Co Ltd,"Yunnan Copper Co., Ltd. manufactures and processes electrolytic copper. The Company's products include tough cathode, copper wire base, gold,  silver, sulphuricacid, and other byproducts."
CRML US Equity,Critical Metals Corp,
603878 CH Equity,Jiangsu Wujin Stainless Steel Pipe Group Co Ltd,"Jiangsu Wujin Stainless Steel Pipe Group Co., Ltd. manufactures and distributessteel products. The Company produces, processes, and distributes stainless steelpipes, tubes, fittings, and other related products. Jiangsu Wujin StainlessSteel Pipe Group serves customers worldwide."
600331 CH Equity,Sichuan Hongda Co Ltd,
BANSALWI IN Equity,Bansal Wire Industries Ltd,
2245 HK Equity,Lygend Resources & Technology Co Ltd-H,"Lygend Resources & Technology Co., Ltd. operates nickel industry businesses.The Company mines and distributes ferronickel, nickel-cobalt compounds, nickelsulfate, and more. Lygend Resources & Technology conducts businesses inPhilippines, Indonesia, New Caledonia, Turkey, and other countries."
581 HK Equity,China Oriental Group Co Ltd,"China Oriental Group Company Limited, through its subsidiaries, produces andsells billets and strips."
III CN Equity,Imperial Metals Corp,
358 HK Equity,Jiangxi Copper Co Ltd,"Jiangxi Copper Company Limited mines and distributes metal products. TheCompany produces nonferrous metals, ferrous metals, rare metals, and otherproducts. Jiangxi Copper also produces chemical products."
603115 CH Equity,Nantong Haixing Electronics Co Ltd,
000629 CH Equity,Pangang Group Vanadium Titanium & Resources Co Ltd,"Pangang Group Vanadium Titanium & Resources Co., Ltd. mines iron ore,purifies titanium ore, and processes vanadium products. The Company alsodevelops titanium and vanadium related products."
605158 CH Equity,Zhejiang Huada New Material Co Ltd,"Zhejiang Huada New Material Co., Ltd. manufactures and distributes steelproducts. The Company produces color coated steel coils, galvanized sheets,steel strips, steel tubes, and other steel products. Zhejiang Huada NewMaterial also operates import and export businesses."
KGH PW Equity,KGHM Polska Miedz SA,
014620 KS Equity,Sung Kwang Bend Co Ltd,
NGEX CN Equity,NGEx Minerals Ltd,
002160 CH Equity,Jiangsu Alcha Aluminum Group Co Ltd,"Jiangsu Alcha Aluminum Group Co.,Ltd. manufactures and markets aluminumproducts. The Company produces pure aluminum foils, aluminium alloyfoils, hydrophilic coated aluminum foils, aluminum scrip coils, and otherproducts. Jiangsu Alcha Aluminum Group also operates import and exportbusinesses."
JINDALST IN Equity,Jindal Steel Ltd,
5726 JP Equity,OSAKA Titanium Technologies Co Ltd,"OSAKA Titanium technologies Co., Ltd. produces and sells non-ferrous metalssuch as titanium.  The Company's products include sponge and powdered titanium,titanium ingots, and high-purity titanium as well as non-metal productssuch as silicon processed materials and polycrystalline silicon utilizedin the semiconductor industry."
MDKA IJ Equity,Merdeka Copper Gold Tbk PT,
EU CN Equity,Encore Energy Corp,
000709 CH Equity,Hesteel Co Ltd,"Hesteel Company Limited operates as a steel products manufacturing company. TheCompany produces and sells medium carbon steel, low alloy high strength steel,automotive steel, gas cylinder steel, pipeline steel, patterned steel, mildsteel, and other products. Hesteel markets its products worldwide."
600382 CH Equity,Guangdong Mingzhu Group Co Ltd,
BOE AU Equity,Boss Energy Ltd,Boss Energy Limited operates as a mineral exploration company. The Companyexplores and develops uranium and base metal projects. Boss Energy servescustomers worldwide.
004020 KS Equity,Hyundai Steel Co,
LAR CN Equity,Lithium Argentina AG,
002532 CH Equity,Tianshan Aluminum Group Co Ltd,"Tianshan Aluminum Group Co.,Ltd. manufactures and sells aluminum products. TheCompany produces electrolytic aluminum, alumina, prebaked anodes, high-purityaluminum, aluminum deep-processing products, and other materials. TianshanAluminum Group markets its products domestically and internationally."
RIO CN Equity,Rio2 Ltd,
900936 CH Equity,Inner Mongolia ERDOS Resources Co Ltd,"Inner Mongolia ERDOS Resources Co., Ltd. manufactures and distributes metalproducts. The Company mainly produces ferrosilicon products. Inner MongoliaERDOS Resources also offers clothes, chlor alkali chemicals, and other products."
CMT MC Equity,Cie Miniere de Touissit,
HCP IN Equity,Hindustan Copper Ltd,
CL CN Equity,Cresco Labs Inc,
2027 TT Equity,TA Chen Stainless Pipe,
NWPX US Equity,NWPX Infrastructure Inc,
LUN CN Equity,Lundin Mining Corp,
ABAT US Equity,American Battery Technology Co,"American Battery Technology Company operates as a battery metal company. TheCompany develops and commercializes domestic and sustainable sourcing ofcritical battery materials through lithium-ion battery recycling and batterymetal extraction technologies for use in batteries that power electric cars,grid storage applications, and consumer electronics."
TTI AU Equity,Traffic Technologies Ltd,Traffic Technologies Limited develops and manufactures energy efficient trafficlights in Australia.  The Company uses the light emitting diode technology inits traffic lights which makes them more energy efficient and cheaper to run.
6235 TT Equity,Waffer Technology Corp,
2610 HK Equity,Nanshan Aluminium International Holdings Ltd,
2031 TT Equity,Hsin Kuang Steel Co Ltd,
2010 TT Equity,Chun Yuan Steel Industry Co Ltd,
CMC US Equity,Commercial Metals Co,"Commercial Metals Company manufactures recycles, and markets steel. The Companyprovides primary and secondary metals, steel, ores,concentrates, industrialminerals, ferroalloys, chemicals, and other materials. Commercial Metals servescustomers in the United States."
002976 CH Equity,Suzhou Cheersson Precision Industry Group Co Ltd,
29M AU Equity,29Metals Ltd,29Metals Limited provides exploration and mining services. The Company exploresand develops base and precious metals assets. 29Metals serves customersworldwide.
600673 CH Equity,Guangdong HEC Technology Holding Co Ltd,
ROLEXRIN IN Equity,Rolex Rings Ltd,
002578 CH Equity,Fujian Minfa Aluminum Co Ltd,"Fujian Minfa Aluminum Company Limited develops, produces and sells aluminumproducts.  The Company's products include construction aluminum and industrialaluminum."
601168 CH Equity,Western Mining Co Ltd,"Western Mining Co.,Ltd mines and distributes metal products. The Companyproduces copper, lead, zinc, manganese, and other products. Western Mining alsooperates house loans, power generation, and other businesses."
2009 TT Equity,First Copper Technology Co Ltd,
SAMBHV IN Equity,Sambhv Steel Tubes Ltd,
MAN IN Equity,Man Industries India Ltd,
DV CN Equity,Dolly Varden Silver Corp,
301063 CH Equity,Zhangjiagang Haiguo New Energy Equipment Manufacturing Co Ltd,
002379 CH Equity,Shandong Hontron Aluminum Industry Holding Co Ltd,"Shandong Hontron Aluminum Industry Holding Company Limited manufactures anddistributes aluminum foils. The Company produces household aluminum foils,medicinal aluminum foils, cast rolled aluminum strips, and other products.Shandong Hontron Aluminum Industry Holding also operates importand export businesses."
SYA AU Equity,Sayona Mining Ltd,
INCO IJ Equity,Vale Indonesia Tbk PT,
92E AU Equity,92 Energy Ltd,92 Energy Limited operates as an uranium exploration company. The Companyfocuses on searching for high-grade unconformity style uranium in Canada.
ERD CN Equity,Erdene Resource Development Corp,
058650 KS Equity,SeAH Holdings Corp,
1258 HK Equity,China Nonferrous Mining Corp Ltd,"China Nonferrous Mining Corp Ltd is a copper mining company. The Company isfocused on the mining, ore processing, leaching, smelting, and sale of copperin Zambia."
SIDERC1 PE Equity,Empresa Siderurgica del Peru SAA,
WIA AU Equity,WIA Gold Ltd,"WIA Gold Limited operates as a gold development and exploration company. TheCompany explores and develops gold projects, as well as offers prospective landpackages. WIA Gold serves customers in Namibia, Cote d'Ivoire, and Australia."
JTLIND IN Equity,JTL Industries Ltd,
5702 JP Equity,Daiki Aluminium Industry Co Ltd,"DAIKI ALUMINIUM INDUSTRY CO., LTD. produces aluminum alloy ingots for diecastand forged products used mainly in the automobile and motorcycle industries.The Company uses recycled aluminum and has premelting treatment facilities foraluminum scraps.  Through a subsidiary, the Company trades aluminum scraps inthe US."
