ENO,name,status,commodity,owner,startDate,endDate,observationMethod,positionalAccuracy,source,status_uri,representativeCommodity_uri,specification_uri,LAT_GDA94,LONG_GDA94
592781,Barbara,care and maintenance,Gold,"Northern Star Resources Limited, Aeris Resources Limited",31/07/2021,,"State or NT agency supplied location, method unknown",500 metres,http://www.nsrltd.com/,http://resource.geosciml.org/classifier/cgi/mine-status/care-and-maintenance,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/592781,-30.9614,121.2482
592785,Surprise -South Kalgoorlie,historic mine,Gold,Northern Star Resources Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.nsrltd.com/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/592785,-30.9634,121.2609
592789,Nobel 6,historic mine,Gold,Northern Star Resources Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.nsrltd.com/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/592789,-30.0131,121.2339
595096,Mount Fisher,historic mine,"Gold, Nickel","Rox Resources Limited, High-Tech Metals Limited",,,satellite image,5000 metres,"http://www.roxresources.com.au/, https://hightechmetals.com.au/",http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/595096,-26.84,121.49
595115,Mount Windarra Ni Au (Poseidon),historic mine,"Nickel, (Gold, Platinum group elements, Palladium, Cobalt, Platinum, Copper, Silver, Arsenic)","Poseidon Nickel Limited, Horizon Minerals Ltd.",,,satellite image,1000 metres,"http://www.poseidon-nickel.com.au/, https://horizonminerals.com.au/",http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,http://pid.geoscience.gov.au/id/feature/ga/er/mine/595115,-28.4828,122.2348
595134,Northern Operations (Wyloo),care and maintenance,"Nickel, (Cobalt, Copper, Platinum group elements, Iridium, Osmium, Platinum, Ruthenium, Palladium, Rhodium)","Independence Group NL, MIncor Resources NL",31/05/2024,,satellite image,5000 metres,"http://www.igo.com.au/IRM/content/home.html, http://www.mincor.com.au/",http://resource.geosciml.org/classifier/cgi/mine-status/care-and-maintenance,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,http://pid.geoscience.gov.au/id/feature/ga/er/mine/595134,-31.184,121.68
595158,Mount Carrington Project,historic mine,"Gold, Silver, Lead, Zinc, (Copper)",,,,"published report, method unknown",999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/595158,-28.906,152.37
595160,Tomingley Project,operating mine,Gold,Alkane Resources Limited,,,satellite image,5000 metres,http://www.alkane.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/595160,-32.59,148.21
595176,Matilda Gold Project,historic mine,"Gold, (Potassium, Potassium sulfate)","Blackham Resources Limited, Wiluna Mining Corporation Limited",,,satellite image,999 metres,"http://www.blackhamresources.com.au/, http://www.wilunamining.com.au/",http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/595176,-26.6318,120.2521
595185,Owendale Pt Sc Project,feasibility,"Cobalt, Nickel, Platinum, Palladium, Magnesite, (Copper, Hematite, Magnetite, Gold, Magnesia (magnesium oxide), Scandium, Platinum group elements, Iron)",Platinal Resources Ltd,,,satellite image,5000 metres,http://www.platinaresources.com.au/projects/wa-new-projects/,http://resource.geosciml.org/classifier/cgi/mine-status/feasibility,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,http://pid.geoscience.gov.au/id/feature/ga/er/mine/595185,-32.575,147.384375
595284,Tritton Copper Project,operating mine,"Copper, Cobalt, (Gold, Silver)",Aeris Resources Limited,,,"published report, method unknown",500 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,http://pid.geoscience.gov.au/id/feature/ga/er/mine/595284,-31.3956,146.7216
595291,Avoca Tank,operating mine,"Copper, Gold, (Silver)",Aeris Resources Limited,,,"State or NT agency supplied location, method unknown",999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,http://pid.geoscience.gov.au/id/feature/ga/er/mine/595291,-31.1967,146.841
595852,Pilbara Iron (Rio Tinto),operating mine,"Iron ore, Hematite, Magnetite, (Iron)",Rio Tinto Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.riotinto.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/iron-ore,http://pid.geoscience.gov.au/id/feature/ga/er/mine/595852,-22.76352,117.771357
595865,King Solomon - New Phoenix,historic mine,Gold,Doray Minerals Limited,,,satellite image,999 metres,http://www.dorayminerals.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/595865,-28.6619,116.3108
596105,Eva Copper Project,feasibility,"Copper, Gold, Silver","Harmony Gold Mining, Copper Mountain Mining Corporation",,,method unknown,500 metres,"http://www.harmony.co.za, https://www.cumtn.com/operations/eva-copper-project/overview/",http://resource.geosciml.org/classifier/cgi/mine-status/feasibility,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,http://pid.geoscience.gov.au/id/feature/ga/er/mine/596105,-20.167,140.007
