ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,ACCURACY_M,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,COMPANY_WEBSITES,PROVINCES,GEOLOGIC_AGE,DEPOSIT_MODEL
334996,Diggers Area,"Digger Rocks South, Digger Rocks Underground",WA,119.8104,-32.7158,100,historic mine,Ni,"Co, Cu","Nickel, (Cobalt, Copper)",IGO Ltd,https://www.igo.com.au/site/content/,"Yilgarn Craton, Forrestania Nickel Metallogenic Province, Southern Cross Province",Archean,
334997,The Loop,,WA,115.9416,-32.6567,100,mineral deposit,"Zrn, Rt","Ilm, Leu","Zircon, Rutile, (Ilmenite, Leucoxene)",Olympia Resources Limited,http://www.olympiaresources.com,,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands"
334998,Paulsens,Paulsens Project,WA,116.2426,-22.5794,500,care and maintenance,Au,,Gold,Black Cat Syndicate ltd,http://www.blackcatsyndicate.com.au,"Fortescue Basin, Paulsens",Proterozoic,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
335000,Nicolson's Find,"Nicolson's Project, Nicolsons",WA,127.3567,-18.4096,500,operating mine,Au,,Gold,Pantoro Ltd,http://www.pantoro.com.au,Halls Creek Orogen - central zone,Proterozoic,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
335002,Aspacia,,WA,121.0128,-29.6906,999,historic mine,Au,,Gold,Rox Resources Limited,http://www.roxresources.com.au/,Yilgarn Craton,,
335003,Castaway,Barnicoat Project,WA,122.4657,-28.5353,500,mineral deposit,Au,,Gold,Focus Minerals Limited,http://www.focusminerals.com.au/,"Yilgarn Craton, Eastern Goldfields Province",Archean,
335004,Katanning Project,Katanning Project,WA,117.9065,-33.549,999,mineral deposit,Au,,Gold,Ausgold Ltd,http://www.ausgoldlimited.com/IRM/content/default.aspx,"Yilgarn Craton, Griffins Find Gold Metallogenic Province, Western Gneiss Terrane",Archean,
335006,Dugald River,,QLD,140.1558,-20.2545,999,operating mine,"Zn, Pb, Ag","Cu, Au","Zinc, Lead, (Copper, Silver, Gold)",Minerals and Metals Group (MMG),http://www.mmg.com/,"Mount Isa Orogen, Mary Kathleen Domain, Mary Kathleen Zone",Paleoproterozoic,"Environment: Regional metasomatic, Group: Metasomatic iron, Type: Iron sulfide polymetallic"
335007,Far Fanning,,QLD,146.3736,-19.6624,100,historic mine,Au,,Gold,Maroon Gold Pty Ltd,,"Lachlan Orogen, Mount Leyshon Gold Metallogenic Province",,
335008,Hamersley Iron - Mount Tom Price,Section 6,WA,117.7714,-22.7635,100,operating mine,"FeOre, Fe",,"Iron ore, Iron","Rio Tinto Limited, HIsmelt","http://www.riotinto.com.au/, http://www.hismelt.com.au",Hamersley Basin,Archean,
