ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,ACCURACY_M,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,COMPANY_WEBSITES,PROVINCES,GEOLOGIC_AGE,DEPOSIT_MODEL
333934,Emily Ann,,WA,120.4823,-32.1997,999,historic mine,"Ni, Co",,"Nickel, Cobalt","LionOre Australia (Nickel) Ltd, Poseidon Nickel Limited","http://www.lionore.com.au, http://www.poseidon-nickel.com.au/","Yilgarn Craton, Maggie Hays Nickel Metallogenic Province, Southern Cross Domain (Youanmi Terrane)",Archean,"Environment: Magmatic, Group: Komatiite, Type: Komatiite nickel-copper-PGE"
333935,M1,South Murchison,WA,116.937,-28.8276,999,historic mine,"Au, Ag",,"Gold, Silver","Minjar Gold Pty Ltd, Warriedar Resources","http://www.minjargold.com.au, https://www.warriedarresources.com.au/",Yilgarn Craton,,
333940,Peyes Farm Dam (Jacques - Peyes),Binduli North Project,WA,121.3858,-30.6971,500,mineral deposit,Au,,Gold,Horizon Minerals Ltd.,https://horizonminerals.com.au/,Yilgarn Craton,Archean,
333942,Windermere,,QLD,145.3128,-17.5644,250,historic mine,Sn,Fe,"Tin, (Iron)",Consolidated Tin Mines,http://www.consolidatedtinmines.com.au,"Mossman Orogen, Hodgkinson Province",,"Environment: Magmatic hydrothermal, Group: Skarn, Type: Skarn tin ± copper ± Mo"
333947,Farleys Deposit,Fosterville Project,VIC,144.5113,-36.673,500,historic mine,Au,,Gold,"Newmarket Gold Inc, AuRico Gold Corporporation, Crocodile Gold Corporation","http://www.newmarketgoldinc.com, http://www.auricogold.com/, http://www.crocgold.com/",Lachlan Orogen,,
333948,Ben Hur Panel 3,Binduli Project,WA,121.4138,-30.8593,500,historic mine,Au,,Gold,Norton Gold Fields Limited,http://www.nortongoldfields.com.au/,Yilgarn Craton,Archean,
333950,Ivanhoe North,Ivanhoe No2,NSW,150.01,-33.3569,500,historic mine,Cbl,,Coal - black,"Banpu Public Company Limited, Centennial Coal Co Ltd","http://www.banpu.com/en_index.php, http://www.centennialcoal.com.au",Sydney Basin,,
333951,Howley Ridge,Burnside Project,NT,131.3209,-13.4659,999,mineral deposit,Au,,Gold,Crocodile Gold Corporation,http://www.crocgold.com/,Pine Creek Orogen,Paleoproterozoic,
333953,Lake Lindsay,Girrah,QLD,148.7596,-23.044,500,mineral deposit,Cbl,,Coal - black,Anglo Coal Australia Pty Ltd,http://www.anglocoal.com.au/,Bowen Basin,,
333954,South Emu Feather,Gidgee Project,WA,119.4177,-27.2506,500,historic mine,Au,,Gold,Panoramic Resources Limited,http://www.panoramicresources.com/,Yilgarn Craton,Archean,
333961,Collingwood (Coal Project),,QLD,150.0181,-25.9853,500,mineral deposit,Cbl,,Coal - black,"New Hope Coal, MITSUI & CO. (AUSTRALIA) LTD.","http://www.newhopegroup.com.au/, http://www.mitsui.com/au",Surat Basin,Mesozoic,
333962,Yarlarweelor,Grosvenor Gold Project,WA,118.3604,-25.3437,500,historic mine,Au,,Gold,"Westgold Resources Limited, Resource and Investment NL","http://www.westgold.com.au/, http://rninl.com.au/",Yilgarn Craton,Proterozoic,
333963,The Mount,Mount Project,WA,121.5698,-31.5287,500,historic mine,Au,,Gold,Lukah Mining Pty Ltd,,"Yilgarn Craton, Eastern Goldfields Province",Archean,
333964,Western Queen,Western Queen Project,WA,117.1261,-27.5321,500,mineral deposit,Au,,Gold,Rumble Resources Ltd,https://rumbleresources.com.au/,"Yilgarn Craton, Murchison Province",Archean,
333966,Mountain of Light,Leigh Creek,SA,138.4513,-30.5789,999,care and maintenance,Cu,,Copper,Strategic Minerals Plc,https://www.strategicminerals.net/,Delamerian Orogen,Proterozoic,"Environment: Magmatic hydrothermal, Group: Replacement"
333967,Lady Harriet,,WA,121.0316,-29.7251,999,historic mine,Au,,Gold,Brightstar Resources Ltd,https://www.brightstarresources.com.au/,Yilgarn Craton,,
333968,Shearers,Nullagine Gold Project,WA,120.2106,-21.9164,500,historic mine,Au,,Gold,Millennium Minerals Limited,http://www.millenniumminerals.com.au/,Pilbara Craton,Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
333969,Admiral Bay,,WA,122.2636,-19.1904,2000,mineral deposit,"Zn, Pb","Ag, Ba","Zinc, (Silver, Lead, Barium)",Kagara Limited,http://www.kagara.com.au/,"Canning Basin, Broome Platform",,"Environment: Basin hydrothermal, Group: Mississippi Valley-type (MVT), Type: MVT zinc-lead"
333970,Comet Vale,"Gladstone, Sand Queen",WA,121.131,-29.9549,100,operating mine,Au,,Gold,Labyrinth Resources Ltd,https://labyrinthresources.com/,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Norseman-Wiluna Belt",Archean,
333972,Goulds Dam,"Armchair, Armchair-Streitberg, Billeroo West, Streitberg",SA,139.95,-31.467,2000,mineral deposit,U,U3O8,"Uranium, (Uranium oxide)",Uranium One Incorporated,http://www.uranium1.com/index.php/en/,"Lake Eyre Basin, Callabonna Sub-basin",Cenozoic,"Environment: Infiltrational, Group: Uranium, Type: Sandstone uranium"
333975,Western Ridge,,WA,119.583,-23.3984,2000,mineral deposit,FeOre,Fe,"Iron ore, (Iron)",BHP Group Limited,https://www.bhp.com/,Hamersley Basin,Archean,
333982,Mungana,Chillagoe,QLD,144.3825,-17.0991,500,mineral deposit,"Zn, Cu, Au, Pb, Sb","Ag, Cd","Zinc, Copper, (Silver, Gold, Lead, Antimony, Cadmium)",Tartana Minerals,,Hodgkinson Province,,"Environment: Magmatic hydrothermal, Group: Skarn, Type: Skarn zinc-lead-silver"
333983,Waterloo,Ravenswood Consolidated,QLD,146.112,-20.3798,500,mineral deposit,"Zn, Cu, Pb","Au, Ag","Zinc, Copper, (Gold, Lead, Silver)",Sunshine Metals Ltd,https://shnmetals.com.au/,"Charters Towers Province, Lolworth-Ravenswood Block, Thalanga Base Metal Metallogenic Province, Seventy Mile Range Subprovince",,"Environment: Volcanic basin hydrothermal, Group: Volcanogenic massive sulfide (VMS), Type: Bimodal-mafic VMS"
333986,The Peak,"Cobar, Peak, Peak Mine, Peak Mines Project",NSW,145.8778,-31.5653,500,operating mine,"Cu, Au",,"Copper, Gold","Goldcorp, Rio Tinto Limited","http://www.goldcorp.com/, http://www.riotinto.com.au/","Lachlan Orogen, Lachlan Orogen, Cobar Basin",,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Orogenic copper ± gold"
333988,Mulline,Mulline Project,WA,120.5206,-29.7839,500,historic mine,Au,,Gold,Swan Gold Mining Limited,http://www.swangoldmining.com.au/,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Southern Cross Province",Archean,
333989,Burton,"Burton Downs, Kerlong, Plumtree",QLD,148.1726,-21.5886,50,operating mine,Cbl,,Coal - black,"Bowen Coking Coal Ltd, Lenton Joint Venture","https://newhopegroup.com.au/, https://www.bowencokingcoal.com.au/",Bowen Basin,,
333991,Saraji,,QLD,148.2911,-22.3694,500,operating mine,Cbl,,Coal - black,"BHP Group Limited, Mitsubishi Corporation, Mitsubishi Corp","http://www.mitsubishicorp.com/jp/en/index.html, https://www.bhp.com/, http://www.mitsubishicorp.com/au/en/",Bowen Basin,,
333994,Jubilee,Jubilee North,QLD,140.0072,-20.7946,100,historic mine,"Au, Cu",,"Gold, Copper",Hammer Metals Ltd,http://www.hammermetals.com.au/,"Mount Isa Orogen, Mary Kathleen Zone",Proterozoic,
333998,Matilda Mine,Matilda Gold Project,WA,120.2149,-26.7575,500,operating mine,Au,,Gold,Blackham Resources Limited,http://www.blackhamresources.com.au/,"Yilgarn Craton, Kalgoorlie Terrane, Norseman-Wiluna Belt",Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
333999,Kalman,Mount Isa,QLD,139.967,-21.0459,999,mineral deposit,"Mo, Cu, Au","Ag, Re","Molybdenum, Copper, Gold, (Silver, Rhenium)",Hammer Metals Ltd,http://www.hammermetals.com.au/,"Mount Isa Orogen, Kalkadoon-Leichhardt Domain, Mary Kathleen Zone",Proterozoic,"Environment: Regional metasomatic, Group: Alkali-calcic, Type: Low Iron alkali-calcic"
334000,Greenmount,"McCabe, White Range",QLD,140.5309,-21.024,100,mineral deposit,"Cu, Co, Au, Brt","Ag, As","Copper, Cobalt, Gold, (Silver, Barite, Arsenic)",Fetch Metals,,"Mount Isa Orogen, Selwyn Metallogenic Province, Cloncurry-Selwyn Zone",Proterozoic,"Environment: Regional metasomatic, Group: IOCG"
334001,Maud Creek,"Gold Creek, Maud Creek Project",NT,132.454,-14.4431,999,historic mine,Au,,Gold,"Newmarket Gold Inc, PNX Metals Limited, Crocodile Gold Corporation","http://www.newmarketgoldinc.com, http://www.pnxmetals.com.au, http://www.crocgold.com/",Pine Creek Orogen,Proterozoic,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
334002,King Vol,"Auctus Chillagoe, Walsh River",QLD,144.2496,-16.9363,500,care and maintenance,"Zn, Cu, Pb, As, Cd","Ag, Fe","Zinc, Copper, (Silver, Lead, Arsenic, Cadmium, Iron)",Aurora Metals Ltd,,Hodgkinson Province,Paleozoic,"Environment: Magmatic hydrothermal, Group: Skarn, Type: Skarn zinc-lead-silver"
334005,Ravensworth UG,"Nardell Colliery, Newpac Colliery",NSW,151.0375,-32.4366,1000,care and maintenance,Cbl,,Coal - black,"POSCO, Marubeni Corporation, Glencore Plc","http://www.posco.com/homepage/docs/eng5/jsp/s91a0000001i.jsp, http://www.marubeni.com, http://www.glencore.com/",Sydney Basin,,
334006,Rix's Creek,,NSW,151.13,-32.5269,999,operating mine,Cbl,,Coal - black,Bloomfield Group,http://www.bloomcoll.com.au/,Sydney Basin,,
334007,Bald Hill,,WA,122.1811,-31.5133,100,closed,"Ta2O5, Li2O, Ta",,"Tantalum pentoxide, Lithium oxide, Tantalum","Alliance Resources Limited, Tawana Resources NL, Altura Mining Limited","http://www.allianceresources.com.au/IRM/content/home.html, https://tawana.com.au/, http://alturamining.com/","Yilgarn Craton, Kalgoorlie Terrane",,"Environment: Magmatic, Group: Pegmatite, Type: LCT pegmatite"
334010,Trough Well,,WA,118.9739,-30.6708,500,mineral deposit,Ni,"Co, Cu","Nickel, (Cobalt, Copper)",Golden Horse Minerals Ltd,https://goldenhorseminerals.com/,"Yilgarn Craton, Forrestania Nickel Metallogenic Province, Southern Cross Province",Archean,
334016,Anabama,,SA,140.2846,-32.7956,999,mineral deposit,Cu,,Copper,Adelaide Resources Limited,http://www.adelaideresources.com.au/,Delamerian Orogen,Proterozoic,
334019,Middlemount,,QLD,148.6316,-22.8481,999,operating mine,Cbl,,Coal - black,"Peabody Energy Corp., Yancoal Australia Limited","http://www.peabodyenergy.com/, http://www.yancoal.com.au/",Bowen Basin,,
334020,Maddingley,,VIC,144.4402,-37.7043,100,operating mine,Cbr,,Coal - brown,Mantle Mining Corporation Ltd,http://www.mantlemining.com,Otway Basin,Cenozoic,
334021,McTavish,,WA,121.4606,-29.3323,500,mineral deposit,Au,,Gold,Arika Resources Ltd,https://www.arika.com.au/,Yilgarn Craton,Archean,
334023,Meecharra,,WA,120.4043,-22.0766,1,mineral deposit,Mn,MnOre,"Manganese, (Manganese ore)",Mn Energy Ltd,https://www.mnenergy.com.au/,,,
334024,Bandalup,,WA,120.3583,-33.6086,100,mineral deposit,"MgO, Mgs",,"Magnesia (magnesium oxide), Magnesite","Watts-Butler Denise Elaine, Ashbridge Holdings Pty Ltd","https://minedex.dmirs.wa.gov.au/Web/owners/details/bf043d8e-6059-4c6d-aa22-c77ab9c521d7, https://minedex.dmirs.wa.gov.au/Web/owners/details/721ba2bf-7725-4dd8-a93b-02fb0c539ba5",,,
334026,Ricciardo,Silverstone,WA,116.9502,-28.9033,250,historic mine,"Sb, Au",,"Antimony, Gold","Warriedar Resources, Minjar Gold Pty Ltd","https://www.warriedarresources.com.au/, http://www.minjargold.com.au",Yilgarn Craton,,
334035,Mount Margaret-E1 (Glencore),"E1, E1 East, E1 North, E1 South, Monakoff, Mt Margaret",QLD,140.7829,-20.4424,999,care and maintenance,"Cu, Au","U, U3O8","Copper, Gold, (Uranium, Uranium oxide)","Comet Resources Ltd, Glencore Plc","http://www.glencore.com/, https://www.cometres.com.au",Mount Isa Orogen,Proterozoic,"Environment: Regional metasomatic, Group: IOCG, Type: Magnetite-dominant IOCG"
334036,Buddadoo,,WA,116.4842,-28.7014,999,mineral deposit,"Fe, Rt, V, FeOre",V2O5,"Iron, Rutile, Vanadium, Iron ore, (Vanadium pentoxide)",CZR Resources Ltd,https://www.czrresources.com/,"Yilgarn Craton, Buddadoo Hills Vanadium Metallogenic Province",,
334037,Trout,Plutonic Project,WA,119.5085,-25.3181,500,historic mine,Au,,Gold,"Northern Star Resources Limited, Barrick Gold Corporation","http://www.nsrltd.com/, http://www.barrick.com/",Yilgarn Craton,Archean,
334038,Maryvale,"Maryvale Field, Maryvale L, Maryvale Y, includes Morwell Township",VIC,146.4,-38.197,999,mineral deposit,Cbr,,Coal - brown,"CLP Holdings, TRU Energy","http://www.clpgroup.com, http://www.truenergy.com.au",Gippsland Basin,Cenozoic,
334039,Budgeree,,VIC,146.3426,-38.4142,999,mineral deposit,Cbr,,Coal - brown,Department of Primary Industries,http://www.dpi.vic.gov.au,Gippsland Basin,Cenozoic,
334041,West Olympus,,WA,117.8967,-23.4289,10,mineral deposit,Au,,Gold,Sipa Resources Ltd,http://www.sipa.com.au,,,
334042,Gibraltar - Yaloginda,Yaloginda Project,WA,118.4356,-26.6749,999,historic mine,Au,,Gold,"Reed Resources Limited, Westgold Resources Limited","http://www.reedresources.com/, http://www.westgold.com.au/","Yilgarn Craton, Kalgoorlie Gold Metallogenic Province",Archean,
334043,Central Tanami,,NT,129.1739,-19.966,10000,historic mine,Au,,Gold,"Northern Star Resources Limited, Tanami Gold NL","http://www.nsrltd.com/, http://www.tanami.com.au/",Tanami Orogen,Proterozoic,
334049,Dendrobium,,NSW,150.76,-34.3769,999,operating mine,Cbl,,Coal - black,"M Resources Pty Ltd, Golden Energy and Resources Limited",,Sydney Basin,,
334052,Cooljarloo (IMAGE),,WA,115.4242,-30.6352,1000,under development,"Zrn, Ilm, Rt","Leu, Grt","Zircon, Ilmenite, Rutile, (Leucoxene, Garnet)",Image Resources NL,http://www.imageres.com.au,,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands"
334054,Hopelands East,,WA,115.9062,-32.3963,,mineral deposit,"Zrn, Ilm","Leu, Rt","Zircon, Ilmenite, (Leucoxene, Rutile)",Tronox Limited,http://www.tronox.com,,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands"
333778,Golden Pig,"Haddon, Three Boys",WA,119.3208,-31.2303,100,historic mine,Au,,Gold,China Hanking Holdings Limited,http://www.hankingmining.com/?lang=en,"Yilgarn Craton, Bounty Gold Metallogenic Province, Southern Cross Province",Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
333779,Mammoth,"Esperanza, Gunpowder, Kabunga, Mt Gordon, North Portal",QLD,139.366,-19.6961,2000,historic mine,Cu,,Copper,Aditya Birla Minerals Ltd,http://www.adityabirlaminerals.com.au/,"Mount Isa Orogen, Lawn Hill Platform",Proterozoic,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Orogenic copper ± gold"
333780,Mount Cuthbert,"Leichhardt, Mt Cuthbert South, Mt Watson",QLD,139.914,-19.988,2000,mineral deposit,"Cu, Ag, Au",,"Copper, Silver, Gold","Malaco Group, Cape Lambert Resources Ltd","https://www.malaco.com.au/, http://www.capelam.com.au","Mount Isa Orogen, Kalkadoon-Leichhardt Belt",Proterozoic,"Environment: Regional metasomatic, Group: IOCG"
333781,Worsley,"Boddington Bauxite Mine, Mt Saddleback",WA,116.4559,-32.9292,100,operating mine,Bx,"Al2O3, Sic","Bauxite, (Alumina, Silica)","BHP Group Limited, Japan Alumina Associates (Australia) Pty Ltd, Sojitz Corporation","http://www.sojitz.com/en, https://www.bhp.com/","Yilgarn Craton, Southwest Terrane, Western Gneiss Terrane",Cenozoic,"Environment: Supergene, Group: Laterite, Type: Bauxite"
333783,Viney Creek,,NSW,152.181,-32.6017,25,historic mine,"Ilm, Zrn, Mnz","Rt, Mnsd","Ilmenite, Zircon, (Rutile, Monazite, Mineral sands)",Mineral Deposits Ltd,http://www.mineraldeposits.com.au,New England Orogen,,
333784,Warrego,,NT,133.8237,-19.4448,2000,operating mine,"Au, Cu, Bi, FeOre, Ag",Fe,"Gold, Copper, Bismuth, Iron ore, Silver, (Iron)","Northern Iron Pty Ltd, Territory Resources Ltd",http://www.territoryresources.com.au,"Tennant Creek Block, Warramunga Province, Warrego Metallogenic Province",Paleoproterozoic,"Environment: Regional metasomatic, Group: IOCG, Type: Magnetite-dominant IOCG"
333785,Osborne,"Kulthor, Trough Tank",QLD,140.5736,-22.0939,999,closed,"Cu, Au",,"Copper, Gold","Chinova Resources, Shanxi Donghui","http://en.sxjh.com.cn/, https://www.chinovaresources.com/","Mount Isa Orogen, Kuridala-Selwyn Domain, Selwyn Metallogenic Province, Cloncurry-Selwyn Zone",Mesoproterozoic,"Environment: Regional metasomatic, Group: IOCG, Type: Magnetite-dominant IOCG"
333787,Carnilya,,WA,121.8636,-31.0533,100,historic mine,Ni,"Co, Cu","Nickel, (Cobalt, Copper)",MIncor Resources NL,http://www.mincor.com.au/,"Yilgarn Craton, Eastern Goldfields Province, Kambalda Nickel Metallogenic Province",Archean,"Environment: Magmatic, Group: Komatiite, Type: Komatiite nickel-copper-PGE"
333788,Tartana,,QLD,144.266,-16.93,2000,operating mine,Cu,,Copper,Tartana Minerals,,Hodgkinson Province,Paleozoic,
333789,Kangiara,,NSW,148.7537,-34.6008,250,historic mine,"Zn, Pb, Au, Ag, Cu",,"Zinc, Lead, Gold, Silver, Copper",Heron Resources Limited,https://www.heronresources.com.au/,"Lachlan Orogen, Lachlan Orogen",,"Environment: Volcanic basin hydrothermal, Group: Volcanogenic massive sulfide (VMS), Type: Bimodal felsic VMS"
333791,Integra (Glennies Creek),,NSW,151.135,-32.4688,2000,closed,Cbl,,Coal - black,Glencore Plc,http://www.glencore.com/,Sydney Basin,,
333792,Mitchells Flat,,NSW,151.3139,-32.5324,2000,mineral deposit,Cbl,,Coal - black,"Glencore Plc, Marubeni Corporation, Xstrata plc","http://www.glencore.com/, http://www.marubeni.com, http://www.xstrata.com/",Sydney Basin,,
333799,Scott River,,WA,115.3346,-34.2601,100,mineral deposit,"Ilm, Zrn, Rt, Leu, Mnsd",,"Ilmenite, Zircon, Rutile, Leucoxene, Mineral sands",Tronox Limited,http://www.tronox.com,Perth Basin,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands"
333800,Nim 3,"Jundee Gold Project, Nimary Three",WA,120.594,-26.374,500,historic mine,Au,,Gold,Northern Star Resources Limited,http://www.nsrltd.com/,"Yilgarn Craton, Eastern Goldfields Province",Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
333802,Angas,,SA,138.9159,-35.2511,1000,care and maintenance,"Zn, Pb, Ag","Au, Cu","Zinc, Lead, (Gold, Silver, Copper)",Terramin Australia Limited,http://www.terramin.com.au/,Kanmantoo Fold Belt,Paleozoic,"Environment: Basin hydrothermal, Group: Sediment-hosted, Type: Siliciclastic-mafic zinc-lead"
333803,Cosmos,Cosmos Deeps,WA,120.5777,-27.599,1000,care and maintenance,"Ni, Pd, Pt, Au, Co","Cu, PGE","Nickel, (Copper, Palladium, Platinum, Gold, Cobalt, Platinum group elements)",IGO Ltd,https://www.igo.com.au/site/content/,"Yilgarn Craton, Eastern Goldfields Province, Mount Keith Nickel Metallogenic Province",Archean,"Environment: Magmatic, Group: Komatiite, Type: Komatiite nickel-copper-PGE"
333804,Boomerang,Reedy's Project,WA,118.2887,-27.0444,999,historic mine,Au,,Gold,"Reed Resources Limited, Westgold Resources Limited","http://www.reedresources.com/, http://www.westgold.com.au/",Yilgarn Craton,Archean,
333806,Rand,Reedy's Project,WA,118.2702,-27.1215,999,historic mine,Au,,Gold,"Metals X Limited, Reed Resources Limited","http://www.metalsx.com.au/, http://www.reedresources.com/",Yilgarn Craton,Archean,
333808,Hornet,East Kundana JV,WA,121.264,-30.7497,500,mineral deposit,Au,,Gold,"Rand Mining Limited, Tribune Resources Limited, Northern Star Resources Limited, Barrick Gold Corporation","http://www.randmining.com.au/, http://www.tribune.com.au/, http://www.nsrltd.com/, http://www.barrick.com/","Yilgarn Craton, Kalgoorlie Terrane",Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
333810,Mount Angelo,Halls Creek Copper-Zinc Project,WA,127.4902,-18.4375,100,mineral deposit,"Cu, Zn, Au, Pb, Ag",,"Copper, Zinc, Gold, Lead, Silver",Cazaly Resources Limited,http://www.cazalyresources.com.au/,Halls Creek Orogen - central zone,Proterozoic,"Environment: Volcanic basin hydrothermal, Group: Volcanogenic massive sulfide (VMS), Type: Bimodal felsic VMS"
333811,Beta Hunt,"Alpha, Beta Island",WA,121.6939,-31.2403,999,operating mine,"Au, Ni",,"Gold, Nickel",Westgold Resources Limited,http://www.westgold.com.au/,"Yilgarn Craton, Eastern Goldfields Province",Archean,
333814,Bullant,"Carbine Project, Cross Lode, East Lode, Main Lode",WA,121.0578,-30.5275,500,mineral deposit,Au,,Gold,"Zijin Mining Group Company Ltd, Norton Gold Fields Limited","http://www.zjky.cn, http://www.nortongoldfields.com.au/",Yilgarn Craton,Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
333775,Jericho,,WA,120.4456,-27.0402,500,mineral deposit,Ni,,Nickel,BHP Group Limited,https://www.bhp.com/,"Yilgarn Craton, Eastern Goldfields Province",Archean,
333817,South Walker Creek,Kemmis-Walker,QLD,148.4427,-21.7709,999,operating mine,Cbl,,Coal - black,Stanmore Resources Limited,,Bowen Basin,,
333818,Minerva,Athena,QLD,148.0471,-23.9214,50,closed,Cbl,,Coal - black,"Sojitz Corporation, Felix Resources, Yancoal Australia Limited","http://www.sojitz.com/en, http://www.felixresources.com.au, http://www.yancoal.com.au/",Bowen Basin,,
333820,King Solomon - Coolgardie,Lindsays-Bayleys Project,WA,121.1741,-30.9532,500,historic mine,Au,,Gold,Focus Minerals Limited,http://www.focusminerals.com.au/,Yilgarn Craton,Archean,
333821,Roper Bar,"Area D, Area E, Area F, Gum Creek",NT,135.0907,-15.1487,999,operating mine,FeOre,Fe,"Iron ore, (Iron)",Nathan River Resources,,McArthur Basin,,"Environment: Basin chemical, Group: Iron formation, Type: Oolitic iron formation"
333822,Bakers Flat,South Kalgoorlie Operations,WA,121.2687,-30.9694,500,mineral deposit,Au,,Gold,"Alacer Gold Corporation, Metals X Limited, Northern Star Resources Limited","http://www.alacergold.com/, http://www.metalsx.com.au/, http://www.nsrltd.com/",Yilgarn Craton,Archean,
333823,Waite Kauri,,WA,121.7158,-28.6772,100,mineral deposit,"Ni, Co",,"Nickel, Cobalt",Alliance Nickel Ltd,https://alliancenickel.au/,"Yilgarn Craton, Eastern Goldfields Province",Cenozoic,
333826,Paradigm,,WA,120.9383,-30.4749,500,mineral deposit,Au,,Gold,Evolution Mining Limited,http://www.evolutionmining.com.au/,,Archean,
333832,Winchester,Batchelor,NT,131.05,-13.0472,999,mineral deposit,"Mgs, MgO",,"Magnesite, Magnesia (magnesium oxide)",Korab Resources Limited,http://www.korab.com.au/,,,
333837,North Ironcap Group,,WA,119.69,-32.36,999,mineral deposit,Au,,Gold,Western Areas Limited,http://www.westernareas.com.au/,Yilgarn Craton,Archean,
333840,Galileo,,VIC,142.428,-34.9608,999,mineral deposit,"Rt, Zrn, Ilm",Leu,"Rutile, Zircon, Ilmenite, (Leucoxene)",Tronox Limited,http://www.tronox.com,Murray Basin,,"Environment: Erosional, Group: Placer, Type: Heavy mineral sands"
333843,Peak Hill,Peak Hill Project,WA,118.7172,-25.6394,500,historic mine,Au,,Gold,"Montezuma Mining Limited, Westgold Resources Limited","http://montezumamining.com.au/, http://www.westgold.com.au/","Yilgarn Craton, Bryah Basin, Plutonic Gold Metallogenic Province",Proterozoic,
333844,Rosevale,Westbury,TAS,146.9175,-41.403,999,mineral deposit,Cbr,,Coal - brown,Tasmanian Minerals Council,http://www.tasminerals.com.au,Gippsland Basin,,
333847,Highland Chief,,WA,116.968,-29.1697,500,historic mine,Au,,Gold,Minjar Gold Pty Ltd,http://www.minjargold.com.au,Yilgarn Craton,Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
333848,Monaco,,WA,116.9589,-28.9387,250,historic mine,Au,,Gold,Minjar Gold Pty Ltd,http://www.minjargold.com.au,Yilgarn Craton,,
333849,Zeus - Ashburton,Ashburton Gold Project,WA,117.9112,-23.4375,500,historic mine,Au,,Gold,Northern Star Resources Limited,http://www.nsrltd.com/,,Paleoproterozoic,
333850,New Morning/Daybreak,NMDB,WA,119.6801,-32.4504,100,mineral deposit,"Ni, Co",,"Nickel, Cobalt",IGO Ltd,https://www.igo.com.au/site/content/,"Yilgarn Craton, Forrestania Nickel Metallogenic Province, Southern Cross Province",Archean,
333852,Melba Flats,,TAS,145.3833,-41.85,999,mineral deposit,"Cu, Ni",,"Copper, Nickel",Mallee Resources Ltd,https://malleeresources.com.au/,Delamerian Orogen,Paleozoic,
333855,Apache,Binduli Project,WA,121.4097,-30.8258,500,historic mine,Au,,Gold,"Zijin Mining Group Company Ltd, Norton Gold Fields Limited","http://www.zjky.cn, http://www.nortongoldfields.com.au/",Yilgarn Craton,Archean,
333856,Junnagunna,,QLD,138.1412,-17.4756,999,mineral deposit,"U3O8, U",,"Uranium oxide, Uranium",Laramide Resources Limited,http://www.laramide.com/,McArthur Basin,Proterozoic,"Environment: Basin hydrothermal, Group: Unconformity-related, Type: Unconformity-related uranium"
333860,West Rolleston,,QLD,148.069,-24.469,999,mineral deposit,Cbl,,Coal - black,Macarthur Coal,http://www.macarthurcoal.com.au,Bowen Basin,,
333862,Andamooka,,SA,137.17,-30.4471,2000,operating mine,Opl,,Opal,"Argonaut Resources NL, Straits Resources Limited","http://www.argonautresources.com/, http://www.straits.com.au/",Eromanga Basin,,
333863,Barbara - Surprise,"Barbara, South Kalgoorlie Operations, Surprise",WA,121.2482,-30.9641,500,historic mine,Au,,Gold,"Alacer Gold Corporation, Metals X Limited, Northern Star Resources Limited","http://www.alacergold.com/, http://www.metalsx.com.au/, http://www.nsrltd.com/","Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Norseman-Wiluna Belt",Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
333865,Cape Flattery,,QLD,145.2722,-14.9385,500,mineral deposit,Sisd,,Silica sand,Diatreme Resources Limited,http://www.diatreme.com.au,Hodgkinson Province,,
333866,Galtee More,Mt Magnet Project,WA,117.8312,-28.0127,500,historic mine,Au,,Gold,Ramelius Resources Limited,http://www.rameliusresources.com.au/,"Yilgarn Craton, Big Bell Gold Metallogenic Province, Murchison Domain",Archean,
333815,Quartz Circle,,WA,120.1874,-21.665,1000,mineral deposit,Cu,Au,"Copper, (Gold)","Cazaly Resources Limited, Corazon Mining Limited","http://corazon.com.au/, http://www.cazalyresources.com.au/",Pilbara Craton,Archean,
333869,Paradise South,Lady Annie,QLD,139.112,-19.7571,2000,mineral deposit,Phos,P2O5,"Phosphate, (Phosphorus oxide)",Legend International Holdings Inc,http://www.lgdi.net,Georgina Basin,,"Environment: Basin chemical, Group: Phosphorite, Type: Phosphorite"
