ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,PROVINCES,GEOLOGIC_AGE,ENVIRONMENT,GROUP,TYPE,IGNEOUS,SEDIMENTARY,TECTONIC
333687,Harbour Lights,Leonora Operations,WA,121.322,-28.8737,historic mine,Au,,Gold,Genesis Minerals Ltd,"Yilgarn Craton, Eastern Goldfields Province, Norseman-Wiluna Belt",Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,,,West Australian Element
333688,George Fisher,"Hilton, North Hilton",QLD,139.472,-20.5711,operating mine,"Zn, Pb","Ag, Cu","Zinc, Lead, (Silver, Copper)",Glencore Xstrata plc,"Mount Isa Orogen, Leichhardt River Domain, Leichhardt River Fault Trough",Paleoproterozoic,Basin hydrothermal,Sediment-hosted,Siliciclastic-carbonate zinc-lead,,,Leichhardt River Domain
333690,Mount Martin (gold),South Kalgoorlie Operations,WA,121.6825,-31.0128,historic mine,Au,,Gold,"Alacer Gold Corporation, Metals X Limited","Yilgarn Craton, Eastern Goldfields Province, Norseman-Wiluna Belt",Archean,,,,,,West Australian Element
333691,Paddington,Paddington Project,WA,121.3437,-30.485,operating mine,Au,,Gold,"Zijin Mining Group Company Ltd, Norton Gold Fields Limited","Yilgarn Craton, Eastern Goldfields Province, Eastern Goldfields Superterrane, Kalgoorlie Gold Metallogenic Province, Kalgoorlie Terrane, Norseman-Wiluna Belt",Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,,,West Australian Element
333693,Surveyor 1,,QLD,144.697,-18.7801,mineral deposit,"Pb, Au, Ag, Zn","Cu, Zeol","Lead, Gold, Silver, (Copper, Zinc, Zeolite)",Kagara Limited,"Balcooma Base Metal Metallogenic Province, Georgetown Block, Greenvale Province, Balcooma Subprovince",,,,,,,Thomson Orogen
333696,Huntly,,WA,116.1665,-32.5558,operating mine,Bx,"Al2O3, Sic","Bauxite, (Alumina, Silica)","Alcoa, Alcoa Incorporated, Alumina Limited","Yilgarn Craton, Southwest Terrane, Western Gneiss Terrane",Cenozoic,Supergene,Laterite,Bauxite,,,West Australian Element
333697,Skal,,QLD,139.462,-20.4331,mineral deposit,U,U3O8,"Uranium, (Uranium oxide)",Paladin Energy Limited,"Mount Isa Orogen, Leichhardt River Fault Trough",Proterozoic,Regional metasomatic,Alkali-calcic,Albitite-hosted uranium,,,Leichhardt River Domain
333703,Aurukun,,QLD,141.8333,-13.3637,mineral deposit,Bx,Al2O3,"Bauxite, (Alumina)",Glencore Plc,Carpentaria Basin,Cenozoic,Supergene,Laterite,Bauxite,,Carpentaria Basin,North Australian Element
333704,Wild Cattle Creek,"Achillies, Biesldown, Lone Pine Workings, Lower Bielsdown",NSW,152.7203,-30.2256,mineral deposit,Au,"W, Sb","Gold, (Tungsten, Antimony)",Trigg Mining Limited,"New England Orogen, Coffs Harbour Province",,Metamorphic hydrothermal,Orogenic,Epizonal orogenic antimony ± gold,,,New England Orogen
333705,Maules Creek,,NSW,150.1298,-30.5535,operating mine,Cbl,,Coal - black,Whitehaven Coal Limited,Gunnedah Basin,,,,,,Gunnedah Basin,Eastern Province
333706,Felton,"Felton East, Felton West",QLD,151.6182,-27.7942,mineral deposit,Cbl,,Coal - black,Newmont Mining Corporation,Clarence-Moreton Basin,,,,,,Clarence-Moreton Basin,New England Orogen
333707,Cleveland,includes Foley Zone,TAS,145.385,-41.477,historic mine,"Sn, Cu, Mo, Bi","WO3, W","Tin, Copper, (Tungsten trioxide (wolframite), Molybdenum, Bismuth, Tungsten)",Elementos Limited,"Delamerian Orogen, Dundas Trough",,Magmatic hydrothermal,Skarn,Skarn tin ± copper ± Mo,,Thylacine Province,Delamerian Orogen
333708,Eureka - Bardoc,,WA,121.2546,-30.3269,under development,Au,,Gold,Javelin Minerals Limited,"Yilgarn Craton, Eastern Goldfields Province, Norseman-Wiluna Belt",Archean,,,,,,West Australian Element
333709,Channar JV,,WA,117.7886,-23.2994,operating mine,"Fe, FeOre",,"Iron, Iron ore","Sinosteel Ocean Capital Pty Ltd, Rio Tinto Limited, HIsmelt",Hamersley Basin,Archean,,,,Warakurna Large Igneous Province,Hamersley Basin,Pilbara Craton
333715,Bannockburn,Thunderbox Project,WA,120.8934,-28.4587,historic mine,Au,,Gold,Saracen Mineral Holdings Limited,"Yilgarn Craton, Eastern Goldfields Province",Archean,unknown,unknown,unknown,,Raeside Paleovalley,West Australian Element
333717,Smith Creek,,QLD,145.0286,-17.6213,historic mine,"W, Sn, Cu",,"Tungsten, Tin, Copper",MGT Resources Limited,Hodgkinson Province,,,,,,,Mossman Orogen
333718,Jundee Gold Project,"Nimary, Nimone",WA,120.6041,-26.3725,operating mine,Au,,Gold,"Northern Star Resources Limited, Newmont Mining Corporation","Yilgarn Craton, Eastern Goldfields Province, Eastern Goldfields Superterrane, Kalgoorlie Terrane",Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Warakurna Large Igneous Province,Carnegie Paleovalley,West Australian Element
333719,Redeemer,Agnew Gold Project,WA,120.4847,-28.0627,historic mine,Au,,Gold,Gold Fields Limited,"Yilgarn Craton, Eastern Goldfields Province, Eastern Goldfields Superterrane, Kalgoorlie Terrane",Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,,,West Australian Element
333720,Westfield,"Arckaringa, coal to methanol plant",SA,134.0333,-28.2471,mineral deposit,Cbl,,Coal - black,"Altona Energy Plc, Altona Mining Limited",Arckaringa Basin,,,,,,Arckaringa Basin,South Australian Element
333721,Claude Hills,Central Musgrave,SA,129.1756,-26.011,mineral deposit,"Ni, Co, Fe",,"Nickel, Cobalt, Iron",NICO Resources Ltd,,Cenozoic,unknown,unknown,unknown,Warakurna Large Igneous Province,,Musgrave Province
333727,Rand North,Reedy's Project,WA,118.2709,-27.1177,historic mine,Au,,Gold,Reed Resources Limited,Yilgarn Craton,Archean,,,,Warakurna Large Igneous Province,,West Australian Element
333728,Winchester,see Poitrel,QLD,148.2122,-22.1287,mineral deposit,Cbl,,Coal - black,BMA,Bowen Basin,,,,,,Bowen Basin,Anakie Province
333732,Dargues Reef,Majors Creek Gold Project,NSW,149.7472,-35.5382,operating mine,Au,Ag,"Gold, (Silver)",Aurelia Metals Limited,Lachlan Orogen,,Magmatic hydrothermal,Intrusion-related,Reduced intrusion-related gold,,,Eastern Province
333735,Janet Ivy,Binduli Project,WA,121.3834,-30.7745,operating mine,Au,,Gold,"Zijin Mining Group Company Ltd, Norton Gold Fields Limited","Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,,West Australian Element
333737,Mount Playfair,,SA,138.2124,-30.398,mineral deposit,"Mgs, MgO, Mg",,"Magnesite, Magnesia (magnesium oxide), Magnesium",Archer Exlporation Limited,,,Basin evaporative,Evaporite,Marine evaporite magnesite,,,South Australian Element
333738,Red Hill - Kanowna,,WA,121.3181,-30.6128,mineral deposit,Au,,Gold,Barrick Gold Corporation,Yilgarn Craton,,,,,,Roe Paleovalley,West Australian Element
333741,Muswellbrook,Sandy Creek,NSW,150.9414,-32.245,closed,Cbl,,Coal - black,"Idemitsu Kosan Co Ltd, Idemitsu Australia Resources",Sydney Basin,,,,,,Sydney Basin,Eastern Province
333747,Havilah Camp,,WA,119.4853,-28.1686,mineral deposit,Au,,Gold,Aurumin Limited,Yilgarn Craton,,,,,,,West Australian Element
333748,Hepi,,WA,121.7956,-28.8597,mineral deposit,"Ni, Co",,"Nickel, Cobalt",Alliance Nickel Ltd,"Yilgarn Craton, Eastern Goldfields Province",Cenozoic,,,,,,West Australian Element
333749,Western Queen,Western Queen Project,WA,117.1304,-27.5228,historic mine,Au,,Gold,Ramelius Resources Limited,Yilgarn Craton,Archean,,,,Warakurna Large Igneous Province,,West Australian Element
333753,Minotaur,"Tanami Project, Windy Hill",NT,130.5456,-20.3524,mineral deposit,Au,,Gold,Newmont Mining Corporation,Tanami Orogen,Paleoproterozoic,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Kalkarindji Igneous Province,,Tanami Orogen
333754,Celtic,Bundarra Gold Project,WA,121.1616,-28.3486,historic mine,Au,,Gold,"SR Mining Pty Ltd, Bligh Resources Limited, Terrain Minerals Limited",Yilgarn Craton,Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,,,West Australian Element
333757,Waugh,Ashburton Gold Project,WA,117.9291,-23.4206,historic mine,Au,,Gold,Northern Star Resources Limited,,Paleoproterozoic,,,,Warakurna Large Igneous Province,Ashburton Basin,Pilbara Craton
333758,Friendship,Tindals Project,WA,121.1876,-30.9822,mineral deposit,Au,,Gold,Focus Minerals Limited,Yilgarn Craton,Archean,,,,,,West Australian Element
333759,NOA,Burnakura Project,WA,118.472,-27.02,mineral deposit,Au,,Gold,"Monument Mining Limited, Kentor Gold Limited",Yilgarn Craton,Archean,,,,Warakurna Large Igneous Province,,West Australian Element
333760,Psi,Gidgee Project,WA,119.3803,-26.853,historic mine,Au,,Gold,Horizon Gold Limited,Yilgarn Craton,Archean,,,,,,West Australian Element
333763,Mineral Patch Hill,,WA,122.9846,-29.0369,mineral deposit,"Ni, Co",,"Nickel, Cobalt",Panther Metals Ltd,,,,,,,Carey Paleovalley,West Australian Element
333764,Boundary - Coolgardie,,WA,121.2017,-30.984,historic mine,Au,,Gold,Focus Minerals Limited,Yilgarn Craton,Archean,,,,,,West Australian Element
333766,Mount Boppy,"Canbelego, Mount Boppy Gold Project",NSW,146.3161,-31.5618,care and maintenance,Au,,Gold,Manuka Resources ltd.,"Lachlan Orogen, Girilambone Zone",Paleozoic,Metamorphic hydrothermal,Orogenic,,,Canbelego - Mineral Hill Rift Zone,Central NSW - Omeo Province
333767,Jaguar,"Jaguar Operation, Teutonic Bore group",WA,121.1551,-28.4446,care and maintenance,"Pb, Ag, Zn, Cu",,"Lead, Silver, Zinc, Copper",Independence Group NL,"Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,,West Australian Element
333768,Black Rabbit,Siberia Project,WA,120.8763,-30.3349,mineral deposit,Au,,Gold,Ora Banda Mining Ltd,"Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,,West Australian Element
333769,Millennium and Mavis,West Poitrel,QLD,148.213,-22.025,operating mine,Cbl,,Coal - black,"M Resources Pty Ltd, Stanmore Coal Limited",Bowen Basin,,,,,,Bowen Basin,Anakie Province
333770,Shes Right West,Barnicoat Project,WA,122.4904,-28.6063,historic mine,Au,,Gold,Focus Minerals Limited,"Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,,West Australian Element
333772,Burkes Flat,,VIC,143.5536,-36.6535,mineral deposit,Au,,Gold,Matrix Gold Limited,Lachlan Orogen,,,,,,,Bendigo Zone
333774,White Dam - Olary,"Drew Hill, White Dam Project",SA,140.5793,-32.0955,operating mine,Au,,Gold,GBM Resources Limited,Curnamona Province,Proterozoic,unknown,unknown,unknown,,,Curnamona Province
335341,Kangaroo Caves,"Panorama, Pilbara Copper-Zinc Project",WA,119.2383,-21.2035,mineral deposit,"Zn, Cu, Ag","Pb, Au","Zinc, Copper, (Lead, Silver, Gold)","Develop Global Ltd, CBH Resources Limited, Sipa Resources Ltd",Pilbara Craton,Archean,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,Warakurna Large Igneous Province,,Pilbara Craton
335342,Cliffs,Has also been known as Cliffs Nickel ; and Mt Keith-Cliffs Charterhall,WA,120.5478,-27.3039,care and maintenance,"Ni, Co, Cu",PGE,"Nickel, Cobalt, Copper, (Platinum group elements)",BHP Group Limited,"Yilgarn Craton, Eastern Goldfields Province, Mount Keith Nickel Metallogenic Province",Archean,Magmatic,Komatiite,Komatiite nickel-copper-PGE,,,West Australian Element
335347,Broken Hill - Rasp Mine,"Broken Hill - CML7 (CBH), Pinnacle",NSW,141.4513,-31.9655,operating mine,"Zn, Pb, Ag",Cu,"Zinc, Lead, Silver, (Copper)",Broken Hill Mines Pty Ltd,Curnamona Province,Proterozoic,,,,,,Curnamona Province
335350,Gala,South Kalgoorlie Operations,WA,121.2329,-30.9845,historic mine,Au,,Gold,Alacer Gold Corporation,Yilgarn Craton,Archean,,,,,,West Australian Element
335351,Sandpiper,"Bald Hill operations, Western Tanami Project",WA,128.8645,-19.587,historic mine,Au,,Gold,"Northern Star Resources Limited, Tanami Gold NL",Tanami Orogen,Proterozoic,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Kalkarindji Igneous Province,,Tanami Orogen
335352,Prairie Downs,,WA,119.275,-23.7048,mineral deposit,"Zn, Pb",Ag,"Zinc, Lead, (Silver)",Prairie Downs Metals Ltd,"Bangemall Basin, Capricorn Basin",Proterozoic,Metamorphic hydrothermal,Orogenic,Orogenic silver-lead-zinc-copper-antimony,Warakurna Large Igneous Province,Fortescue Basin,Pilbara Craton
335353,Marriott,,WA,120.9915,-28.4491,mineral deposit,Ni,,Nickel,Norwest Minerals Ltd,"Yilgarn Craton, Eastern Goldfields Province, Mount Keith Nickel Metallogenic Province",Archean,Magmatic,Komatiite,Komatiite nickel-copper-PGE,,,West Australian Element
335355,Rocglen,Belmont,NSW,150.2718,-30.7619,closed,Cbl,,Coal - black,Whitehaven Coal Limited,Gunnedah Basin,,,,,,Gunnedah Basin,Eastern Province
335356,Beatons Creek,,WA,120.101,-21.8706,mineral deposit,Au,,Gold,Novo Resources Corp,Pilbara Craton,,Erosional,Placer,Paleoplacer gold ± uranium,Warakurna Large Igneous Province,Fortescue Basin,Pilbara Craton
335358,Attila Trend,Yamarna Project,WA,123.658,-28.1572,mineral deposit,Au,,Gold,Gold Road Resources Limited,"Yilgarn Craton, Eastern Goldfields Province, Yamarna Terrane",Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,,,West Australian Element
335360,Sandalwood,,WA,115.8598,-33.2027,mineral deposit,"Ilm, Zrn, Leu, Rt",,"Ilmenite, Zircon, Leucoxene, Rutile",Cable Sands (WA) Pty Ltd,,,,,,,Mandurah Terrace,Pinjarra Element
335361,Sandalwood-Westover,,WA,115.8695,-33.1658,mineral deposit,"Ilm, Zrn, Leu, Rt",,"Ilmenite, Zircon, Leucoxene, Rutile",Cable Sands (WA) Pty Ltd,,,,,,,Mandurah Terrace,Pinjarra Element
335362,Northparkes,"Goonumbla, NPM",NSW,148.0498,-32.9135,operating mine,"Cu, Au",,"Copper, Gold","Sumitomo Metal Mining Co Ltd, Evolution Mining Limited","Lachlan Orogen, Lachlan Orogen, Cadia Porphyry Copper Gold Metallogenic Province, Macquarie Igneous Province, Junee - Narromine Igneous Subprovince",,Magmatic hydrothermal,Porphyry,Porphyry copper ± gold,,,Eastern Province
335364,Dreadnought,Tindals Project,WA,121.1715,-30.9965,historic mine,Au,,Gold,Focus Minerals Limited,"Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,,West Australian Element
335366,Theil Well,"Siberia Project, Thiel Well",WA,120.9077,-30.3444,historic mine,Au,,Gold,"Ora Banda Mining Ltd, Swan Gold Mining Limited","Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,,West Australian Element
335368,Black Angel,,NT,133.8968,-19.4874,mineral deposit,Au,,Gold,Emmerson Resources Limited,Warramunga Province,Proterozoic,Regional metasomatic,Metasomatic iron,Iron oxide gold,Kalkarindji Igneous Province,Warramunga Province,North Australian Element
335369,Campaspe,,NSW,143.3413,-33.7921,operating mine,"Zrn, Rt, Ilm",Leu,"Zircon, Rutile, Ilmenite, (Leucoxene)",Tronox Limited,Murray Basin,,Erosional,Placer,Heavy mineral sands,,Murray Basin,Stawell Zone
335370,Cooloola,,QLD,153.0,-26.1268,mineral deposit,"Rt, Zrn, Ilm, Mnz, Mnsd",,"Rutile, Zircon, Ilmenite, Monazite, Mineral sands",Department of Natural Resources and Mines,Maryborough Basin,,Erosional,Placer,Heavy mineral sands,,Nambour Basin,New England Orogen
335371,Curtis Island (IA),,QLD,151.17,-23.6269,mineral deposit,"Rt, Zrn, Ilm",,"Rutile, Zircon, Ilmenite",Department of Natural Resources and Mines,New England Orogen,,,,,,,New England Orogen
335372,Inskip Point (IA),Cooloola,QLD,153.0,-25.8168,mineral deposit,"Rt, Zrn, Ilm, Mnz, Mnsd",,"Rutile, Zircon, Ilmenite, Monazite, Mineral sands",Department of Natural Resources and Mines,Maryborough Basin,,Erosional,Placer,Heavy mineral sands,,Nambour Basin,New England Orogen
335373,Labouchere,Deep South,WA,118.2701,-25.2658,historic mine,Au,,Gold,"Westgold Resources Limited, Gleneagle Gold Limited, Resource and Investment NL",Padbury Basin,Proterozoic,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Warakurna Large Igneous Province,Padbury Basin,West Australian Element
335374,Mount Bonnie,,NT,131.549,-13.5417,historic mine,"Zn, Ag, Au, Pb",Cu,"Zinc, Silver, Gold, Lead, (Copper)",Northern Gold,"Pine Creek Orogen, Mount Todd Gold Metallogenic Province",Proterozoic,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Felsic-siliciclastic VMS,,,Pine Creek Orogen
335375,Hamersley Iron - Paraburdoo,"Paraburdoo 4 East, Paraburdoo 4 west",WA,117.579,-23.2292,operating mine,"FeOre, Fe",,"Iron ore, Iron","Rio Tinto Limited, HIsmelt",Hamersley Basin,Archean,,,,Warakurna Large Igneous Province,Hamersley Basin,Pilbara Craton
335376,Stawell Project,Stawell Project,VIC,142.8002,-37.0589,operating mine,Au,,Gold,Arete Capital Partners,"Hume Superprovince, Lachlan Orogen, Lachlan Orogen, Bendigo Gold Metallogenic Province, Stawell Zone",,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,,,Stawell Zone
335378,Century,,QLD,138.625,-18.7381,operating mine,Zn,"Ag, Pb","Zinc, (Silver, Lead)",Sibanye Stillwater,"Mount Isa Orogen, Century Domain, Lawn Hill Platform",Mesoproterozoic,Basin hydrothermal,Sediment-hosted,Siliciclastic-carbonate zinc-lead,,Georgina Basin,Century Domain
335383,Baal Gammon,"UNA, Watsonville",QLD,145.3269,-17.3775,care and maintenance,"Cu, In, Sn, Ag",,"Copper, Indium, Tin, Silver","Kagara Limited, Monto Minerals NL",Hodgkinson Province,,Magmatic hydrothermal,Vein,Vein tin polymetallic,,,Mossman Orogen
335390,Torrington,,NSW,151.682,-29.2632,historic mine,"W, WO3, Toz, Bi, Sn",,"Tungsten, Tungsten trioxide (wolframite), Topaz, Bismuth, Tin",Green Critical Minerals Ltd,New England Orogen,,,,,,,New England Orogen
335394,Cloncurry Copper Project,"Cloncurry Copper-Gold Restart Project, Paddock Lode",QLD,140.5105,-20.7206,under development,"Cu, Au, Co",,"Copper, Gold, Cobalt",True North Copper Ltd,"Mount Isa Orogen, Mary Kathleen Zone",Proterozoic,Regional metasomatic,IOCG,Magnetite-dominant IOCG,,,Doherty - Fig Tree Gully Domain
335395,Kangaroo Rat,Wallace,QLD,140.755,-20.837,historic mine,Cu,"Au, Co","Copper, (Gold, Cobalt)",True North Copper Ltd,"Mount Isa Orogen, Cloncurry-Selwyn Zone",Proterozoic,,,,,,Soldiers Cap Domain
335396,McCabe,Mt McCabe,QLD,140.4906,-21.0658,historic mine,"Cu, Co",,"Copper, Cobalt",Fetch Metals,"Mount Isa Orogen, Quamby-Malbon Zone",Proterozoic,,,,,,Marimo-Staveley Domain
335399,Crown Lyell,"Crown Lyell 1, Crown Lyell 2, Crown Lyell 3",TAS,145.588,-42.0499,historic mine,"Au, Cu, Ag, Zn, Pb",,"Gold, Copper, Silver, Zinc, Lead",Vedanta Resources PLC,"Delamerian Orogen, Dundas Trough, Mount Lyell Copper-Gold Metallogenic Province",,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Bimodal felsic VMS,,Thylacine Province,Delamerian Orogen
335402,Dead Bullock Soak,"Colliwobble Ridge, Dead Bullock Ridge, Fumarole, Tanami Project, Villa",NT,129.9336,-20.5256,historic mine,Au,,Gold,Newmont Mining Corporation,"Callie, The Granites-Tanami Block",Paleoproterozoic,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Kalkarindji Igneous Province,,Tanami Orogen
335405,Rustlers Roost,Mt Bundy Project,NT,131.4984,-12.917,historic mine,Au,,Gold,China Hanking Holdings Limited,"Pine Creek Orogen, Mount Todd Gold Metallogenic Province",Proterozoic,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,,,Pine Creek Orogen
335406,Hope Downs 4,"Coondiner, East Angelas, Kalgan, Kalgan West-Parmelia",WA,119.5788,-23.1459,mineral deposit,"FeOre, Fe",,"Iron ore, Iron","Hancock Prospecting Pty Ltd, Rio Tinto Limited",Hamersley Basin,Archean,,,,Warakurna Large Igneous Province,Hamersley Basin,Pilbara Craton
335407,Cargo,,NSW,148.7957,-33.4339,mineral deposit,"Au, Cu",,"Gold, Copper",Golden Cross Resources Limited,"Lachlan Orogen, Macquarie Igneous Province, Molong - Sofala Igneous Subprovince",Paleozoic,Magmatic hydrothermal,Porphyry,Porphyry copper ± gold,,,Eastern Province
335408,Aladdin,Nannine Project,WA,118.3472,-26.8695,historic mine,Au,,Gold,Reed Resources Limited,Yilgarn Craton,Archean,,,,Warakurna Large Igneous Province,,West Australian Element
335411,Brilliant - Coolgardie,Tindals Project,WA,121.1828,-30.9695,historic mine,Au,,Gold,Focus Minerals Limited,Yilgarn Craton,Archean,,,,,,West Australian Element
335414,Lawlers Project,"Fairyland, Great Eastern, Hidden Secret, Lawlers Project, New Holland",WA,120.5357,-28.0789,mineral deposit,Au,,Gold,Gold Fields Limited,"Yilgarn Craton, Eastern Goldfields Province",Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,,,West Australian Element
335416,Pug Hill,,SA,138.1136,-30.3094,mineral deposit,"Mgs, MgO, Mg",,"Magnesite, Magnesia (magnesium oxide), Magnesium",Archer Exlporation Limited,,,Basin evaporative,Evaporite,Marine evaporite magnesite,,,South Australian Element
335420,Boundary Hill,includes Kilburnie,QLD,150.4941,-24.1994,mineral deposit,Cbl,,Coal - black,Anglo Coal Australia Pty Ltd,Callide Basin,,,,,,,Yarrol Province
335421,Boundary - Dingo Range,,WA,121.437,-27.3667,mineral deposit,Au,,Gold,Bullseye Mining Ltd,"Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,,West Australian Element
335423,Mount Margaret (Including Marshall Pool),,WA,120.9861,-28.3119,mineral deposit,"Ni, Co",,"Nickel, Cobalt",Glencore Plc,"Yilgarn Craton, Eastern Goldfields Province",Cenozoic,,,,,,West Australian Element
335424,Ridgeway,Cadia Valley,NSW,148.9759,-33.4353,care and maintenance,"Cu, Au, Mo","Ag, As","Copper, Gold, (Silver, Molybdenum, Arsenic)",Newcrest Mining Limited,"Lachlan Orogen, Lachlan Orogen, Cadia Porphyry Copper Gold Metallogenic Province",,Magmatic hydrothermal,Epithermal,Low-sulfidation (LS) epithermal gold-silver,,,Eastern Province
335430,Ellendale 9,,WA,124.8562,-17.562,mineral deposit,"Dmd, Dmdi, Dmdg",,"Diamond - undifferentiated, Diamond - industrial, Diamond - gem and cheap gem",Gem Diamonds Limited,,,Magmatic,Kimberlite,Kimberlite diamond,Kalkarindji Igneous Province,Oscar Range Province,King Leopold Orogen
335431,Golf Bore,,SA,134.0194,-29.5815,mineral deposit,Au,,Gold,"Dominion Mining Ltd, Southern Gold Limited",Gawler Craton,Proterozoic,,,,,Garford Paleovalley,Christie Domain
335432,Mindarie,Mercunda Project,SA,140.2075,-34.795,operating mine,"Zrn, Rt, Ilm, Leu, Ti",,"Zircon, Rutile, Ilmenite, Leucoxene, Titanium",Murray Zircon Pty Ltd,Murray Basin,,Erosional,Placer,Paleoplacer heavy mineral sands,,Murray Basin,Delamerian Orogen
335434,Orion,Gidgee Project,WA,119.3189,-26.9296,mineral deposit,Au,,Gold,Horizon Gold Limited,Yilgarn Craton,Archean,,,,,Hope Paleovalley,West Australian Element
335435,Eagle,Gidgee Project,WA,119.4125,-27.2649,historic mine,Au,,Gold,Horizon Gold Limited,Yilgarn Craton,Archean,,,,,Raeside Paleovalley,West Australian Element
335438,Black Cat - Dunnsville,,WA,120.91,-30.7065,mineral deposit,Au,,Gold,Ramelius Resources Limited,"Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,,West Australian Element
335440,Toedter,Gidgee Project,WA,119.3451,-26.8221,historic mine,Au,,Gold,"Horizon Gold Limited, Panoramic Resources Limited",Yilgarn Craton,Archean,,,,,,West Australian Element
335441,Anchor,,WA,122.345,-27.6719,mineral deposit,Au,,Gold,Regis Resources Limited,"Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,,West Australian Element
335444,Atric Zone,,QLD,144.3528,-16.513,mineral deposit,Au,,Gold,Republic Gold Ltd.,Mossman Orogen,Paleozoic,,,,,,Mossman Orogen
335446,Raleigh - Kundana,East Kundana JV,WA,121.2432,-30.7276,operating mine,Au,,Gold,"Rand Mining Limited, Tribune Resources Limited, Northern Star Resources Limited","Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,Roe Paleovalley,West Australian Element
335447,British King,,WA,121.2437,-27.9404,care and maintenance,Au,,Gold,"Central Iron Ore Ltd, BK Gold Mines Pty Ltd",Yilgarn Craton,Archean,,,,,,West Australian Element
335448,Santa,Randalls Project,WA,122.2028,-31.0456,operating mine,Au,,Gold,Silver Lake Resources Limited,Yilgarn Craton,Archean,,,,,,West Australian Element
335449,Caustons,Tuckabianna Project,WA,118.1393,-27.4568,historic mine,Au,,Gold,Silver Lake Resources Limited,Yilgarn Craton,Archean,,,,,,West Australian Element
335451,Brockman-Hastings,Brockman,WA,127.785,-18.3195,mineral deposit,"REO, Nb2O5, Y2O3, Ga, HfO2, Ta2O5, Hf, Nb, U, Ta, Y, Zr, REE","ZrO2, Zrn","Rare earth oxides, (Zirconia, Niobium pentoxide, Yttrium oxide, Gallium, Hafnium oxide, Tantalum pentoxide, Hafnium, Niobium, Uranium, Tantalum, Yttrium, Zirconium, Rare earth elements, Zircon)",Hastings Rare Metals Limited,"Halls Creek Orogen, Lamboo Province",Paleoproterozoic,Magmatic,Peralkaline igneous,Peralkaline igneous HFSE-REE,Kalkarindji Igneous Province,,Halls Creek Orogen
335452,Croydon,,QLD,142.2315,-18.182,historic mine,Au,,Gold,Chase Mining Corporation Limited,"Croydon Gold Metallogenic Province, Croydon Igneous Province, Croydon Province, Georgetown Block",,Metamorphic hydrothermal,Orogenic,Epizonal orogenic gold,Croydon Province,,North Australian Element
335453,East Kalkaroo,Yarramba,SA,140.6756,-31.7409,mineral deposit,"U, U3O8",,"Uranium, Uranium oxide",Boss Resources Ltd,Lake Eyre Basin,Cenozoic,,,,,Yarramba Paleovalley,Curnamona Province
335454,Forest Reefs,,NSW,149.0766,-33.4581,historic mine,Au,,Gold,Newcrest Mining Limited,"Lachlan Orogen, Lachlan Orogen, Hill End",,,,,,,Eastern Province
335456,Kintyre,,WA,122.0722,-22.3374,mineral deposit,U,U3O8,"Uranium, (Uranium oxide)","CAMECO, Cameco Corporation","Paterson Orogen, Rudall PGE (prospective) Metallogenic Province, Rudall Province",Proterozoic,Basin hydrothermal,Unconformity-related,Unconformity-related uranium,Kalkarindji Igneous Province,,Rudall Province
335457,Mount Bischoff,,TAS,145.5264,-41.4269,care and maintenance,"Sn, Cu",,"Tin, Copper","Metals X Limited, Yunnan Tin Group","Delamerian Orogen, Dundas Trough",,Magmatic hydrothermal,Skarn,Skarn tin ± copper ± Mo,,Thylacine Province,Delamerian Orogen
