ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,PROVINCES,GEOLOGIC_AGE,ENVIRONMENT,GROUP,TYPE,IGNEOUS,SEDIMENTARY,TECTONIC
333595,Savannah,Sally Malay,WA,128.029,-17.3512,care and maintenance,"Ni, Cu, Co, PGE",,"Nickel, Copper, Cobalt, Platinum group elements",Panoramic Resources Limited,"Halls Creek Orogen, Kimberley Basin, Sally Malay Nickel Metallogenic Province",Paleoproterozoic,Magmatic,Ultramafic and (or) mafic intrusion,U-M intrusion nickel-copper-PGE,Kalkarindji Igneous Province,,Halls Creek Orogen
333596,Mount Elliott,Mt Elliott,QLD,140.5017,-21.54,historic mine,"Cu, Au",U,"Copper, Gold, (Uranium)","Chinova Resources, Inova Resources, Ivanhoe Australia Limited","Mount Isa Orogen, Kuridala-Selwyn Domain, Selwyn Metallogenic Province, Cloncurry-Selwyn Zone",Mesoproterozoic,Regional metasomatic,IOCG,Magnetite-dominant IOCG,,,Kuridala-Selwyn Domain
333598,Watershed,,QLD,144.8818,-16.3378,feasibility,"W, WO3",,"Tungsten, Tungsten trioxide (wolframite)",Tungsten Mining NL,Hodgkinson Province,,Magmatic hydrothermal,Skarn,Skarn tungsten ± Mo,,,Mossman Orogen
333599,Kanmantoo,,SA,139.0054,-35.0919,under development,Cu,"Au, Ag","Copper, (Gold, Silver)",Hillgrove Resources Limited,"Kanmantoo Copper Gold Metallogenic Province, Kanmantoo Fold Belt",,Magmatic hydrothermal,Breccia pipe,Breccia pipe copper,,,Delamerian Orogen
333600,Huntly,Telegraph,VIC,144.3166,-36.657,historic mine,Au,,Gold,"Alcoa Incorporated, Alumina Limited","Lachlan Orogen, Lachlan Orogen",Cenozoic,,,,,,Bendigo Zone
333569,Sand George,Comet Vale,WA,121.1323,-29.9619,mineral deposit,Au,,Gold,Labyrinth Resources Ltd,"Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,,West Australian Element
333605,Taronga,,NSW,151.5671,-29.4282,mineral deposit,Sn,"Cu, Ag","Tin, (Copper, Silver)",First Tin PLC,New England Orogen,,Magmatic hydrothermal,Vein,Vein tin,,,New England Orogen
333606,Hunter Valley Operations,"Carrington, Chestnut, Howick, Hunter Valley No 1 & No 2, Lemington, Riverview",NSW,150.992,-32.5104,operating mine,Cbl,,Coal - black,"Glencore Plc, Yancoal Australia Limited",Sydney Basin,,,,,,Sydney Basin,Eastern Province
333608,Horse Creek,,QLD,150.4856,-26.3684,mineral deposit,Cbl,,Coal - black,Peabody Energy Corp.,Surat Basin,,,,,,Surat Basin,Connors-Auburn Province
333618,Spring Hill,Spring Hill Gold Project,NT,131.7176,-13.608,historic mine,Au,,Gold,Thor Mining PLC,"Pine Creek Orogen, Mount Todd Gold Metallogenic Province",Proterozoic,,,,,,Pine Creek Orogen
333619,Britannia,St Ives Project,WA,121.7742,-31.3204,historic mine,Au,,Gold,Gold Fields Limited,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Norseman-Wiluna Belt",Archean,,,,,,West Australian Element
333620,Nim 4,"Jundee Gold Project, Nimary Four",WA,120.5892,-26.3811,historic mine,Au,,Gold,Northern Star Resources Limited,"Yilgarn Craton, Eastern Goldfields Province",Archean,,,,Warakurna Large Igneous Province,,West Australian Element
333621,Mud Tank,,NT,134.2655,-23.0081,closed,Vrm,,Vermiculite,Imdex Ltd,"Arunta Orogen, Aileron Province",Neoproterozoic,Supergene,Laterite,Carbonatite laterite REE,Kalkarindji Igneous Province,,Aileron Province
333625,Triton,Reedy's Project,WA,118.2677,-27.1334,historic mine,Au,,Gold,Reed Resources Limited,Yilgarn Craton,Archean,,,,Warakurna Large Igneous Province,,West Australian Element
333626,Mayfield,,NSW,149.7598,-35.2531,mineral deposit,"Au, Zn, Cu, Pb, FeOre","Ag, Fe","Gold, Zinc, Copper, (Silver, Lead, Iron ore, Iron)",Capital Mining Limited,Lachlan Orogen,Paleozoic,Magmatic hydrothermal,Skarn,,,,Eastern Province
333627,Pioneer,,WA,121.6431,-31.9697,mineral deposit,"Ni, Cu",,"Nickel, Copper",Galileo Mining Ltd,"Yilgarn Craton, Eastern Goldfields Province",Archean,,,,,,West Australian Element
333629,Suttor Creek,,QLD,147.9368,-21.3799,mineral deposit,Cbl,,Coal - black,Itochu Corporation,Bowen Basin,,,,,,Bowen Basin,Anakie Province
333631,Azurite,,NT,137.752,-17.1727,mineral deposit,Cu,,Copper,Redbank Copper Limited,McArthur Basin,Proterozoic,Regional metasomatic,Metasomatic iron,Iron sulfide polymetallic,,McArthur Basin,North Australian Element
333632,Golden Eagle (Davyhurst),Davyhurst Project,WA,120.6557,-30.049,operating mine,Au,,Gold,"Ora Banda Mining Ltd, Swan Gold Mining Limited",Yilgarn Craton,Archean,,,,,,West Australian Element
