Ticker,Name,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees:Y,Sec Type,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm,CIE_DES_BULK
IMI AU Equity,INFINITY MINING LTD,4230157.77,0,,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Macarthur Australia Limited provides exploration and mining services. TheCompany explores and develops gold, copper, base metals, and lithiumprojects. Macarthur Australia serves customers worldwide."
2230088D AU Equity,INNOGY LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining, ,"Innogy Limited provides exploration and mining services. The Company exploresand develops nickel sulphide mineralisation, lithium and cobalt, and otherbattery cathode minerals projects. Innogy serves customers worldwide."
IOS AU Equity,INOSITE LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Inosite Ltd. services the mining industry. The Company performs mining andmilling activities for the production of gold.
IVA AU Equity,INOVA RESOURCES LTD,,86639000,280339008,239,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Copper, ,Chinova Resources Pty Ltd mines and refines copper products.
1913966D AU Equity,INSTINCT ENERGY LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Coal Mining, , ,"Instinct Energy Limited is an Australian company focussing on Coal Bed Methane(CBM), unconventional gas and coal exploration. The Company has under licenceprospective CBM exploration areas across the Huab and Caprivi basins in Namibia."
IGR AU Equity,INTEGRA MINING LTD,,117074000,211143008,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Integra Mining Limited is an diversified mineral exploration company with afocus primarily on gold exploration.
0626532D AU Equity,INTEGRA UG COAL MINE,,,,,Private Comp,Materials,Materials,Metals & Mining,Coal Mining,Thermal Coal, ,#N/A N/A
6051118Z AU Equity,INTERCAST & FORGE PTY LTD,,,,,Private Comp,Materials,Materials,Metals & Mining,Iron,Iron Foundries, ,"Intercast & Forge Pty. Ltd. operates as an iron casting foundry. The Companyoffers products such as mechanical, electric couplers, hubs, dog spikes, fishplates, rail track shoulders, rail track base plates, tractor and earth moverparts, rollers, and white iron wear plates and blocks. Intercast & Forgemarkets their products internationally."
IBM AU Equity,INTERNATIONAL BASE METALS LT,,,3613000,,Private Comp,Materials,Materials,Metals & Mining,Base Metals, , ,International Base Metals Limited operates as a mining company. The Companyoffers mineral exploration and development services. International Base Metalsserves customers in Namibia and Australia.
1873283D AU Equity,INTERNATIONAL COAL HOLDINGS,,295436000,986488000,1707,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"International Coal Holdings Pty Ltd operates as a holding company. The Company,through its subsidiaries, explores and produces coal. International CoalHoldings serves customers throughout Australia."
IFL LN Equity,INTERNATIONAL FERRO METALS,,2100506000,3258676992,1215,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,International Ferro Metals Limited mines chromite in South Africa to produceferrochrome.
INI AU Equity,INTERNATIONAL GOAL MINING,,,505200.0313,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining, , ,International Gold Mining Limited is a coal exploration and production companywith operations in south east Queensland. The Company's primary explorationproject is the Kingaroy Coal Project.
IGS AU Equity,INTERNATIONAL GOLDFIELDS LTD,,0,1046010,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"International Goldfields Ltd explores for gold and other minerals.  The Companyowns exploration licenses and applications in Western Australia, Victoria andQueensland."
IGF AU Equity,INTERNATIONAL GOLDFIELDS LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,International Goldfields Limited is a gold and base metal exploration andproduction company. The Company's exploration activities are located in WesternAustralia and Romania and includes the Evanston and SACU projects.
IVG AU Equity,INVERT GRAPHITE LTD,10960563.97,43703,2523788,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining, ,InVert Graphite Limited provides exploration and mining services. The Companyexplores and develops graphite projects in Tanzania and the White Hill Licencesin South Australia. InVert Graphite serves customers worldwide.
IVR AU Equity,INVESTIGATOR RESOURCES LTD,51981387.33,0,35569816,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Uranium, ,Investigator Resources Limited is a uranium exploration and production company.The Company explores and develops properties for uranium and other metals.
2540357D AU Equity,INVICTUS GOLD LTD,,0,5124209,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Invictus Gold Ltd. is a mineral exploration company. The Company owns anextensive gold tenement portfolio in Queensland, Australia."
INR AU Equity,IONEER LTD,320137157.3,0,336342528,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Lithium,"ioneer Ltd produces lithium. The Company is an emerging lithium-boron supplierfocused on developing the 100%-owned rhyolite ridge lithium-boron project inNevada, United States. ioneer serves customers worldwide."
IXR AU Equity,IONIC RARE EARTHS LTD,91111266.66,0,37573216,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Ionic Rare Earths Limited operates as a mineral exploration company. TheCompany extract gold and copper. Ionic Rare Earths serves customers inAustralia.
IPX AU Equity,IPERIONX LTD,2221833447,0,55435896,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"IperionX Limited focuses on sustainable mineral and material supply chains. TheCompany develops low carbon titanium for advanced industries including space,aerospace, electric vehicles, and 3D printing. IperionX serves customersworldwide."
IR1 AU Equity,IRIS METALS LTD,37008342.24,,,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,IRIS Metals Limited provides exploration and mining services. The Companyexplores and develops gold projects. IRIS Metals serves customers worldwide.
IRD AU Equity,IRON ROAD LTD,24920783.25,0,138558784,,Common Stock,Materials,Materials,Metals & Mining,Iron,Iron Ore Mining, ,Iron Road Limited is an Australian mineral resources company with advanced ironore projects in South Australia. The Company's flagship Central Eyre IronProject and smaller scale Gawler Iron Project have iron ore deposits located inthe Gawler Craton region.
ITM AU Equity,ITECH MINERALS LTD,10752604.79,0,20832752,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Copper, ,iTech Minerals Ltd provides exploration and mining services. The Companyexplores and develops battery metals and critical minerals projects. iTechMinerals serves customers worldwide.
JML AU Equity,JABIRU METALS LTD,,108102000,,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,Jabiru Metals Limited explores and mines for minerals with its main focus on therecovery of zinc and copper.  The Company is currently developing the Jaguarzinc and copper project located in the north eastern goldfields of WesternAustralia.
JAC AU Equity,JACANA MINERALS LTD,,25,5729656,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining, , ,"Jacana Minerals Limited engages in the research and exploration of mineral sandand graphite prospects in Tanzania. The Company was spun out from SyrahResources Ltd allowing the company to focus on specific projects. Jacana holdsa portfolio of mineral sands, graphite, nickel and coal."
JAK AU Equity,JACKSON MINERALS LTD,,,8049745.5,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals, , ,Jackson Minerals Limited is a gold exploration and mining company. The Company'sexploration projects are focused in the Eastern Goldfields and Peak HillGoldfields of Western Australia and Hodgkinson Goldfields in Queensland.
JBY AU Equity,JAMES BAY MINERALS LTD,67407223.6,,3169956,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining, ,James Bay Minerals Limited provides exploration and mining services. The Companyexplores and develops lithium projects. James Bay Minerals serves customersCanada.
JAL AU Equity,JAMESON RESOURCES LTD,71073332.2,8445,46686476,,Common Stock,Materials,Materials,Metals & Mining,Coal Mining,Thermal Coal, ,Jameson Resources Limited is an exploration company. The Company explores anddevelops properties for coal deposits in British Columbia and Saskatchewan.
JAV AU Equity,JAVELIN MINERALS LTD,12504449.78,0,6615081,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Javelin Minerals Limited is a mineral exploration company. The Company isactively involved in exploring and developing lithium, rare earth elements,precious metals, copper, lead, zinc, and other base metal projects. JavelinMinerals serves customers worldwide."
JRV AU Equity,JERVOIS GLOBAL LTD,,195230000,422027008,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Cobalt, ,"Jervois Global Limited is a vertically integrated cobalt development company.The Company focuses in nickel and copper exposure, with development stageassets, growth opportunities, and exploration projects."
JLL AU Equity,JINDALEE LITHIUM LTD,42331548.38,19684,20421816,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Lithium,"Jindalee Lithium Limited provides exploration and mining services. The Companyexplores and develops lithium and other mineral projects in south-east Oregon,the United States. Jindalee Lithium serves customers worldwide."
0740896D AU Equity,JOHN FARDY COPPER/ZINC,,,,,Private Comp,Materials,Materials,Metals & Mining,Base Metals, , ,"The John Fardy copper/zinc deposit is located 50km N of Crookwell in the UpperLachlan Shire, Australia. The deposit lies in the Lachlan Fold Belt. Thecopper-zinc project has a zinc-rich volcanic-hosted sulphide-stylemineralization. The site is accessible by road."
0367525D AU Equity,JOHN NITSCHKE DRILLING PTY L,,,,,Private Comp,Materials,Materials,Metals & Mining,Mining Services,Metals Support Services, ,John Nitschke Drilling Pty. Ltd. provides mineral drilling services.
JBM AU Equity,JUBILEE MINES NL,,387617000,492032992,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Jubilee Mines NL acquires, explores for and produces nickel and other mineralsthrough interests in Western Australia.  The Company's primary explorationproject is the Cosmos Nickel Project."
0694429D AU Equity,JUNDEE WEST GOLD MINE,,,,,Private Comp,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Northern Star Resources Ltd. Jundee West Gold Mine provides gold miningservices. The Company operates underground mining operations. Northern StarResources Ltd Jundee West Gold Mine offers its services in Australia.
