Ticker,Name,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees:Y,Sec Type,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm,CIE_DES_BULK
29M AU Equity,29METALS LTD,644528124.5,551063000,1038075008,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,29Metals Limited provides exploration and mining services. The Company exploresand develops base and precious metals assets. 29Metals serves customersworldwide.
3GC AU Equity,3G COAL LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Coal Mining,Thermal Coal, ,3G Coal Limited provides mining services. The Company offers coal explorationand development services. 3G Coal serves customers in Canada and Australia.
EGM AU Equity,888 RESOURCES LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"888 Resources Ltd. is an exploration company established primarily to explore,acquire, evaluate and exploit mineral resources projects, primarily gold. TheCompany is focused on its Beaufort Gold Project located in the Victorian GoldProvince."
92E AU Equity,92 ENERGY LTD,,0,5491659,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Uranium, ,92 Energy Limited operates as an uranium exploration company. The Companyfocuses on searching for high-grade unconformity style uranium in Canada.
ACB AU Equity,A-CAP ENERGY LTD,,0,46147864,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Uranium, ,"A-Cap Energy Limited (A-Cap) operates as a minerals exploration and developmentcompany. The Company explores, mines, and acquires nickel and cobaltlaterite resources. A-Cap serves customers in Australia."
AB1 AU Equity,ABARTA RESOURCES LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Abarta Resources Limited provides exploration and mining services. The Companyexplores and develops gold and base metal projects. Abarta Resources servescustomers worldwide.
5199979Q AU Equity,ABEDNEGO NICKEL LIMITED,,,,2,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining, , ,"Abednego Nickel Limited explores for, produces and processes nickel.  The Com-pany's primary exploration project is the Abednego Laterite Nickel Tenements inWestern Australia.  The Company also mines for other minerals including gold."
1024123D AU Equity,ABELLE LTD,,27884001,94285008,294,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Abelle Limited is a gold exploration and production company. The Company'sprimary exploration projects are the Hidden Valley, Wafi Gold and GolpuCopper-Gold Project in Papua New Guinea and the Gidgee Gold Project in WesternAustralia.  The Company also has some exploration projects in Indonesia."
0562140D AU Equity,ABERFOYLE LIMITED,,141591995.2,,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining, , ,"Aberfoyle Limited explores for minerals and produces lead, zinc, silver and goldin Australia and explores for copper and gold in Indonesia. Production includescopper at Gunpowder mine in Queensland and lead-zinc-silver concentrates fromthe Hellyer mine in Tasmania. Indonesian interests include the Pungkut NusaTenggara projects."
ABL AU Equity,ABILENE OIL AND GAS LTD,,42522,4946760,,Common Stock,Materials,Materials,Metals & Mining,Coal Mining, , ,Abilene Oil and Gas Ltd is a producer of oil. The Company's oil business isfocussed on the Mississippi play in Kansas and Oklahoma. Abilene also haspotential projects based in Brazil.
1900974D AU Equity,ABRA MINING PTY LTD,,0,25617544,13,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Abra Mining Pty Ltd operates as an exploration and mining company. The Companyfocuses on development of a mechanized underground mine and concentrator, aswell as conducting activities. Abra Mining serves customers in Australia."
ABX AU Equity,ABX GROUP LTD,18891113.18,58000,19536000,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Aluminum,Bauxite Mining,ABx Group Ltd operates as an exploration and production company. The Companyproduces and explores rare earth elements such as aluminium fluoride. ABx Groupserves customers worldwide.
0193009D AU Equity,ACACIA RESOURCES LIMITED,,131636001.6,362821024,730,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Acacia Resources Limited is a gold mining and exploration company.  TheCompany's exploration projects are located in Western Australia, South Australiaand the Northern Territory.  The Company's gold projects include Sunrise Dam,Pine Creek, Boddington and Tanami.  Acacia exports the gold internationally."
AX8 AU Equity,ACCELERATE RESOURCES LTD,5720320.984,54287,12691276,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals, , ,"Accelerate Resources Limited operates as a mining company. The Company offerscobalt, copper, nickel, and gold exploration and mining services. AccelerateResources develops its projects in Australia."
ACS AU Equity,ACCENT RESOURCES NL,2937223.698,0,22224000,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Accent Resources NL explores, evaluates, and develops iron ore and goldprospects in Western Australia and Queensland."
ADC AU Equity,ACDC METALS LTD,4935158.58,,10907406,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining, ,ACDC Metals Ltd provides exploration and mining services. The Company exploresand develops heavy mineral sands products and rare earth elements. ACDC Metalsserves customers worldwide.
2242840Z AU Equity,ACIRL PTY LTD,,,,,Private Comp,Materials,Materials,Metals & Mining,Coal Mining, , ,ACIRL Pty Ltd. provides coal sampling and analysis services. The Companyexamines and determines the inherent value of coal products through theirquality inspection and certification services.
3581654Z AU Equity,ACN 113 874 712 PTY LTD,,,,190,Private Comp,Materials,Materials,Metals & Mining,Mining Services, , ,A.C.N. 113 874 712 Pty Ltd operates as a mining company.
AIV AU Equity,ACTIVEX LTD,3017036.078,0,5899559,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Copper, ,ActivEX Limited explores for mineral commodities. The Company aims to takeadvantage of exploration opportunities when there is unprecedented growth indemand for mineral commodities after a significant reduction in exploration inexpenditure worldwide.
ADU AU Equity,ADAMUS RESOURCES LTD,,33220016,186800432,302,Common Stock,Materials,Materials,Metals & Mining,Precious Metals, , ,Adamus Resources Limited operates as a mineral exploration company withexploration projects in Australia and West Africa.  The Company primarilyfocuses on diamond and gold exploration.
0810058D AU Equity,ADANI MINING PTY LTD,,,,,Private Comp,Materials,Materials,Metals & Mining,Coal Mining, , ,"Adani Mining Pty Ltd operates as a mining company. The Company offers coaltrading, mining, oil and gas exploration, ports, multi-modal logistics, powergeneration, transmission, and gas distribution services. Adani Mining servescustomers worldwide."
ADD AU Equity,ADAVALE RESOURCES LTD,5130246.7,103640,360693,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Uranium, ,Adavale Resources Limited explores and mines metals. The Company develops andprocesses uranium properties in Australia.
9853778Z AU Equity,ADDCAR MINING SOLUTIONS PTY,,,,,Private Comp,Materials,Materials,Metals & Mining,Coal Mining, , ,Addcar Mining Solutions Pty Ltd operates as mining company. The Companyprovides coal mining and exploration services.
ADG AU Equity,ADELONG GOLD LTD,13901018.17,29030,6494655,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Adelong Gold Limited provides exploration and mining services. The Companyexplores and develops gold projects in Australia. Adelong Gold serves customersworldwide.
ADY AU Equity,ADMIRALTY RESOURCES NL,15776876.39,0,23095954,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,Admiralty Resources NL is an exploration company focusing on base metals andother diversified minerals. The Company's projects include Rincon Salar inArgentina and various tenements in the Northern Territory and Western Australia.The Company also has an interest in an unlisted orthopaedic Australian company.
AVM AU Equity,ADVANCE METALS LTD,14877550.4,0,8822727,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Advance Metals Limited operates as a base metal exploration company. TheCompany focuses on the discovery of major copper deposits in brownfield miningdistricts in Arizona and Idaho, as well as other western US states."
AML AU Equity,AEON METALS LTD,,0,106238000,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Aeon Metals Limited operates as a mining company. The Company explores andmines porphyry, copper, molybdenum mineralization, gold, lead, zinc, andsilver. Aeon Metals serves customers in Australia."
AEN AU Equity,AERAMENTUM RESOURCES LTD,,0,1354336,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining, ,"Aeramentum Resources Limited provides exploration and mining services. TheCompany explores and develops copper, nickel, and cobalt projects. AeramentumResources serves customers worldwide."
AIS AU Equity,AERIS RESOURCES LTD,330283537.8,577058000,608646976,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Copper,Copper Mining,"Aeris Resources Limited is a mining and exploration company. The Companyexplores, develops, mines, and produces copper. Aeris Resources conducts itsbusiness operations in Australia."
A1G AU Equity,AFRICAN GOLD LTD,164727171.3,0,9146084,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,African Gold Ltd. produces and distributes packaged food products. The Companysupplies a range of flavored biltong. African Gold serves customers inAustralia.
AKI AU Equity,AFRICAN IRON PTY LTD,,0,148321664,,Common Stock,Materials,Materials,Metals & Mining,Iron,Iron Ore Mining, ,African Iron Pty Limited operates as an iron ore mining company. The Companyserves customers in Australia.
AWM AU Equity,AFRO-WEST MINING LIMITED,,,,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Precious Stone Mining,Diamonds,#N/A N/A
1850639D AU Equity,AGINCOURT RESOURCES LTD,,74306000,90810000,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Agincourt Resources Limited is a gold mining exploration company whose primaryexploration project is the Wiluna Gold Mine in Western Australia.
AGR OF Equity,AGR LIMITED,,22315,15217240,33,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"AGR Limited operates a mining company, which explores for gold and otherminerals in West Africa."
AMN AU Equity,AGRIMIN LTD,33488861.45,0,95513736,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals, , ,Agrimin Limited is developing the Mackay Sulphate of Potash Project located inWestern Australia. The Company's development is focused on extracting potassiumfrom the Lake Mackay salt lake. Agrimin is targeting the production ofspecialist potash fertilizer products.
AGR AU Equity,AGUIA RESOURCES LTD,40337989.85,0,37281788,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,Aguia Resources Limited is a mineral exploration company. The Company mines anddevelops properties for phosphates in Brazil.
A1C AU Equity,AIC RESOURCES PTY LTD,,0,9462085,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"AIC Resources Pty Ltd operates as a mining company. The Company explores andproduces gold, silver, and copper. AIC Resources serves clients in Australia."
AKO AU Equity,AKORA RESOURCES LTD,15305682.56,19268,13905697,,Common Stock,Materials,Materials,Metals & Mining,Iron,Iron Ore Mining, ,Akora Resources Limited provides mineral exploration and mining services. TheCompany explores and develops iron ore projects. Akora Resources servescustomers worldwide.
AUQ AU Equity,ALARA RESOURCES LTD,38548201.97,5425381,171949952,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Uranium, ,Alara Resources Ltd. seeks to acquire overseas resources properties.
1878181D AU Equity,ALBIDON LTD-CDI,,167790,11012590,183,CDI,Materials,Materials,Metals & Mining,Base Metals, , ,Albidon Ltd. is a nickel mining company. The Company has mining operations andholdings across Africa. Albidon is active in exploration and uses the latest inexploration technology.
ALB AU Equity,ALBION RESOURCES LTD/AU,10805933.31,126543,2687606,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,Albion Resources Limited of Australia provides exploration and mining services.The Company explores and develops base metal and gold projects. AlbionResources serves customers worldwide.
ALY AU Equity,ALCHEMY RESOURCES LTD,8246533.792,0,13490898,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Alchemy Resources Limited operates as an gold, base metal, and nickel-cobaltexploration company. The Company is focused on projects in the Murchinsonregion."
3179Z US Equity,ALCOA OF AUSTRALIA LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Aluminum, ,"Alcoa of Australia Limited provides base metals. The Company focuses onproduction of bauxite, alumina, and aluminum products. Alcoa of Australiaserves clients worldwide."
AYN AU Equity,ALCYONE RESOURCES LTD,,20572707,32585264,60,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,Alcyone Resources Ltd. explores for silver in Australia.
ARN AU Equity,ALDORO RESOURCES LTD,103420472.3,0,11412854,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,"Nickel, Lead & Zinc",Nickel,Aldoro Resources Limited operates as a mineral exploration company. The Companyfocuses on exploring and developing nickel-copper sulphide and other mineraldeposits. Aldoro Resources develops its projects in Australia.
AQI AU Equity,ALICANTO MINERALS LTD,38166433.92,37756,2944652,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Alicanto Minerals Limited operates as a mineral exploration company. The Companyfocuses on the exploration and development of High-grade Multi-Element (Copper,Zinc, Gold, Silver & Lead) VMS (Volcanogenic Massive Sulphides) and IOCG (IronOxide Copper Gold) style Copper/Gold Projects in the Bergslagen District ofSweden. Alicanto Minerals serves customers in Australia."
AQX AU Equity,ALICE QUEEN LTD,5538784.76,5769,599232,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Alice Queen Limited provides mining services. The Company develops, explores,and produces gold, silver, copper, lead, and other metals. Alice Queen servescustomers in Australia."
AMS SP Equity,ALITA RESOURCES LTD,,0,92206904,3,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Lithium,Alita Resources Limited operates as a mineral exploration and excavationcompany. The Company explores and produces lithium and tantalum concentrates.Alita Resources offers its services in Australia.
ALK AU Equity,ALKANE RESOURCES LTD,1413597791,262362000,519384000,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Alkane Resources Ltd is an gold producer and explorer. The Company produces goldfrom its 100% owned Tomingley Gold Project in NSW, and conducts exploration inNSW. Alkane also has investments in junior Australian gold developers."
AHQ AU Equity,ALLEGIANCE COAL LTD,,78173865,175029920,,Common Stock,Materials,Materials,Metals & Mining,Coal Mining, , ,"Allegiance Coal Limited is a coal exploration company. The Company has adiversified portfolio of coking, PCI, and thermal coal exploration propertiescovering most of the coal basins in Queensland."
1631080D AU Equity,ALLEGIANCE MINING NL,,,222828704,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Allegiance Mining NL is a mineral exploration company that explores for andproduces nickel, copper, cobalt, platinum and other base metals.  The Company'sother activities include mine evaluation and geoelectrochemical surveys."
6047750Z AU Equity,ALLIANCE CONTRACTING PTY LTD,,,,,Private Comp,Materials,Materials,Metals & Mining,Precious Metals,Silver, ,Alliance Contracting Pty Ltd was founded in 2000. The Company's line ofbusiness includes performing metal mining services.
AXN AU Equity,ALLIANCE NICKEL LTD,27581905.37,0,55663768,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,"Nickel, Lead & Zinc",Nickel,Alliance Nickel Limited provides exploration and mining services. The Companyexplores and develops nickel and cobalt project near Leonora in WesternAustralia. Alliance Nickel serves customers worldwide.
2289442D AU Equity,ALLIANCE RESOURCES LTD,,6000,19446000,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Alliance Resources Limited is a mineral explorer with tenements in Victoria andSouth Australia. The Company actively explores for gold, uranium, and copper."
1245147D LN Equity,ALLIED GOLD MINING LTD,,146404000,621388992,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals, , ,"Allied Gold Mining Limited is a gold exploration and development company.  TheCompany produces, explores and develops projects in Papua New Guinea and theSolomon Islands."
5200039Q AU Equity,ALLIED QUEENSLAND COALFIELDS,,,28465000,,Common Stock,Materials,Materials,Metals & Mining,Coal Mining, , ,"Allied Queensland Coalfields Ltd. manages coal mining operations and variouscollieries in Queensland, Australia.  The Company's activities are concentratedat the Wilkie Creek Coal Deposit, Kogan Creek Colliery, Aberdare and New Whit-wood Collieries and the Baralaba Project."
AGE AU Equity,ALLIGATOR ENERGY LTD,102051785.3,0,68136592,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Uranium, ,"Alligator Energy Limited is a uranium exploration company. The Company isfocused on prospective, drill ready uranium targets on granted tenements inAustralia's uranium province, the ARUP in the Northern Territory."
GMM AU Equity,ALLKEM FINANCIAL SERVICES PT,,44020,1121493,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Allkem Financial Services Pty Ltd operates as a mineral exploration company.The Company holds exploration licenses in both Western Australia and Mongoliawith an emphasis on solid potash, lithium, and potassium brines."
AKE AU Equity,ALLKEM LTD,,1207801000,5217192960,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Lithium,"Allkem Limited operates as a specialty lithium chemicals company. TheCompany's portfolio includes lithium brine and borax operations in Argentina,a hard-rock lithium operation in Australia and a lithium hydroxide conversionfacility in Japan."
ALM AU Equity,ALMA METALS LTD,11143422.74,0,3670362.25,,CDI,Materials,Materials,Metals & Mining,Base Metals,Copper, ,"Alma Metals Limited provides exploration and mining services. The Companyexplores and develops gold projects in Queensland at Briggs, Mannersley and FigTree Hill and in Western Australia's East Kimberley including a copper-goldproject in the South West Terrane region. Alma Metals serves customersworldwide."
AHM AU Equity,ALPHA URANIUM PTY LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Alpha Uranium Limited explores for and produces uranium throughout Australia.The Company is currently focused on the Woolgar project in NorthQueensland, Richmond."
ALR AU Equity,ALTAIR MINERALS LTD,64451162.76,0,10633655,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Altair Minerals Limited provides exploration and mining services. The Companyexplores and develops copper, gypsum, and minerals projects. Altair Mineralsserves customers worldwide."
AZI AU Equity,ALTAMIN LTD,20107601.22,0,3804932,1287,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Uranium, ,Altamin Limited operates as a mineral exploration company. The Companyfocuses on exploration and development of base and battery metals. Altaminserves customers worldwide.
ATC AU Equity,ALTECH BATTERIES LTD,86193159.25,0,38102804,24,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Aluminum,Bauxite Mining,Altech Batteries Ltd operates as a specialty battery technology company. TheCompany develops sodium alumina solid state battery and other related materialprojects. Altech Batteries serves customers worldwide.
ATT AU Equity,ALTITUDE MINERALS LTD,6044428.292,0,4765830,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Copper,Copper Mining,"Altitude Minerals Ltd provides exploration and mining services. The Companyexplores and develops copper, gold, and mineral sands deposits in SouthAustralia and New South Wales. Altitude Minerals serves customers worldwide."
AME AU Equity,ALTO METALS LTD,,0,33225200,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Uranium, ,Alto Metal Limited provides metal exploration services. The Company offers goldand uranium exploration and mining services. Alto Metal conducts its businessin Australia.
0807461D AU Equity,ALUMINA FINANCE PTY LTD,,,,,Private Comp,Materials,Materials,Metals & Mining,Base Metals,Aluminum, ,#N/A N/A
AWC AU Equity,ALUMINA PTY LTD,,500000,1735200000,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Aluminum, ,Alumina Pty Ltd operates as an Australian resource company that producesalumina. The Company provides alumina and chemicals.
1947165D AU Equity,ALUMINEX RESOURCES LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Aluminum, ,Aluminex Resources Limited is a exploration company focused on exploring forbauxite.
ALV AU Equity,ALVO MINERALS LTD,5076885.06,,1760531,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals, , ,Alvo Minerals Limited operates as a mining company. The Companyfocuses on exploration and production of base and precious metals. AlvoMinerals serves clients in Australia.
ANL AU Equity,AMANI GOLD LTD,,156781,25985528,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Amani Gold Limited operates as a gold mining company. The Company focuses onthe exploration, development, and production of precious metals and minerals.Amani Gold manages gold mines in the Haut-Uele province, north-east DemocraticRepublic of Congo."
ARR AU Equity,AMERICAN RARE EARTHS LTD,188286180.2,0,34019732,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,American Rare Earths Limited operates as an exploration company. The Companyexplores and develops mineral resources. American Rare Earths serves customersin the United States and Australia.
AMU AU Equity,AMERICAN URANIUM LTD,13925244.32,0,27088720,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Uranium, ,American Uranium Ltd provides exploration and mining services. The Companyfocuses on the exploring and developing uranium and vanadium resources forsustainable clean energy solutions. American Uranium serves customersworldwide.
AW1 AU Equity,AMERICAN WEST METALS LTD,26121394.16,1530746,7217667,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"American West Metals Limited provides exploration and mining services. TheCompany focuses on developing the zinc, copper, indium deposits. American WestMetals serves customers worldwide."
AXZ AU Equity,AMEX RESOURCES LTD,,0,32617044,,Common Stock,Materials,Materials,Metals & Mining,Iron,Iron Ore Mining, ,"Amex Resources Limited is an iron ore focused, mineral resources developmentcompany."
1765290D AU Equity,AMPELLA MINING LTD,,0,15486702,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Ampella Mining Limited is a gold production and development company. TheCompany explores and develops properties for gold assets in parts of WestAfrica.
ANX AU Equity,ANAX METALS LTD,6179652.969,292800,43271468,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Anax Metals Limited is a commodity exploration company. The Company'sexploration projects are located in Australia and New Zealand. Anax Metals'sexploration portfolio consist of uranium, gold, and iron ore."
AHR AU Equity,ANCHOR RESOURCES LTD,,0,11504022,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals, , ,Anchor Resources Ltd. explores for metals in Australia.
ADM AU Equity,ANDEAN MINING CORP PTY LTD,,,,,Private Comp,Materials,Materials,Metals & Mining,Precious Metals, , ,"Andean Mining Limited operates as a mining and exploration company. TheCompany focuses on the development and production of gold, silver, copper, andzinc deposits. Andean Mining owns mines in Colombia."
1850998D AU Equity,ANDEAN RESOURCES LTD,,0,163910000,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Andean Resources Ltd. provides metal mining services. The Company acquires,explores, and develops precious metals properties and mineral resources. AndeanResources conducts its business worldwide."
ASL AU Equity,ANDEAN SILVER LTD,306764236.3,319342,37441152,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining, ,"Andean Silver Limited operates as a mineral exploration company. The Companyfocuses on the gold, base metal, rare earth elements, and lithium discoveries.Andean Silver serves customers in Australia."
ADN AU Equity,ANDROMEDA METALS LTD,45800116.9,0,158068016,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Andromeda Metals Limited operates as a mineral mining and exploration company.The Company focuses on mineral exploration for gold, lithium, and copperdeposits. Andromeda Metals offers its services in Australia."
0364897D AU Equity,ANGLOGOLD ASHANTI AUSTRALIA,,,,4,Private Comp,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Anglogold Ashanti Australia Ltd. provides gold mining and exploration services.The Company produces gold ore and related raw materials through both hard-rockand open pit mining activities. AngloGold markets and distributes its productsto customers internationally.
ASN AU Equity,ANSON RESOURCES LTD,119712837.6,0,54597520,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining, ,"Anson Resources Limited owns and develops precious metal mining assets. TheCompany operates graphite, gold, and lithium projects in Western Australia andthe United States"
2512185D AU Equity,ANTAEUS ENERGY LIMITED,,261000.0074,33071000,,Common Stock,Materials,Materials,Metals & Mining,Coal Mining, , ,"Antaeus Energy Limited is a supplier of energy products which includes carbonmaterials like coke and associated co-generation of steam and electricity.  TheCompany utilizes its Antaeus Continuous Coke process to convert coal and coalmine tailings into marketable high-quality coke and synthetic fuel, which whenused, restores the site of the coal ponds during the production process."
AM5 AU Equity,ANTARES METALS LTD,3603970.293,7069,4106162,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,"Nickel, Lead & Zinc",Nickel,"Antares Metals Limited provides exploration and mining services. The Companyexplores and develops copper and uranium, nickel, and lithium projects. AntaresMetals serves customers worldwide."
AAU AU Equity,ANTILLES GOLD LTD,18844260.12,0,15618192,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Antilles Gold Limited is a gold producer involved in the exploration,acquisition, and development of gold and silver properties in Latin America.The Company is scheduled to begin production in early 2012 at the Las LagunasGold Tailing Project in the Dominican Republic and continuing to develop andexplore potential sites in the Azuay Region of Southern Ecuador."
AZY AU Equity,ANTIPA MINERALS LTD,451250903.8,597864,81048152,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,Antipa Minerals Ltd. provides mining services. The Company owns gold and copperprojects in Western Australia.
0947035D CN Equity,ANVIL MINING LTD,,60149000,675945984,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Anvil Mining Ltd., under MMG, provides mining services. The Company explores,develops, and mines base metal deposits such as zinc, copper, lead, gold, andsilver. Anvil Mining conducts business operations internationally."
1347096D AU Equity,ANVIL MINING NL,,16948999.4,22384132,383,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Copper, ,Anvil Mining NL is an Australian exploration and production company withexploration activities at the Dikulushi copper-silver deposit in the DemocraticRepublic of Congo.
APC AU Equity,APC MINERALS LTD,2636400.357,0,1560284,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals, , ,"APC Minerals Limited provides exploration and mining services. The Companyexplores and develops gold, potash, rare earth elements, nickel sulphide, andlithium projects. APC Minerals serves customers worldwide."
1843158D AU Equity,APERIO RESOURCES LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Aperio Resources Ltd. is a mineral exploration company which aims to developexisting projects and identify and acquire additional projects in Burkina Fasoand elsewhere in West Africa. The Company is focused on gold exploration in theLiguidi and Boussoum tenements.
AXM AU Equity,APEX MINERALS NL,,61602000,71654000,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Apex Minerals NL explores, produces, and develops gold mines in WesternAustralia.  The Company also mines for nickel and other base metals."
AQQ AU Equity,APHRODITE GOLD LTD,,0,29490656,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Aphrodite Gold Ltd. is a gold mining company. The Company was formed for thepurpose of acquiring and bringing into production the Aphrodite Gold Projectnear Kalgoorlie in Western Australia.
AOP AU Equity,APOLLO CONSOLIDATED LTD,,0,58219492,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Apollo Consolidated Limited is a gold and base metals exploration anddevelopment company. The Company business focus is in West Africa particularthe country of Cote d'Ivoire. Apollo based in Perth, Western Australia."
AON AU Equity,APOLLO MINERALS LTD,5570741.394,92807,11605962,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,Apollo Minerals Limited focuses on the development of the Couflens tungsten andgold project in France. The Company's project includes the historical Salautungsten mine. Apollo Minerals studies the potential to reopen Salau mine andexploring regional targets for gold and tungsten.
1311390D AU Equity,AQUARIUS PLATINUM(AUSTRALIA),,,,50,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining, , ,"Aquarius Platinum (Australia) Limited mines for, explores and develops platinumand gold.  The Company's main exploration project is Kroondal Platinum Projectlocated in South Africa.  Aquarius also holds gold operation joint ventureagreements in Western Australia."
AQA AU Equity,AQUILA RESOURCES PTY LTD,,0,1006211968,,Common Stock,Materials,Materials,Metals & Mining,Mining Services,Coal Support Services, ,"Aquila Resources Limited is an exploration company with interests in coal andiron ore.  Aquila's exploration activities are located in Queensland, WesternAustralia and South Africa."
AQN AU Equity,AQUIRIAN LTD,31495193.42,26005317,34544420,,Common Stock,Materials,Materials,Metals & Mining,Mining Services, , ,Aquirian Limited provides mining solutions. The Company offers solutions andequipment for the mining industry. Aquirian serves customers worldwide.
ARU AU Equity,ARAFURA RARE EARTHS LTD,495946149,0,155852208,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Arafura Rare Earths Ltd is a mineral exploration and development companyoperating solely in the Northern Territory of Australia. Principal commoditiesinclude rare earths, phosphate, gold, nickel, and vanadium. Arafura Rare Earthsserves customers worldwide."
AAG AU Equity,ARAGON RESOURCES PTY LTD,,,,254,Common Stock,Materials,Materials,Metals & Mining,Precious Metals, , ,"Aragon Resources Limited is a mineral exploration company. The Company ownsinterests in gold, uranium, and nickel exploration projects in WesternAustralia."
