Ticker,Name, Market Cap , Revenue:Y , Tot Assets:Y ,Number of Employees:Y,Sec Type,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm,CIE_DES_BULK
9636599Z AU Equity,WINWARD GROUP PTY LTD,   ,   ,   , ,Private Comp,Industrials,Industrial Services,Engineering & Construction,Engineering Services, , ,"WSP Structures Pty Ltd provides engineering services. The Companyprovides cutting edge engineering designing, documentation, and constructionphase services. WSP Structures serves clients worldwide."
1248678D AU Equity,AUTOMATION PARTNERS PTY LTD,   ,   ,   , ,Private Comp,Industrials,Industrial Services,Engineering & Construction,Building Construction, , ,Automation Partners Pty Ltd constructs buildings.
6914069Z AU Equity,MALD PTY LTD,   ,   ,   ,36512,Private Comp,Industrials,Industrial Services,Engineering & Construction,Building Construction, , ,"Mald Pty Ltd was founded in 2007. The Company providesbusiness services such as bondspersons, drafting, lecture bureaus, andnotaries."
9675995Z AU Equity,AHRENS EASTERN AUSTRALIA PTY,   ,   ,   , ,Private Comp,Industrials,Industrial Services,Engineering & Construction,Engineering Services,Construction Engineering Svcs, ,"Ahrens Eastern Australia Pty Ltd provides construction services. The Companyoffers design, refurbishment, mining, steel fabrication, sheds, silos, storage,engineering, and other services. Ahrens Eastern Australia serves clientsworldwide."
DRA AU Equity,DRA GLOBAL LTD,   ,902928000,524252000, ,Common Stock,Industrials,Industrial Services,Engineering & Construction,Engineering Services, , ,"DRA Global Limited operates as a diversified global engineering, projectdelivery, and operations management group. The Company offers pre-feasibilityplanning and assessment through design, project management, and constructionsupervision, as well as consulting, project development, and financing. DRAGlobal serves customers worldwide."
1933311D AU Equity,137 GO DEVELOPMENT PTY LTD,   ,   ,   , ,Private Comp,Industrials,Industrial Services,Engineering & Construction,Building Construction, , ,137 Go Development Pty Ltd provides building construction services.
1949489D AU Equity,STELLA NEL FINANCE PTY LTD,   ,   ,   , ,Private Comp,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,Transportation Infra Const, ,Stella Nel Finance Pty Limited builds transportation infrastructure.
SH2 AU Equity,SYNERGEN MET LTD,   ,   ,   , ,Common Stock,Industrials,Industrial Services,Engineering & Construction,Engineering Services,Environmental Engineering Svcs, ,"Synergen Met Limited operates as a thermal plasma technology company. TheCompany offers clean treatment and destruction, blue and green hydrogenproduction, and other sustainable solutions to environmental problems. SynergenMet serves customers worldwide."
OTR AU Equity,ONTERRAN LTD,   ,265352000,70316000, ,Common Stock,Industrials,Industrial Services,Engineering & Construction,Building Construction,Industrial Buildings Const, ,"Onterran Limited manufactures modular building solutions utilizedby companies operating in the resources (mining, oil and gas), infrastructure,building, construction, tourism and leisure sectors."
1847635D AU Equity,RCR TOMLINSON LTD,   ,1998455000,962164992, ,Common Stock,Industrials,Industrial Services,Engineering & Construction,Building Construction, , ,"RCR Tomlinson Limited provides a range of engineering services to the Australianresources and construction industries.  The Company provides integratedengineering which includes design, project management, ferrous castings,machining, fabrication, construction, installation and maintenance."
