Ticker,Company Name,Country of Domicile,Company Type,Market Cap,Revenue:Y,Tot Assets:Y,Tier_MarketCap,Tier_Revenue,Tier_Assets,CountryGroup,AssetTurnover,MarketToAsset,CapIntensity,Group_AssetTurnover,Group_MarketToAsset,Group_CapIntensity
USL AU Equity,Unico Silver Ltd,Australia,Common Stock,285780000.0,,6720000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,42.526785714285715,,UnknownTurnover,HighValue,UnknownCap
1712 HK Equity,Dragon Mining Ltd,Australia,Common Stock,279760000.0,73540000.0,132570000.0,MicroCap,LowRevenue,LightAsset,Australia,0.5547258052349702,2.110281360790526,1.8026924122926298,MidTurnover,HighValue,BalancedCap
GG8 AU Equity,Gorilla Gold Mines Ltd,Australia,Common Stock,277880000.0,,25210000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,11.022610075366918,,UnknownTurnover,HighValue,UnknownCap
WC8 AU Equity,Wildcat Resources Ltd,Australia,Common Stock,274080000.0,,257550000.0,MicroCap,UnknownRevenue,LightAsset,Australia,,1.064181712288876,,UnknownTurnover,FairValue,UnknownCap
FML AU Equity,Focus Minerals Ltd,Australia,Common Stock,262200000.0,115140000.0,323610000.0,MicroCap,MidRevenue,LightAsset,Australia,0.355798646518958,0.8102345415778252,2.810578426263679,MidTurnover,FairValue,BalancedCap
GRR AU Equity,Grange Resources Ltd,Australia,Common Stock,260400000.0,520800000.0,1300000000.0,MicroCap,MidRevenue,MidAsset,Australia,0.4006153846153846,0.2003076923076923,2.49615975422427,MidTurnover,LowValue,BalancedCap
BIS AU Equity,Bisalloy Steel Group Ltd,Australia,Common Stock,258940000.0,152810000.0,133930000.0,MicroCap,MidRevenue,LightAsset,Australia,1.1409691629955947,1.9333980437542,0.8764478764478765,HighTurnover,HighValue,CapLight
CXO AU Equity,Core Lithium Ltd,Australia,Common Stock,254210000.0,189490000.0,323960000.0,MicroCap,MidRevenue,LightAsset,Australia,0.5849178910976663,0.7846956414372145,1.7096416697451053,MidTurnover,FairValue,BalancedCap
BGD AU Equity,Barton Gold Holdings Ltd,Australia,Common Stock,250820000.0,,25320000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,9.906003159557661,,UnknownTurnover,HighValue,UnknownCap
FUN AU Equity,Fortuna Metals Ltd,Australia,Common Stock,250340000.0,,9790000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,25.57099080694586,,UnknownTurnover,HighValue,UnknownCap
TGM AU Equity,Theta Gold Mines Ltd,Australia,Common Stock,248020000.0,,35670000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,6.95318194561256,,UnknownTurnover,HighValue,UnknownCap
TVN AU Equity,Tivan Ltd,Australia,Common Stock,245340000.0,,27650000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,8.873056057866185,,UnknownTurnover,HighValue,UnknownCap
BCN AU Equity,Beacon Minerals Ltd,Australia,Common Stock,243150000.0,92370000.0,112320000.0,MicroCap,LowRevenue,LightAsset,Australia,0.8223824786324786,2.1647970085470085,1.2159792140305294,HighTurnover,HighValue,BalancedCap
WA8 AU Equity,Warriedar Resources Ltd,Australia,Common Stock,232950000.0,324740.0,93310000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.003480227199657057,2.4965169863894543,287.33756235757835,LowTurnover,HighValue,CapHeavy
FXG AU Equity,Felix Gold Ltd,Australia,Common Stock,230410000.0,,20760000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,11.098747591522159,,UnknownTurnover,HighValue,UnknownCap
AEE AU Equity,Aura Energy Ltd,Australia,Common Stock,228670000.0,,63190000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,3.6187687925304637,,UnknownTurnover,HighValue,UnknownCap
GRX AU Equity,Greenx Metals Ltd,Australia,Common Stock,219620000.0,9400.800000000001,17210000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.0011527886160927056,12.761185357350378,867.5006382435424,LowTurnover,HighValue,CapHeavy
RHI AU Equity,Red Hill Minerals Ltd,Australia,Common Stock,219320000.0,,98750000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,2.2209620253164557,,UnknownTurnover,HighValue,UnknownCap
AUE AU Equity,Aurum Resources Ltd,Australia,Common Stock,218650000.0,,22080000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,9.902626811594203,,UnknownTurnover,HighValue,UnknownCap
TOK AU Equity,Tolu Minerals Ltd,Australia,Common Stock,218230000.0,,,MicroCap,UnknownRevenue,UnknownAsset,Australia,,,,UnknownTurnover,UnknownValue,UnknownCap
CTM AU Equity,Centaurus Metals Ltd,Australia,Common Stock,210860000.0,,39500000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,5.3382278481012655,,UnknownTurnover,HighValue,UnknownCap
PRG AU Equity,PRL Global Ltd,Australia,Common Stock,204860000.0,1480000000.0,505180000.0,MicroCap,UpperRevenue,LightAsset,Australia,2.929648838037927,0.40551882497327685,0.34133783783783783,HighTurnover,LowValue,CapLight
TLG AU Equity,Talga Group Ltd,Australia,Common Stock,202880000.0,225410.0,46100000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.004889587852494577,4.400867678958785,204.51621489729825,LowTurnover,HighValue,CapHeavy
SS1 AU Equity,Sun Silver Ltd,Australia,Common Stock,198570000.0,180830.0,24230000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.007463062319438712,8.195212546430046,133.99325333185865,LowTurnover,HighValue,CapHeavy
ARR AU Equity,American Rare Earths Ltd,Australia,Common Stock,193910000.0,,31330000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,6.189275454835621,,UnknownTurnover,HighValue,UnknownCap
PEK AU Equity,Peak Rare Earths Ltd,Australia,Common Stock,193650000.0,,72590000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,2.6677228268356523,,UnknownTurnover,HighValue,UnknownCap
BM1 AU Equity,Ballard Mining Ltd,Australia,Common Stock,190400000.0,,,MicroCap,UnknownRevenue,UnknownAsset,Australia,,,,UnknownTurnover,UnknownValue,UnknownCap
HRZ AU Equity,Horizon Minerals Ltd,Australia,Common Stock,188300000.0,36850000.0,195010000.0,MicroCap,LowRevenue,LightAsset,Australia,0.18896466847853957,0.9655915081277883,5.291994572591587,LowTurnover,FairValue,CapHeavy
ZEO AU Equity,Zeotech Ltd,Australia,Common Stock,184790000.0,775120.0,12840000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.06036760124610592,14.391744548286605,16.565177004850863,LowTurnover,HighValue,CapHeavy
CAA AU Equity,Capral Ltd,Australia,Common Stock,183590000.0,649700000.0,472420000.0,MicroCap,MidRevenue,LightAsset,Australia,1.3752593031624403,0.3886160619787477,0.7271356010466369,HighTurnover,LowValue,CapLight
LRM AU Equity,Lion Rock Minerals Ltd,Australia,Common Stock,180250000.0,72160.0,159040.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.4537223340040241,164.1207728293401,2.203991130820399,MidTurnover,HighValue,BalancedCap
ANG AU Equity,Austin Engineering Ltd,Australia,Common Stock,179950000.0,376730000.0,303330000.0,MicroCap,MidRevenue,LightAsset,Australia,1.2419806811063858,0.5932482774535984,0.8051655031454888,HighTurnover,LowValue,CapLight
VTM AU Equity,Victory Metals Ltd,Australia,Common Stock,179850000.0,,11020000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,16.32032667876588,,UnknownTurnover,HighValue,UnknownCap
ATR AU Equity,Astron Ltd,Australia,Common Stock,177970000.0,10970000.0,134190000.0,MicroCap,LowRevenue,LightAsset,Australia,0.08174975780609584,1.3262538192115656,12.232452142206016,LowTurnover,FairValue,CapHeavy
WTM AU Equity,Waratah Minerals Ltd,Australia,Common Stock,175450000.0,90910.0,10500000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.008658095238095237,16.70952380952381,115.49884501154989,LowTurnover,HighValue,CapHeavy
TOR AU Equity,Torque Metals Ltd,Australia,Common Stock,175380000.0,,22780000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,7.698858647936786,,UnknownTurnover,HighValue,UnknownCap
FAL AU Equity,Falcon Metals Ltd/Australia,Australia,Common Stock,173310000.0,,8600000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,20.15232558139535,,UnknownTurnover,HighValue,UnknownCap
A1G AU Equity,African Gold Ltd,Australia,Common Stock,170040000.0,,9150000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,18.58360655737705,,UnknownTurnover,HighValue,UnknownCap
QGL AU Equity,Quantum Graphite Ltd,Australia,Common Stock,169040000.0,,22600000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,7.479646017699115,,UnknownTurnover,HighValue,UnknownCap
HCH AU Equity,Hot Chili Ltd,Australia,Common Stock,168730000.0,,250880000.0,MicroCap,UnknownRevenue,LightAsset,Australia,,0.6725526147959183,,UnknownTurnover,LowValue,UnknownCap
ENR AU Equity,Encounter Resources Ltd,Australia,Common Stock,167640000.0,,37930000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,4.41972053783285,,UnknownTurnover,HighValue,UnknownCap
PEN AU Equity,Peninsula Energy Ltd,Australia,Common Stock,167270000.0,18110000.0,319490000.0,MicroCap,LowRevenue,LightAsset,Australia,0.056684090268866005,0.5235531628532974,17.641634456101603,LowTurnover,LowValue,CapHeavy
GBZ AU Equity,GBM Resources Ltd,Australia,Common Stock,163010000.0,,61140000.0,MicroCap,UnknownRevenue,MicroAsset,Australia,,2.666175989532221,,UnknownTurnover,HighValue,UnknownCap
EGR AU Equity,Ecograf Ltd,Australia,Common Stock,162100000.0,3720000.0,49940000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.07448938726471765,3.2458950740889065,13.424731182795698,LowTurnover,HighValue,CapHeavy
BHM AU Equity,Broken Hill Mines Ltd,Australia,Common Stock,161210000.0,101250.0,24540000.0,MicroCap,VeryLowRevenue,MicroAsset,Australia,0.004125916870415648,6.5692746536267315,242.37037037037038,LowTurnover,HighValue,CapHeavy
