Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total Staff,Total staff in WA,Balance date,Total Revenue,Total Revenue (previous year),Operating Revenue,Operating Revenue (previous year),Profit or Loss,Profit or Loss (previous year),Total Assets,Total Assets (previous year),Total Liabilities,Total Liabilities (previous year),Trading status,Debt - Term Loans Due,Debt - Term Loans Expire,Debt - Interest Bearing Loan & Borrowing Date,Debt - Interest Bearing Loan & Borrowing Amount,Debt - Term Loans Amount,"Debt - Term Loans (e.g. Syndicated, bonds etc)",Short Term Debt,Short Term Debt (previous year),Long Term Debt,Long Term Debt (previous year),Joint Ventures - Partner Name,Joint Ventures - Beneficial Interest,Joint Ventures - Share of Revenue,Joint Ventures - Carrying Amount,Joint Ventures - Profit/Loss,Joint Ventures - Assets,Joint Ventures - Liabilities,Associates - Name,Associates - Beneficial Interest,Associates - Share of Revenue,Associates - Carrying Amount,Associates - Profit/Loss,Associates - Assets,Associates - Liabilities,Company Status,Lawyers,Auditors,Geographical,Industry,Shares (million),ASX Code,Share Registry,Home Exchange,Ultimate holding company
Artemis Resources,238,129,,,,,30-Jun-2024,$232.74k,$80.06k,$0,$0,$-16.59m,$-16.92m,$39.17m,$52.79m,$7.33m,$7.42m,,,,,,,,$47.79k,$103.38k,$0,$49.58k,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Artemis Resources (ARV) is a gold, copper and…Artemis Resources (ARV) is a gold, copper and lithium focused resources company with a highly attractive suite of projects in Western Australia's underexplored North Pilbara Gold Province.","3,764",ARV,,PERTH,
Pantoro Gold,30,41,Paul Cmrlec(Managing Director),,,,30-Jun-2024,$258.87m,$98.69m,$229.43m,$98.54m,$-49.31m,$-74.64m,$560.88m,$514.91m,$147.58m,$176.69m,,,,,,,,$27.38m,$55.42m,$28.74m,$24.15m,,,,,,,,,,,,,,,,,Ernst & Young,,"Pantoro Gold Limited (PNR, formerly Pantoro…Pantoro Gold Limited (PNR, formerly Pantoro Limited), is an Australian gold producer company. The company is focused on unlocking the capability of its 100%-owned Norseman Gold Project (Norseman or the Project).",394,PNR,,PERTH,
Meeka Metals,444,330,,1997,,,30-Jun-2024,$0,$200.00k,$0,$0,$-2.94m,$-994.13k,$35.45m,$30.18m,$7.53m,$4.76m,,,,,,,,$2.19m,$54.19k,$37.95k,$93.61k,,,,,,,,,,,,,,,,Steinepreis Paganin,Grant Thornton Audit Pty Ltd,,Meeka Metals Limited is an Australia-based gold…Meeka Metals Limited is an Australia-based gold and rare earths company. The Company has a portfolio of 100% owned projects across Western Australia. The Company is engaged in the exploration and evaluation of its mineral assets at the Murchison Gold Project and Circle Valley Project.,"2,918",MEK,,PERTH,
S2 Resources,183,211,Mark Bennett(Executive Chair),,,,30-Jun-2024,$504.77k,$308.98k,$0,$0,$-8.19m,$-6.76m,$8.99m,$9.69m,$898.06k,$804.74k,,,,,,,,$46.52k,$74.67k,$43.71k,$85.14k,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,S2 Resources Ltd (S2R) is engaged in mineral…S2 Resources Ltd (S2R) is engaged in mineral exploration of gold and base metals. The projects are based in Australia and Finland.,501,S2R,,PERTH,
Tyranna Resources,445,260,,,,,30-Jun-2024,$0,$306,$0,$0,$-42.47m,$-7.60m,$8.10m,$37.84m,$170.69k,$291.00k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,"Tyranna Resources Ltd (TYX) is resources and…Tyranna Resources Ltd (TYX) is resources and exploration company primarily focused on lithium exploration in Angola, Africa. Their aim is to discover and develop a lithium source of global significance to create wealth for shareholders and local Angolans and assist the global adoption of clean energy. It currently has one project, the Muvero Lithium Project, located near the Port of Namibe, where initial drilling targeted spodumene mineralisation.","3,342",TYX,,PERTH,
Kalamazoo Resources,249,276,,,,,30-Jun-2024,$189.15k,$1.94m,$0,$0,$4.61m,$-3.32m,$27.07m,$21.33m,$4.95m,$3.53m,,,,,,,,$1.25m,$1.99m,$38.64k,$31.02k,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,Kalamazoo Resources Limited (KZR) is involved in…Kalamazoo Resources Limited (KZR) is involved in seeking extensions of areas held and to seek out new areas with mineral potential and to carry out exploration on its mineral tenements.,236,KZR,,PERTH,
Platina Resources,65,119,"Corey Nolan(Chief Executive, Managing Director)",2016,,,30-Jun-2024,$18.34m,$21.71k,$0,$0,$13.98m,$-7.97m,$26.93m,$5.43m,$1.37m,$588.35k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Hopgood Ganim Lawyers,Bentleys Brisbane Partnership,,Platina Resources Limited (PGM) is an Australian…Platina Resources Limited (PGM) is an Australian based company focused on the exploration and development of early-stage metal projects. The company controls a portfolio of gold projects in the Yilgarn Craton and Ashburton Basin in Western Australia.,623,PGM,,BRISBANE,
Avira Resources,342,437,,,,,30-Jun-2024,$28.75k,$0,$0,$0,$-715.71k,$-1.29m,$1.79m,$1.90m,$3.99k,$155.09k,,,,,,,,$0,$3.65k,$0,$0,,,,,,,,,,,,,,,,Steinepries Paganin,HLB Mann Judd,,"Avira Resources Ltd (AVW) is an ASX listed mining…Avira Resources Ltd (AVW) is an ASX listed mining exploration company. In addition to the Puolalaki Project in Sweden, the Company holds two tenement packages within the Paterson Range province in the Northwest of Western Australia which is host to several gold, copper and manganese mines and deposits, including the Telfer gold-copper mine.",230,AVW,,PERTH,
Evion Group,196,,,,,,30-Jun-2024,$452.71k,$764.97k,$0,$0,$-3.21m,$-3.57m,$9.78m,$11.90m,$768.99k,$802.81k,,,,,,,,$19.83k,$0,$55.34k,$0,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,"Evion Group NL (EVG, formerly BlackEarth Minerals…Evion Group NL (EVG, formerly BlackEarth Minerals NL) is a vertically integrated graphite developer with projects currently based in the Republic of Madagascar, India and Europe. The Company holds the flagship Maniry Graphite Project which is located in Southern Madagascar, with the Bankable Feasibility Study (BFS) recently completed and a focus on value added products which are in high demand. Evion is currently involved in several downstream value added graphite processing opportunities in both India and Europe.",439,EVG,,PERTH,
Trinex Minerals,446,563,"Will Dix(Chief Executive, Managing Director)",2014,,,30-Jun-2024,$0,$0,$0,$0,$-4.93m,$-3.08m,$16.79m,$9.33m,$1.56m,$679.19k,,,,,,,,$72.30k,$75.56k,$81.81k,$154.11k,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Trinex Minerals Limited (TX3) is an Australian…Trinex Minerals Limited (TX3) is an Australian-based resources company exploring for minerals, essential for the future transition towards clean energy. The Company holds energy minerals projects in Canada and Australia.",46,TX3,,PERTH,
Horizon Gold,337,322,,2016,,,30-Jun-2024,$32.00k,$41.00k,$0,$0,$-1.71m,$-2.14m,$44.10m,$40.75m,$12.15m,$11.94m,,,,,,,,$0,$41.00k,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Horizon Gold Limited (HRN) is an ASX-listed gold…Horizon Gold Limited (HRN) is an ASX-listed gold explorer based in Perth, Western Australia. The Company is engaged in the exploration, evaluation, and development of the Gum Creek Gold Project, situated in the Central Murchison region of Western Australia.",169,HRN,,PERTH,
