Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total Staff,Total staff in WA,Balance date,Total Revenue,Total Revenue (previous year),Operating Revenue,Operating Revenue (previous year),Profit or Loss,Profit or Loss (previous year),Total Assets,Total Assets (previous year),Total Liabilities,Total Liabilities (previous year),Trading status,Debt - Term Loans Due,Debt - Term Loans Expire,Debt - Interest Bearing Loan & Borrowing Date,Debt - Interest Bearing Loan & Borrowing Amount,Debt - Term Loans Amount,"Debt - Term Loans (e.g. Syndicated, bonds etc)",Short Term Debt,Short Term Debt (previous year),Long Term Debt,Long Term Debt (previous year),Joint Ventures - Partner Name,Joint Ventures - Beneficial Interest,Joint Ventures - Share of Revenue,Joint Ventures - Carrying Amount,Joint Ventures - Profit/Loss,Joint Ventures - Assets,Joint Ventures - Liabilities,Associates - Name,Associates - Beneficial Interest,Associates - Share of Revenue,Associates - Carrying Amount,Associates - Profit/Loss,Associates - Assets,Associates - Liabilities,Company Status,Lawyers,Auditors,Geographical,Industry,Shares (million),ASX Code,Share Registry,Home Exchange,Ultimate holding company
NKWE Platinum,395,,TieLong Tan(Managing Director),,,,30-Dec-2017,$532,$461.35k,$0,$0,$-1.53m,$-698.61k,$114.87m,$112.56m,$411.41k,$317.40k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Ernst & Young,,"Acquisition, exploration, and development of…Acquisition, exploration, and development of platinum group and associated base metal projects.",896,NKP,,PERTH,
Somerset Minerals,532,,,2018,,,30-Jun-2024,$0,$391.98k,$0,$0,$-19.99m,$-5.82m,$4.01m,$23.58m,$5.50m,$8.75m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,Pitcher Partners BA&A Pty Ltd,,"Somerset Minerals Limited (SMM, formerly Tempus…Somerset Minerals Limited (SMM, formerly Tempus Resources Ltd) is an exploration company focused on developing gold, silver, and copper mineral opportunities in the Americas. In the last 6 months, the company entered into a conditional agreement to acquire the Coppermine Project in Nunavut, Canada, and completed the sale of the Valle del Tigre II mineral concession in Ecuador.",806,SMM,,PERTH,
Moho Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOH,,,
Orinoco Gold,404,122,,,,,30-Dec-2018,$0,$772.99k,$0,$0,$-43.25m,$-13.08m,$4.35m,$35.77m,$20.89m,$24.06m,,,,,,,,$1.61m,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,HLB Mann Judd,,"Developing a gold mine and conducting exploration…Developing a gold mine and conducting exploration activities on projects located on the Faina Greenstone Belt in central Brazil, South America.","1,423",OGX,,PERTH,
Pensana,295,448,Geoffrey Gilmour(Consultant (since August 2017); (Managing Director 2009-2017)),,,,30-Jun-2020,$70.28k,$511.98k,$0,$0,$-5.94m,$-5.83m,$23.95m,$17.53m,$2.30m,$635.45k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,DLA Piper Australia,Ernst & Young,,"Pensana Rare Earths Plc (PM8, formerly Pensana…Pensana Rare Earths Plc (PM8, formerly Pensana Metals Ltd) is a mineral exploration company with a package of tenements in areas of Tanzania and Angola.",131,PM8,,PERTH,
New Energy Minerals,236,179,,,,,30-Jun-2020,$250.40k,$295.56k,$0,$0,$-10.30m,$-10.62m,$7.51m,$16.66m,$6.19m,$4.64m,,,,,,,,$2.50m,$2.91m,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,HLB Mann Judd,,"New Energy Minerals Ltd (NXE, formerly Mustang…New Energy Minerals Ltd (NXE, formerly Mustang Resources Limited) is involved in diamond and graphite exploration and mining in Mozambique. Currently NXE is focused on the development of the Caula Vanadium-Graphite Project in Northern Mozambique.",3,NXE,,PERTH,
Oilex,239,249,Jonathan Salomon(Executive Chair),,,,30-Jun-2021,$230.80k,$98.00k,$0,$0,$-614.35k,$-5.84m,$15.14m,$11.83m,$6.16m,$8.11m,,,,,,,,$0,$769.56k,$0,$0,,,,,,,,,,,,,,,,,PKF Perth,,"Oilex Limited (OEX) is an oil and gas exploration…Oilex Limited (OEX) is an oil and gas exploration and production company, focusing on its flagship Cambay project in India and the Canning Basin of Western Australia.","6,261",OEX,,PERTH,
DMC Mining,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMM,,,
Finder Energy,349,143,Jan Ostby(Founder),2004,,,30-Jun-2024,$22.14k,$2.66m,$0,$0,$-4.24m,$-2.48m,$7.06m,$10.16m,$10.08m,$9.85m,,,,,,,,$115.49k,$50.44k,$0,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,Finder Energy Holdings Limited (FDR) is a Company…Finder Energy Holdings Limited (FDR) is a Company engaged in oil and gas exploration in the North West Shelf off the coast of Western Australia and in the North Sea in the United Kingdom.,382,FDR,,PERTH,
Tambourah Metals,361,391,Rita Brooks(Executive Chair),2020,,,30-Jun-2024,$13.63k,$80.00k,$0,$0,$-2.31m,$-603.94k,$8.45m,$7.95m,$303.23k,$683.54k,,,,,,,,$55.52k,$50.88k,$34.39k,$89.91k,,,,,,,,,,,,,,,,,Hall Chadwick Audit (WA) Pty Ltd,,Tambourah Metals Ltd (TMB) is involved in…Tambourah Metals Ltd (TMB) is involved in advancement of exploration portfolio for gold and critical minerals.,166,TMB,,PERTH,
OD6 Metals,,,"Brett Hazelden(Managing Director, Chief Executive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OD6,,,
Belararox,,,Arvind Misra(Managing Director),2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRX,,PERTH,
Mallee Resources,319,165,,2007,,,30-Jun-2022,$41.30k,$-391,$0,$0,$14.81m,$-8.64m,$46.47m,$36.73m,$1.19m,$1.27m,,,,,,,,$54.62k,$50.13k,$71.43k,$126.05k,,,,,,,,,,,,,,,,DLA Piper Australia,Grant Thornton Audit Pty Ltd,,"Mallee Resources Limited (MYL, formerly Myanmar…Mallee Resources Limited (MYL, formerly Myanmar Metals Limited) operates as a mineral exploration and evaluation company in Myanmar.",320,MYL,,PERTH,
Panoramic Resources,35,34,,2001,,,30-Jun-2023,$196.14m,$91.24m,$193.82m,$88.37m,$-33.17m,$6.26m,$278.44m,$300.81m,$136.94m,$127.20m,,,,,,,,$49.53m,$18.53m,$40.63m,$58.00m,,,,,,,,,,,,,,,,,Ernst and Young,,"Panoramic Resources Limited (PAN) is a company…Panoramic Resources Limited (PAN) is a company headquartered in Perth, WA, which owns and operates the Savannah Nickel Project in the East Kimberley region of WA (Savannah or the Project). Operations at Savannah were restarted in 2021 and the project was recommissioned with first concentrate shipment achieved in December 2021.","2,969",PAN,,PERTH,
FireFly Metals,234,256,,2018,,,30-Jun-2023,$260.36k,$28.65k,$0,$0,$-3.48m,$-3.16m,$85.90m,$83.69m,$4.37m,$9.55m,,,,,,,,$251.26k,$71.26k,$1.59m,$0,,,,,,,,,,,,,,,,Hamilton Locke,Ernst & Young,,"Auteco Minerals Ltd (AUT) is an emerging mineral…Auteco Minerals Ltd (AUT) is an emerging mineral exploration company focused on gold resources at the Pickle Crow Gold Project in the world-class Uchi sub-province of Ontario, Canada.","5,401",AUT,,PERTH,
Condor Energy Limited,405,400,,,,,30-Jun-2023,$0,$0,$0,$0,$-4.04m,$-19.80m,$4.61m,$5.50m,$248.24k,$584.66k,,,,,,,,$32.00k,$40.55k,$45.97k,$51.42k,,,,,,,,,,,,,,,,Nova Legal,BDO Audit (WA) Pty Ltd,,"Global Oil & Gas Limited (GLV) is an Australian…Global Oil & Gas Limited (GLV) is an Australian ASX listed company focused on identifying, exploring and developing Energy & Resource assets within Australia and globally. Previously, Global Oil & Gas Limited had a major focus on Oil & Gas in Mauritania, however in 2009 a new board was appointed who then recapitalised the company and shifted closer to home with an interest in the Georgina Basin, Northern Territory.",467,GLV,,PERTH,
Metalicity,334,269,,,,,30-Jun-2023,$32.93k,$100.90k,$0,$0,$-3.74m,$-5.18m,$9.54m,$12.58m,$602.16k,$843.28k,,,,,,,,$29.53k,$7.21k,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,Pitcher Partners BA&A Pty Ltd,,"Metalicity Limited (MCT, formerly PLD Corporation…Metalicity Limited (MCT, formerly PLD Corporation Limited) is involved in mineral exploration and development of the Kookynie and Yundamindra Gold Projects that the Company has a 51% interest in a Joint Venture with Nex Metals Explorations Ltd.","4,696",MCT,,PERTH,
Critica,347,375,Philippa Leggat(Managing Director),,,,30-Jun-2023,$24.56k,$5.07k,$0,$0,$-9.11m,$-17.76m,$4.73m,$11.13m,$1.63m,$2.17m,,,,,,,,$23.38k,$23.38k,$11.00k,$44.70k,,,,,,,,,,,,,,,,,Stantons,,Venture Minerals Limited (VMS) is an Australian…Venture Minerals Limited (VMS) is an Australian-based mineral exploration company operating in Western Australia & Tasmania. The Company refocused its approach to developing the Mount Lindsay Tin-Tungsten Project in northwest Tasmania.,"2,670",CRI,,PERTH,
Danakali,543,200,,,,,30-Dec-2023,$-19.99k,$400.17k,$87.74k,$0,$133.79m,$-4.62m,$195.55m,$64.87m,$736.51k,$954.86k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Ernst & Young,,"Danakali Limited (DNK) is involved in advancing…Danakali Limited (DNK) is involved in advancing the Colluli Potash Project in Eritrea, East Africa. Danakali Limited is a company limited by shares that is incorporated and domiciled in Australia.",368,DNK,,PERTH,
Calima Energy,143,38,,2005,,,30-Dec-2023,$1.05m,$85.79m,$1.05m,$98.90m,$-41.40m,$22.81m,$122.86m,$174.06m,$39.45m,$48.29m,,,,,,,,$0,$670.00k,$0,$3.37m,,,,,,,,,,,,,,,,,PricewaterhouseCoopers,,"Calima Energy Limited (CE1, formerly Azonto…Calima Energy Limited (CE1, formerly Azonto Petroleum Limited) is a production-focused energy company pursuing the exploration and development of oil and natural gas assets in the Western Canadian Sedimentary Basin. Calima owns a significant undeveloped Montney acreage position at Tommy Lakes in north-eastern British Columbia.",633,CE1,,PERTH,
Sacgasco,74,70,,,,,30-Dec-2023,$10.95m,$19.11m,$8.86m,$17.85m,$-733.26k,$-3.60m,$23.38m,$27.58m,$31.04m,$37.81m,,,,,,,,$1.12m,$1.01m,$0,$44.99k,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Sacgasco Limited (SGC, formerly Australian Oil…Sacgasco Limited (SGC, formerly Australian Oil Company Limited) is an oil and gas exploration company with associated natural gas flows as a by-product. Sacgasco is focused on under-explored, recently over-looked, oil and gas opportunities near under-supplied markets. Its natural gas activities include Hydrogen and Helium.",779,SGC,,PERTH,
NH3 Clean Energy,170,216,,2012,,,30-Jun-2024,$695.01k,$1.09m,$0,$0,$-1.56m,$-955.21k,$4.06m,$4.46m,$2.76m,$1.61m,,,,,,,,$0,$0,"$1,000.00k",$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"NH3 Clean Energy Limited (NH3, formerly Hexagon…NH3 Clean Energy Limited (NH3, formerly Hexagon Energy Materials Limited) is an Australian company focused on Future Energy project development and Future Energy materials exploration and project development.",646,NH3,,PERTH,
Constellation Resources,408,456,Peter Woodman(Managing Director),2018,,,30-Jun-2024,$0,$0,$0,$0,$-1.89m,$-1.27m,$2.68m,$2.80m,$101.29k,$64.91k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Thomson Geer,William Buck Audit (WA) Pty Ltd,,"Constellation Resources Limited (CR1) is an…Constellation Resources Limited (CR1) is an Australia-based company, which is engaged in exploration for minerals.",80,CR1,,PERTH,
McLaren Minerals,385,416,,,,,30-Jun-2024,$2.16k,$0,$0,$0,$-1.42m,$-1.65m,$3.10m,$4.46m,$240.78k,$319.74k,,,,,,,,$39.65k,$36.31k,$84.21k,$123.86k,,,,,,,,,,,,,,,,,SW Audit,,"McLaren Minerals Limited (MML, formerly Allup…McLaren Minerals Limited (MML, formerly Allup Silica Limited) is an exploration company focused on the future development of its McLaren titanium project in the Eucla Basin of Western Australia. Titanium is considered a critical mineral and is essential for aerospace, defence and energy technologies.",198,MML,,PERTH,
Tungsten Metals Group,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TME,,,
Astral Resources,409,249,,,,,30-Jun-2024,$0,$0,$0,$0,$-2.58m,$-3.71m,$35.54m,$27.01m,$1.03m,$1.50m,,,,,,,,$89.75k,$50.52k,$30.06k,$0,,,,,,,,,,,,,,,,Thomson Geer,BDO Audit Pty Ltd,,"Astral Resources NL (AAR) is a gold‐focused…Astral Resources NL (AAR) is a gold‐focused exploration company targeting the growth and development of its flagship Mandilla Gold Project (Mandilla), located approximately 70km south of Kalgoorlie in Western Australia. Mandilla hosts a Mineral Resource Estimate (MRE) of 42Mt at 1.1 g/t Au for 1.43Moz of contained gold. Astral is contemporaneously focused on exploration activities at its Feysville Gold Project (Feysville) which is located approximately 14km south of the KCGM Super Pit in Kalgoorlie. Feysville hosts a MRE of 5Mt at 1.2 g/t Au for 196koz of contained gold. AAR also holds other tenement interests at its Carnilya Hill project in the Western Australian Goldfields.","1,430",AAR,,PERTH,
Metals Australia,332,318,Paul Ferguson(Chief Executive),,,,30-Jun-2024,$33.62k,$70.00k,$0,$0,$-537.68k,$-808.59k,$37.17m,$34.16m,$1.29m,$143.93k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,Moore Audit Australia (WA),,Metals Australia Ltd (MLS) is a Company engaged…Metals Australia Ltd (MLS) is a Company engaged in exploration of mineral deposits and investment in Australia and Canada.,728,MLS,,PERTH,
Cadoux,177,470,"Roland Hill(Chief Executive, Managing Director)",,,,30-Jun-2024,$610.00k,$0,$0,$0,$-3.74m,$-4.20m,$10.70m,$13.14m,$598.71k,$311.23k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Cadoux Limited (CCM, formerly FYI Resources Ltd)…Cadoux Limited (CCM, formerly FYI Resources Ltd) is an developer of high-quality critical minerals. Cadoux is focusing on two projects - high purity alumina (HPA) and rare earths downstream production. Cadoux is positioning itself to be a significant producer of both HPA and rare earths to address growing demand in the rapidly developing high-tech product markets and to contribute to a decarbonising future.",370,CCM,,PERTH,
Pancontinental Energy,410,527,,,,,30-Jun-2024,$0,$0,$0,$0,$-2.34m,$-1.87m,$9.10m,$9.45m,$823.28k,$779.07k,,,,,,,,$0,$0,$0,$476.56k,,,,,,,,,,,,,,,,,In.Corp Audit & Assurance Pty Ltd,,"Pancontinental Energy NL (PCL) is a petroleum…Pancontinental Energy NL (PCL) is a petroleum exploration Company based in Perth, WA with current operations offshore Namibia, West Africa.","8,286",PCL,,PERTH,
Alliance Nickel,140,237,Paul Kopejtka(Managing Director),,,,30-Jun-2024,$1.14m,$228.05k,$0,$0,$-1.98m,$-3.83m,$52.26m,$52.45m,$1.21m,$2.28m,,,,,,,,$30.87k,$94.74k,$0,$23.07k,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Alliance Nickel Limited (AXN, formerly GME…Alliance Nickel Limited (AXN, formerly GME Resources Limited) is an ASX-listed critical minerals development company targeting production of premium high purity, IRA compliant nickel and cobalt sulphate from its 100% owned NiWest Nickel-Cobalt Project (NiWest or the Project).",725,AXN,,PERTH,
Golden Deeps,411,415,,,,,30-Jun-2024,$0,$0,$0,$0,$-949.66k,$-685.67k,$11.56m,$12.14m,$308.91k,$116.45k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,Moore Australia Audit (WA),,"Golden Deeps Limited (GED) is an explorer…Golden Deeps Limited (GED) is an explorer-developer with a dual focus on the world-class terranes of the Lachlan Fold Belt copper-gold province of NSW, Australia and the Otavi Mountain Land (Otavi) copper-lead-zinc and vanadium district of Namibia.",177,GED,,PERTH,
Helix Resources,412,287,,,,,30-Jun-2024,$0,$164.37k,$0,$0,$-1.18m,$-7.91m,$21.88m,$20.76m,$609.41k,$934.61k,,,,,,,,$118.07k,$121.29k,$218.87k,$336.94k,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"Helix Resources Limited (HLX) is a Company…Helix Resources Limited (HLX) is a Company engaged in discovery of copper, gold and nickel-cobalt deposits in the Cobar region of central NSW.","3,364",HLX,,PERTH,
Horizon Minerals,82,,,,,,30-Jun-2024,$6.79m,$9.39m,$0,$81.88k,$-3.46m,$-1.01m,$59.01m,$44.88m,$12.66m,$9.44m,,,,,,,,$8.23m,$6.97m,$0,$0,,,,,,,,,,,,,,,,,PKF Perth,,"Horizon Minerals Limited (HRZ) is a gold…Horizon Minerals Limited (HRZ) is a gold exploration, development and mining company focused on the Kalgoorlie and Coolgardie areas in the Western Australian Goldfields.","2,888",HRZ,,PERTH,
Deep Yellow,303,246,"John Borshoff(Chief Executive, Managing Director)",,,,30-Jun-2024,$59.92k,$149.50k,$0,$0,$-10.64m,$-10.12m,$625.08m,$391.67m,$10.44m,$17.03m,,,,,,,,$231.47k,$266.54k,$3.34m,$3.57m,,,,,,,,,,,,,,,,,Ernst & Young,,Deep Yellow Limited (DYL) is a mineral…Deep Yellow Limited (DYL) is a mineral exploration company with a focus on uranium. The Company has acquired and developed a portfolio of geographically diverse exploration and uranium projects.,972,DYL,,PERTH,
Peninsula Energy,64,65,George Bauk(Managing Director & Chief Executive),,,,30-Jun-2024,$19.88m,$64.16m,$17.91m,$60.94m,$-18.74m,$-5.34m,$321.90m,$165.94m,$42.32m,$28.53m,,,,,,,,$1.51k,$4.52k,$0,$1.51k,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,Peninsula Energy Limited (PEN) is a uranium…Peninsula Energy Limited (PEN) is a uranium companies providing US production and direct market exposure.,273,PEN,,PERTH,
Mount Burgess Mining,397,514,,1985,,,30-Jun-2024,$381,$0,$0,$0,$-464.81k,$-535.75k,$3.64m,$2.95m,$4.75m,$4.55m,,,,,,,,$1.62m,$1.68m,$0,$0,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,"Mount Burgess Mining NL (MTB) is an exploration…Mount Burgess Mining NL (MTB) is an exploration company with interests in southern Africa. The Company discovered the Red October Gold Deposit in WA, followed by the discovery of three kimberlites in Namibia and is currently developing the Kihabe and Nxuu Zinc/Lead/Silver/Germanium and Vanadium deposits in Botswana.",425,MTB,,PERTH,
Rand Mining,57,52,,,,,30-Jun-2024,$34.76m,$30.05m,$34.76m,$30.14m,$6.66m,$8.22m,$106.50m,$102.07m,$5.58m,$4.38m,,,,,,,,$0,$11.48k,$0,$0,,,,,,,,,,,,,,,,,PKF Perth,,"Rand Mining Limited (RND) is an Australia-based…Rand Mining Limited (RND) is an Australia-based company engaged in exploration, development, and production activities at the East Kundana Joint Venture tenements and the seven-mile hill project, Kalgoorlie.",56,RND,,PERTH,
Sabre Resources,345,407,,,,,30-Jun-2024,$24.73k,$257.21k,$0,$0,$-1.53m,$-1.21m,$13.31m,$12.29m,$174.78k,$827.82k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,Moore Australia Audit (WA),,"Sabre Resources Limited (SBR) is focused on the…Sabre Resources Limited (SBR) is focused on the exploration and development of a prospective portfolio of nickel sulphide, lithium and gold assets in Western Australia, and uranium-vanadium prospects in the Northern Territory.  The Company has also established a 300 square kilometre holding in the northwest Pilbara lithium province near the major Andover lithium discovery of Azure Minerals Ltd.",394,SBR,,PERTH,
Tribune Resources,42,36,"Anthony Billis(Managing Director, Executive Director)",,,,30-Jun-2024,$107.94m,$92.29m,$107.90m,$92.05m,$4.33m,$522.82k,$313.23m,$306.35m,$26.80m,$16.36m,,,,,,,,$0,$45.93k,$0,$0,,,,,,,,,,,,,,,,,RSM Australia Partners,,"Tribune Resources Limited (TBR) is involved in…Tribune Resources Limited (TBR) is involved in exploration, development, and production through its East Kundana Joint Venture (EKJV) tenements, as well as the Diwalwal Gold Project in the Philippines and the Japa Gold Project in Ghana.",52,TBR,,PERTH,
Lepidico,365,354,,,,,30-Jun-2024,$12.23k,$6.45m,$0,$12.23k,$-7.07m,$-7.07m,$102.26m,$106.65m,$13.55m,$13.99m,,,,,,,,$49.23k,$595.28k,$7.67m,$7.14m,,,,,,,,,,,,,,,,,Moore Australia Audit (WA),,"Lepidico Ltd (LPD, formerly Platypus Minerals Ltd…Lepidico Ltd (LPD, formerly Platypus Minerals Ltd) is a Company engaged in mineral exploration and development, and the development of proprietary technologies, that include L-Max, LOH-Max and caesium-rubidium extraction.","8,589",LPD,,PERTH,
Tanami Gold,237,76,,,,,30-Jun-2024,$246.00k,$113.00k,$0,$0,$-6.15m,$-3.47m,$51.73m,$57.00m,$5.36m,$4.81m,,,,,,,,$6.00k,$14.00k,$0,$6.00k,,,,,,,,,,,,,,,,,KPMG,,"Tanami Gold NL (TAM) is a mining company engaged…Tanami Gold NL (TAM) is a mining company engaged in gold exploration and production. It operates in a Joint Venture (JV) with Northern Star Resources Limited to develop the Central Tanami Project (CTP) in the Tanami Desert, Northern Territory.","1,175",TAM,,PERTH,
Elevate Uranium,400,260,Murray Hill(Managing Director),,,,30-Jun-2024,$182,$93.45k,$0,$0,$-10.75m,$-8.63m,$13.26m,$12.54m,$1.48m,$1.02m,,,,,,,,$33.46k,$73.59k,$40.75k,$72.44k,,,,,,,,,,,,,,,,,In.Corp Audit & Assurance Pty Ltd,,"Elevate Uranium Limited (EL8, formerly Marenica…Elevate Uranium Limited (EL8, formerly Marenica Energy Ltd) is a uranium exploration company that has resources in Namibia and Australia and is making new discoveries through exploration programs.",385,EL8,,PERTH,
Sipa Resources,126,217,Andrew Muir(Managing Director),,,,30-Jun-2024,$1.48m,$718.58k,$0,$512.75k,$-100.94k,$-2.51m,$2.47m,$2.47m,$432.30k,$385.44k,,,,,,,,$0,$24.65k,$0,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"Sipa Resources Limited (SRI) is an Australian…Sipa Resources Limited (SRI) is an Australian-based exploration company focused on the discovery of precious, base and specialty metal deposits, with projects located in WA and SA.",520,SRI,,PERTH,
Cyclone Metals,278,141,"Tony Sage(Executive Director, Executive Chair 2007-2020 & from 2023)",,,,30-Jun-2024,$104.71k,$126.62k,$0,$0,$-5.26m,$-5.49m,$12.11m,$13.70m,$6.08m,$767.94k,,,,,,,,$2.27m,$0,$0,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"Cyclone Metals Limited (CLE) is a Company engaged…Cyclone Metals Limited (CLE) is a Company engaged in mineral investment, exploration and development.","1,103",CLE,,PERTH,
Neometals,547,159,Chris Reed(Managing Director),,,,30-Jun-2024,$-144.87k,$66.47k,$0,$0,$-69.11m,$-34.80m,$42.13m,$102.17m,$5.66m,$4.22m,,,,,,,,$128.30k,$285.63k,$3.98m,$652.05k,,,,,,,,,,,,,,,,,Deloitte Touche Tohmatsu,,Neometals (NMT) is commercialising a portfolio of…Neometals (NMT) is commercialising a portfolio of sustainable processing solutions that recycle and recover critical materials from high value waste streams. The Company collaborates with partners and customers to facilitate circular supply chains and reduce the environmental burden of traditional mining in the global transition to a circular economy.,770,NMT,,PERTH,
Reach Resources,100,270,Jeremy Bower(Managing Director),,,,30-Jun-2024,$3.20m,$150.00k,$0,$0,$1.94m,$-2.66m,$15.02m,$6.55m,$338.86k,$524.55k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,In.Corp Audit & Assurance Pty Ltd,,"Reach Resources Limited (RR1) has a diversified…Reach Resources Limited (RR1) has a diversified portfolio of projects lead by the Murchison South Gold project near Payne's Find, Western Australia. The Company has also advanced lithium, manganese and REE exploration assets in the resource rich Gascoyne Mineral Field. n addition, the Company holds an investment in a downstream patented technology that recycles the rare earth elements from the permanent magnets required in electric vehicles, wind turbines, hard disk drives and MRI machines.",874,RR1,,PERTH,
Cazaly Resources,159,129,,,,,30-Jun-2024,$870.87k,$364.05k,$0,$0,$-891.45k,$-2.12m,$16.13m,$14.33m,$391.52k,$296.67k,,,,,,,,$95.20k,$7.05k,$113.31k,$0,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,"Cazaly Resources Limited (CAZ) is a Perth based…Cazaly Resources Limited (CAZ) is a Perth based Australian diversified mineral exploration and resource development company. It has built a track record for acquiring and developing, adding value to, and divesting a range of resources projects.",466,CAZ,,PERTH,
Hammer Metals,77,184,Russell Davis(Executive Chair),2000,,,30-Jun-2024,$9.18m,$190.97k,$0,$0,$6.27m,$-1.29m,$36.74m,$29.68m,$838.27k,$608.49k,,,,,,,,$108.89k,$68.89k,$68.70k,$95.70k,,,,,,,,,,,,,,,,,PKF Perth,,"Hammer Metals Limited (HMX) is a minerals…Hammer Metals Limited (HMX) is a minerals exploration company with a focus on gold, iron ore, copper projects in Australia.",887,HMX,,PERTH,
Brightstar Resources,81,322,,,,,30-Jun-2024,$7.79m,$5.51m,$1.05m,$0,$-6.39m,$1.94m,$110.18m,$39.33m,$41.10m,$5.91m,,,,,,,,$212.60k,$45.94k,$2.42m,$1.12m,,,,,,,,,,,,,,,,,Pitcher Partners BA&A Pty Ltd,,"Brightstar Resources Limited (BTR, formerly Stone…Brightstar Resources Limited (BTR, formerly Stone Resources Australia Limited) is involved into mineral exploration, development and mining in Australia.",579,BTR,,PERTH,
Jupiter Energy,70,150,"Geoff Gander(Executive Chair, Chief Executive)",,,,30-Jun-2024,$12.36m,$56.75m,$11.14m,$5.59m,$1.85m,$44.19m,$24.85m,$23.24m,$21.14m,$25.16m,,,,,,,,$18.74k,$0,$18.80m,$20.80m,,,,,,,,,,,,,,,,Steinepreis Paganin,Ernst & Young,,"Jupiter Energy Limited (JPR) is an oil…Jupiter Energy Limited (JPR) is an oil exploration and production company. The Company owns 100% of the licence area, delineated as Block 36, in the Mangistau Basin, West Kazakhstan. The Company has its operations based in the port city of Aktau, which is located 80km from field camp.","1,280",JPR,,PERTH,
GreenX Metals,202,88,"Ben Stoikovich(Chief Executive Officer, Executive Director)",,,,30-Jun-2024,$416.57k,$5.02m,$0,$0,$-4.55m,$-3.52m,$17.21m,$17.94m,$2.06m,$2.22m,,,,,,,,$299.39k,$281.44k,$0,$300.90k,,,,,,,,,,,,,,,,Thomson Geer,UHY Haines Norton,,GreenX Metals Limited (GRX) is involved in…GreenX Metals Limited (GRX) is involved in exploration and evaluation of Arctic Rift Copper (ARC) and the defence of its rights at Debiensko and Jan Karski projects through the Claim.,287,GRX,,PERTH,
Rox Resources,545,350,"Robert Ryan(Non Executive Director, Chief Executive Officer, Managing Director)",,,,30-Jun-2024,$-66.00k,$4.03m,$0,$0,$-13.70m,$-8.76m,$57.09m,$22.46m,$14.49m,$7.71m,,,,,,,,$149.00k,$149.00k,$88.00k,$219.00k,,,,,,,,,,,,,,,,Thomson Geer,Pitcher Partners BA&A Pty Ltd,,"Rox Resources Limited (ASX: RXL) is a West…Rox Resources Limited (ASX: RXL) is a West Australian focused gold exploration and development Company with 2 projects: Youanmi Gold Project near Mt Magnet, 480 kilometres northeast of Perth and Mt Fisher - Mt Eureka Project 140 kilometres southeast of Wiluna.",747,RXL,,PERTH,
Grand Gulf Energy,181,140,,,,,30-Jun-2024,$545.74k,$695.03k,$545.74k,$695.03k,$-1.77m,$-2.24m,$24.01m,$23.42m,$909.20k,$1.62m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,BDO Audit Pty Ltd,,Grand Gulf Energy Limited (GGE) is an Australian…Grand Gulf Energy Limited (GGE) is an Australian listed company focused on the development of the Red Helium Project in Utah USA.,"2,820",GGE,,PERTH,
