ID,ACN,MatchedNames
comp_68,110336733,"Auteco Minerals Ltd,Firefly Metals Ltd,Monax Mining Ltd"
comp_69,007634406,Macmahon Holdings Limited
comp_70,000837472,"Kingsgate Consolidated Limited,Kingsgate Consolidated Ltd,Kingsgate Consolidated N.L.,Kingsgate Mining & Exploration Co N L"
comp_71,649154870,"Alpha Minerals Pty Ltd,Brazilian Rare Earths Limited,Brazilian Rare Earths Pty Ltd"
comp_73,116648956,"Chalice Gold Mines Limited,Chalice Mining Limited"
comp_74,116834336,"Boss Energy Limited,Boss Energy Ltd,Boss Resources Limited,Latrobe Mining Limited"
comp_75,113017128,"Bannerman Energy Ltd,Bannerman Resources Limited"
comp_76,645885463,"Metallium Limited,Mt Monger Resources Limited,Mtm Critical Metals Limited"
comp_77,158307549,"K-Tig Limited,Kabuni Ltd,Magnolia Resources Limited,Metal Powder Works Limited,Serpentine Technologies Limited,Whole New Home Ltd"
comp_79,161946989,Santana Minerals Limited
comp_80,650096094,29Metals Limited
comp_81,121542738,"Gr Engineering Services Ltd,Gr Engineering Services Pty Ltd,Jr Engineering Services Pty Ltd"
comp_82,110150055,"Bluestone Tin Limited,Metals X Limited"
comp_83,080939135,"Captech Group Limited,Integrated Investment Group Limited,Integrated Resources Group Limited,Latitude Consolidated Limited,Meeka Gold Limited,Meeka Metals Limited,Technology Licensing Limited,Workman Australia Limited"
comp_84,119992175,"Dragon Energy Ltd,Hylea Metals Limited,Lotus Resources Limited,Riva Resources Limited"
comp_85,009165066,"Endeavour Resources Limited,St Barbara Limited,St. Barbara Mines Limited"
comp_88,117763443,"Metro Mining Limited,Metrocoal Limited"
comp_89,141940230,"Argentina Mining Limited,Tanga Resources Limited,Wia Gold Limited"
comp_90,080933455,"Arafura Rare Earths Ltd,Arafura Resources Limited,Arafura Resources N.L."
comp_91,141614075,"Duratec Australia Pty Ltd,Duratec Limited,Giumelli Construction Pty Ltd,Kiewit Pty Ltd,Sertech Pty Ltd"
comp_92,127457916,"Clean Teq Holdings Limited,Sunrise Energy Metals Limited"
comp_93,140087261,"Canyon Resources Limited,Castlemaine Resources Limited,Castlemaine Resources Proprietary Limited"
comp_94,128042606,"Manas Resources Limited,Turaco Gold Limited"
comp_95,105991740,Jupiter Mines Limited
comp_96,098556159,"Lycopodium International Pty Ltd,Lycopodium Limited,Lycopodium Pty Ltd"
comp_97,650766911,Minerals 260 Limited
comp_98,120833427,Sovereign Metals Limited
comp_99,008670817,"Mount Gibson Iron Limited,Whittakers Limited"
comp_101,140164496,Ausgold Limited
comp_102,090772222,"Lindian Resources Limited,Mbox.Com Limited,Virtualplus Holdings Limited,Vph Limited"
comp_103,108476384,"Aurelia Metals Limited,Big Sky Holdings Limited,Big Sky Holdings Pty Ltd,Lfb Pty Limited,Ytc Resources Limited"
comp_104,615255466,"Civilex Group Pty Ltd,Symal Group Limited,Symal Group Pty Ltd"
comp_105,121370232,Magnetic Resources Nl
