Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
2899 HK Equity,ZIJIN MINING-H,CN,Common Stock,147.87B,63.99B,87.85B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
NEM US Equity,NEWMONT CORP,US,Common Stock,141.04B,28.33B,91.11B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
AEM CN Equity,AGNICO EAGLE MIN,CA,Common Stock,123.78B,12.57B,48.48B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
ABX CN Equity,BARRICK MINING C,CA,Common Stock,89.32B,19.60B,77.00B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
WPM CN Equity,WHEATON PRECIOUS,CA,Common Stock,74.09B,1.95B,12.00B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
FNV CN Equity,FRANCO-NEVADA CO,CA,Common Stock,62.33B,1.69B,10.24B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
GFI SJ Equity,GOLD FIELDS LTD,ZA,Common Stock,56.80B,7.89B,16.40B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
AU US Equity,ANGLOGOLD ASHANT,GB,Common Stock,53.14B,8.79B,21.27B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
AMMN IJ Equity,AMMAN MINERAL IN,ID,Common Stock,47.51B,4.04B,17.98B,6k,Precious Metals and Mining,Gold Mining,Metals & Mining,Copper,Metals & Mining,Precious Metals,Gold,--
K CN Equity,KINROSS GOLD,CA,Common Stock,45.08B,7.81B,17.57B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
600547 CH Equity,SHANDONG GOLD-A,CN,Common Stock,37.86B,17.39B,35.66B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
FRES LN Equity,FRESNILLO PLC,MX,Common Stock,35.37B,5.30B,9.51B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Silver,Metals & Mining,Precious Metals,--,--
NST AU Equity,NORTHERN STAR RE,AU,Common Stock,33.06B,6.41B,20.43B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
VAL SJ Equity,VALTERRA PLATINU,ZA,Common Stock,26.35B,9.02B,14.62B,28k,Precious Metals and Mining,Platinum and Precious Metals,Metals & Mining,Precious Metals & Minerals,Metals & Mining,Precious Metals,Platinum Group,--
PAAS CN Equity,PAN AMER SILVER,CA,Common Stock,24.17B,4.28B,11.65B,--,Precious Metals and Mining,Platinum and Precious Metals,Metals & Mining,Gold,Metals & Mining,Precious Metals,--,--
LUG CN Equity,LUNDIN GOLD INC,CA,Common Stock,23.78B,1.81B,2.47B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
AGI CN Equity,ALAMOS GOLD INC,CA,Common Stock,21.54B,2.04B,8.63B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
600489 CH Equity,ZHONGJIN GOLD-A,CN,Common Stock,21.04B,13.82B,12.32B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
1818 HK Equity,ZHAOJIN MINING-H,CN,Common Stock,20.85B,2.43B,11.87B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
EVN AU Equity,EVOLUTION MINING,AU,Common Stock,20.60B,4.35B,9.64B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
RGLD US Equity,ROYAL GOLD INC,US,Common Stock,19.16B,1.09B,5.48B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
HAR SJ Equity,HARMONY GOLD MNG,ZA,Common Stock,17.72B,6.28B,6.65B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
CDE US Equity,COEUR MINING INC,US,Common Stock,17.57B,1.60B,3.72B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,--,--
IMP SJ Equity,IMPALA PLATINUM,ZA,Common Stock,16.25B,7.27B,11.66B,--,Precious Metals and Mining,Platinum and Precious Metals,Metals & Mining,Precious Metals & Minerals,Metals & Mining,Precious Metals,Platinum Group,--
EDV CN Equity,ENDEAVOUR MINING,GB,Common Stock,15.30B,4.06B,8.91B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
EQX CN Equity,EQUINOX GOLD COR,CA,Common Stock,12.39B,2.30B,10.85B,--,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
600988 CH Equity,CHIFENG JILONG-A,CN,Common Stock,12.02B,1.90B,4.50B,7k,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
HL US Equity,HECLA MINING CO,US,Common Stock,11.35B,1.41B,4.82B,--,Precious Metals and Mining,Platinum and Precious Metals,Metals & Mining,Silver,Metals & Mining,Precious Metals,--,--
