Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
2466067D CN Equity,MINEFINDERS CORP,CA,Common Stock,--,233.75M,582.46M,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Precious Metals,--,--
KZL AU Equity,KAGARA LTD,AU,Common Stock,--,240.66M,678.83M,--,Industrial Metals and Mining,Nonferrous Metals,--,--,Metals & Mining,Base Metals,--,--
600687 CH Equity,GANSU GANGTAI-A,CN,Common Stock,--,242.82M,1.68B,--,Industrial Metals and Mining,Iron and Steel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",Apparel & Textile Products,"Apparel, Footwear & Acc Design",Watch & Jewelry Design,Jewelry
NGF AU Equity,NORTON GOLD FIEL,AU,Common Stock,--,243.44M,388.45M,520,Industrial Metals and Mining,General Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
AAX AU Equity,AUSENCO LTD,AU,Common Stock,--,245.47M,267.64M,--,Industrial Metals and Mining,General Mining,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,--,--
1697742D CN Equity,LAKESIDE STEEL I,CA,Common Stock,--,250.84M,137.62M,--,Industrial Metals and Mining,Iron and Steel,--,--,Industrial Intermediate Prod,Fabricated Metal & Hardware,--,--
HUM LN Equity,HUMMINGBIRD RESO,GB,Common Stock,--,251.69M,878.01M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
WSA AU Equity,IGO FORRESTANIA,AU,Common Stock,--,257.17M,806.90M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,--,--
BMN LN Equity,BUSHVELD MINERAL,ZA,Common Stock,--,257.55M,335.96M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mining Services,--,--
090730 KS Equity,SIMPAC METAL CO,KR,Common Stock,--,264.69M,315.24M,197,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Metals & Mining,Base Metals,--,--
SRX AU Equity,SIERRA RUTILE HO,AU,Common Stock,--,265.54M,306.91M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
FNX CN Equity,FNX MINING CO IN,CA,Common Stock,--,266.17M,1.03B,--,Industrial Metals and Mining,Nonferrous Metals,--,--,Metals & Mining,Base Metals,--,--
PRFN RM Equity,CHELYABINSKIY ZA,RU,Common Stock,--,274.07M,100.01M,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Industrial Intermediate Prod,Fabricated Metal & Hardware,Fabricated Metal,Sheet Metal
