depositID:ID,ENO:int,STATE:string,LOCATION:string,OPERATING_STATUS:string,GEOLOGIC_AGE:string,DEPOSIT_MODEL_ENVIRONMENT:string,DEPOSIT_MODEL_GROUP:string,DEPOSIT_MODEL_TYPE:string,PROVINCES:string,IGNEOUS:string,METALLOGENIC:string,SEDIMENTARY:string,TECTONIC:string,:LABEL
deposit_1689,333401,VIC,"144.366,-37.247",historic mine,,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,"Lachlan Orogen, Lachlan Orogen, Bendigo Zone",,,,"Bendigo Zone,Lachlan Orogen,Tasman Element",Deposit
deposit_1690,333329,VIC,"144.2513,-36.7288",mineral deposit,,,,,Lachlan Orogen,,,,"Bendigo Zone,Lachlan Orogen,Tasman Element",Deposit
deposit_1691,333762,WA,"115.5857,-33.5204",mineral deposit,,Erosional,Placer,Heavy mineral sands,,,,"Bunbury Trough,Perth Basin","Pinjarra Element,Pinjarra Orogen",Deposit
deposit_1692,455562,SA,"138.4043,-32.5021",historic mine,,,,,Delamerian Orogen,,,,"Delamerian Orogen,South Australian Element",Deposit
deposit_1693,333692,NSW,"147.5263,-34.5865",historic mine,Paleozoic,,,,"Lachlan Orogen, Lachlan Orogen, Adelong Gold Metallogenic Province",,,,"Central NSW - Omeo Province,Lachlan Orogen,Tasman Element",Deposit
deposit_1694,334791,NSW,"148.9855,-33.4464",mineral deposit,,,,,Lachlan Orogen,,,,"Eastern Province,Lachlan Orogen,Tasman Element",Deposit
deposit_1695,334303,WA,"119.6785,-31.5335",historic mine,Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,"Yilgarn Craton, Bounty Gold Metallogenic Province, Southern Cross Province",,Forrestania Nickel Metallogenic Province,Deborah Paleovalley,"West Australian Element,Yilgarn Craton",Deposit
deposit_1696,334304,WA,"121.5148,-31.8159",mineral deposit,Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,"Yilgarn Craton, Eastern Goldfields Province, Eastern Goldfields Superterrane, Kalgoorlie Gold Metallogenic Province, Kalgoorlie Terrane",,,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1697,334305,WA,"115.6287,-34.3596",historic mine,,Erosional,Placer,Heavy mineral sands,Perth Basin,,,"Bunbury Trough,Perth Basin","Pinjarra Element,Pinjarra Orogen",Deposit
deposit_1698,334306,NSW,"152.8709,-31.4762",mineral deposit,Cenozoic,,,,New England Orogen,,,,"New England Orogen,Port Macquarie Province,Tasman Element",Deposit
deposit_1699,334308,WA,"119.3801,-26.855",historic mine,Archean,,,,"Yilgarn Craton, Bounty Gold Metallogenic Province, Southern Cross Province",,,,"West Australian Element,Yilgarn Craton",Deposit
deposit_1700,334309,SA,"134.75,-27.9304",mineral deposit,,,,,Arckaringa Basin,,,"Arckaringa Basin,Eromanga Basin,Peake Creek Paleovalley","Gawler Craton,South Australian Element",Deposit
deposit_1701,334310,WA,"119.9419,-26.5179",care and maintenance,Paleoproterozoic,Basin hydrothermal,Mississippi Valley-type (MVT),MVT zinc-lead,Earaheedy Basin,Warakurna Large Igneous Province,,"Earaheedy Basin,Yerrida Basin","West Australian Element,Yilgarn Craton",Deposit
deposit_1702,334311,WA,"115.1788,-30.3435",historic mine,,Erosional,Placer,Heavy mineral sands,,,,"Beagle Ridge,Perth Basin","Pinjarra Element,Pinjarra Orogen",Deposit
deposit_1703,334313,QLD,"140.7818,-20.9322",mineral deposit,Proterozoic,,,,Mount Isa Orogen,,,,"Mount Isa Orogen,North Australian Element,Soldiers Cap Domain",Deposit
