companyNameID:ID,text:string
compname_174,A.C.N. 630 698 716 PTY LTD
compname_175,A.C.N. 633 743 012 Pty Ltd
compname_176,A.C.N. 641 743 348 Limited
compname_177,A.C.N. 662 372 027 Pty Ltd
compname_178,A.C.N. 672 142 997 Pty Ltd
compname_179,A.C.N. 672 143 583 Pty Ltd
compname_180,A.D.D. Contracting Pty Ltd
compname_181,A.G.D. Mining Limited
compname_182,A.G.D. Mining Proprietary Limited
compname_183,A.G.D. Mining Pty Ltd.
compname_184,A.J. Lucas Contractors Pty. Limited
compname_185,A/S AF 20 02 2014
compname_186,A/Z Corp
compname_187,A1 Consolidated Gold Ltd
compname_188,A1 Earthworx Pty Ltd
compname_189,A1 Finishes
compname_190,A1 Hydraulic Engineering
compname_191,A1 Metal Mesh Screens
compname_192,A1 Minerals Ltd
compname_193,A1 Sandblasting Spraypainting
compname_194,A1 Sheet Metal Flues Ltd
compname_195,A1 Vitamins and Minerals
compname_196,A2 Gold Corp
compname_197,A2A Calore & Servizi Srl
compname_198,A2B Crushing Screening PTY LTD
compname_199,A2Z Cust2Mate Solutions Corp
compname_200,A2Z Infra Engineering Ltd
compname_201,A2Z Sheetmetal
compname_202,AA Asphalting LLC
compname_203,AA Global Resources Pty Ltd
compname_204,AA Group Ltd/The
compname_205,AA Metals Inc
compname_206,AA Plus Tradelink Ltd
compname_207,AAA Door Systems
compname_208,AAA Engineering
compname_209,AAA Mining Consumables
compname_210,AAJAY Sanblasting
compname_211,AAKKA MINING CIVIL
compname_212,AAMG
compname_213,AB Downs Industries
compname_214,AB Industries Australia
compname_215,AB Infrabuild Ltd
compname_216,AB Power Pty Ltd
compname_217,AB Tooling
compname_218,ABA Resources
compname_219,ABB AUSTRALIA PTY LIMITED
compname_220,ABB Asea Brown Boveri Ltd
compname_221,ABB Bouwgroep BV
compname_222,ABB Metering
compname_223,ABB Participation AG
compname_224,ABBA Welding Services
compname_225,ABBOT POINT BULKCOAL PTY. LTD.
compname_226,ABBOT POINT OPERATIONS PTY LTD
compname_227,ABC Aluminium Brass Copper Kermeen Co
compname_228,ABC LASERS PTY LTD
compname_229,ABC REFINERY PTY LIMITED
compname_230,ABC Specialty Metals
compname_231,ABEH Pty Ltd
compname_232,ABELSHORE PTY LIMITED
compname_233,ABI Coating Specialists Pty Ltd
compname_234,ABK Machinery SACA
compname_235,ABM Contractors Pty Ltd
compname_236,ABM Investama Tbk PT
compname_237,ABM Metal Detectors PTY Ltd
compname_238,ABM Resources
compname_239,ABM Solid SA
compname_240,ABO Group Environment
compname_241,ABRA Aluminium
compname_242,ABRASIFLEX PTY LTD
compname_243,ABRE & PMC Ltd
compname_244,ABS Fabrications
compname_245,ABS Minel projektinzenjering AD Beograd
compname_246,ABS Mobile Welding
compname_247,ABX Group
compname_248,ABZU Gold Ltd
compname_249,ABx Group Ltd
compname_250,AC Industries PTY LTD
compname_251,AC Laser
compname_252,AC Whalan Company Pty Ltd
compname_253,AC/DC Battery Metals Inc
compname_254,ACA Training
compname_255,ACB India Ltd
compname_256,ACC Binh Duong Investment and Construction JSC
compname_257,ACC Industrial
compname_258,ACC-244 JSC
compname_259,ACCIONA Agua SA
compname_260,ACDC Metals Limited
compname_261,ACDC Metals Ltd
compname_262,ACE Asphalt of Arizona Inc
compname_263,ACELIGHT PTY. LIMITED
compname_264,ACG Metals Ltd
compname_265,ACH Minerals
compname_266,ACH Nickel
compname_267,ACI Industrial Minerals
compname_268,ACIRL Pty Ltd
compname_269,ACMA Ateliers De Constructions Metalliques Des Ardennes - Ets Culot Et Cie
compname_270,ACN 004 410 833 Ltd
compname_271,ACN 056 583 183 PTY LTD
compname_272,ACN 113 874 712 Pty Ltd
compname_273,ACN 121 020 764 Pty Ltd
compname_274,ACN 150 795 083 Pty Ltd
compname_275,ACR-di Reggiani Albertino SpA
compname_276,ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED
compname_277,ACRbending All
compname_278,ACS Actividades de Construccion y Servicios SA
compname_279,ACS Collective
compname_280,ACT Engineers Pty Ltd
compname_281,ACT Garage Doors
compname_282,ACTA Group
compname_283,ACTION DRILL & BLAST PTY LTD
compname_284,ACTIONBLAST PTY LTD
compname_285,AD Tubi Inossidabili SpA
compname_286,ADBRI CONCRETE AND QUARRIES SA PTY LTD
compname_287,ADBRI LIMITED
compname_288,ADBRI MASONRY GROUP PTY LTD
compname_289,ADCHEM PTY. LTD.
compname_290,ADDCAR Group
compname_291,ADE Australia Pty Ltd
compname_292,ADE DIATOMITE Pty Ltd
compname_293,ADELAIDE BRIGHTON CEMENT LIMITED
compname_294,ADELAIDE RESOURCES LTD
compname_295,ADF Alsace
compname_296,ADF DRILLING PTY LTD
compname_297,ADF Group Inc
compname_298,ADG Corporation
compname_299,ADITYA BIRLA MINERALS LTD
compname_300,ADL Acciai Speciali Srl
compname_301,ADL Mining Pty Ltd
compname_302,ADP Ingenierie SA
compname_303,ADR Engineering SpA
compname_304,ADS Maintenance Pty Ltd
compname_305,ADVANCED TREE CARE MACKAY PTY LTD
compname_306,ADVISIAN PTY LTD
compname_307,AE Gibson
compname_308,AEA Technology Group PLC
compname_309,AECOM
compname_310,AECOM France SAS
compname_311,AED Oil Limited
compname_312,AEP Elical Pty Ltd
compname_313,AESTHETIC FACADE PTY LTD
compname_314,AF A/S
compname_315,AF Energi AS
compname_316,AF Holdings Ltd
compname_317,AF Technologies Inc
compname_318,AFL Resources Limited
compname_319,AFP Group BVBA
compname_320,AFR NuVenture Resources Inc
compname_321,AFRY AB
compname_322,AFV Acciaierie Beltrame SpA
compname_323,AG Siderurgica Balboa SA
compname_324,AG Volney Center Inc
compname_325,AGB Invest AB
compname_326,AGC-Minas de Portugal Unipessoal Lda
compname_327,AGES Industri AB
compname_328,AGI Infra Ltd
compname_329,AGILITY PROJECT LOGISTICS PTY LTD
compname_330,AGM Energy Srl
compname_331,AGNEW GOLD MINING COMPANY PTY LIMITED
compname_332,AGNEW HOLDING COMPANY PTY LTD
compname_333,AGO GmbH Energie & Anlagen
compname_334,AGR Ltd
compname_335,AGR Matthey
compname_336,AGR Science and Technology Pty Ltd
compname_337,AGRICOLA CONSULTANTS
compname_338,AGRICOLA Mining Pty Ltd
compname_339,AGRYL HOLDINGS LIMITED
compname_340,AGRoyce Metal Marketing LLC
compname_341,AGV Group Ltd
compname_342,AGrade Fasteners
compname_343,AHPC
compname_344,AI Engineers Inc
compname_345,AI Exploration Services Australia
compname_346,AI Signal Research Inc
compname_347,AI Weldtronics Ltd
compname_348,AI/ML Innovations Inc
compname_349,AIC COPPER PTY LTD
compname_350,AIC Mines Ltd
compname_351,AIC Resources Announcement
compname_352,AIC Resources Pty Ltd
compname_353,AIGeoscope
compname_354,AIR Co
compname_355,AIR LIQUIDE AUSTRALIA LIMITED
compname_356,AIR LIQUIDE HEALTHCARE PTY. LTD.
compname_357,AIRATHERM
compname_358,AIS Resources Ltd
compname_359,AISA Centro Italia Srl
compname_360,AITKEN WELDING SUPPLIES PTY LTD
compname_361,AJ Lucas Group Limited
compname_362,AJB FINANCIAL LIMITED
compname_363,AJN Resources Inc
compname_364,AJN Steelstock Ltd
compname_365,AJP Workforce
compname_366,AJR Infra and Tolling Ltd
compname_367,AJU Steel Co Ltd
compname_368,AK Steel International BV
compname_369,AK Steel NV
compname_370,AK Steelworks
compname_371,AKKA Ingenierie Documentaire SASU
compname_372,AKRF Inc
compname_373,AL J Mueller Construction Co
compname_374,AL-West BV
compname_375,ALBEMARLE LITHIUM PTY LTD
compname_376,ALBEMARLE WODGINA PTY LTD
compname_377,ALBINS OFF ROAD GEAR PTY LTD
compname_378,ALBRAS Aluminio Brasileiro S/A
compname_379,ALBRIGHT & WILSON LIMITED
compname_380,ALCAN HOLDINGS AUSTRALIA PTY LIMITED
compname_381,ALCAN PRIMARY METAL AUSTRALIA PTY LTD
compname_382,ALCAN SOUTH PACIFIC PTY LTD
compname_383,ALCOA AUSTRALIAN HOLDINGS PTY LTD
compname_384,ALFOT Technologies Co Ltd
compname_385,ALL Type Engraving
compname_386,ALLARC INDUSTRIES
compname_387,ALLNEX AUSTRALIA HOLDING PTY LTD
compname_388,ALLNEX RESINS AUSTRALIA PTY LTD
compname_389,ALLVIA FABRICATION
compname_390,ALPINE TOOLS LIMITED
compname_391,ALROSA-Nyurba PJSC
compname_392,ALS Metallurgy Holdings Pty Ltd
compname_393,ALSTO
compname_394,ALT Resources PLC
compname_395,ALTA Metallurgical Services
compname_396,ALTON INDUSTRIES G B LIMITED
compname_397,ALU Menziken Holding AG
compname_398,ALU-MEC SpA
compname_399,ALUKO Co Ltd
compname_400,ALUMECO ApS
compname_401,ALUMINIUM ENGINEERING SERVICES LTD
compname_402,ALUNORTE Alumina do Norte do Brasil S/A
compname_403,ALX Resources Corp
compname_404,AM Castle & Co
compname_405,AM Gold Inc
compname_406,AM Metal Group Pty
compname_407,AM Resources Corp
compname_408,AMA Consulting Engineers PC
compname_409,AMAG Austria Metall AG
