bicsl3ID:ID,text:string
bics_l3_1,Advertising & Marketing
bics_l3_2,Aerospace & Defense
bics_l3_3,Apparel & Textile Products
bics_l3_4,Asset Management
bics_l3_5,Automotive
bics_l3_6,Banking
bics_l3_7,Beverages
bics_l3_8,Biotech & Pharma
bics_l3_9,Chemicals
bics_l3_10,Commercial Support Services
bics_l3_11,Construction Materials
bics_l3_12,Consumer Services
bics_l3_13,Containers & Packaging
bics_l3_14,E-Commerce Discretionary
bics_l3_15,Elec & Gas Marketing & Trading
bics_l3_16,Electric Utilities
bics_l3_17,Electrical Equipment
bics_l3_18,Engineering & Construction
bics_l3_19,Entertainment Content
bics_l3_20,Food
bics_l3_21,"Forestry, Paper & Wood Products"
bics_l3_22,Gas & Water Utilities
bics_l3_23,Health Care Facilities & Svcs
bics_l3_24,Home & Office Products
bics_l3_25,Home Construction
bics_l3_26,IT Services
bics_l3_27,Industrial Intermediate Prod
bics_l3_28,Industrial Support Services
bics_l3_29,Institutional Financial Svcs
bics_l3_30,Insurance
bics_l3_31,Internet Media & Services
bics_l3_32,Leisure Facilities & Services
bics_l3_33,Leisure Products
bics_l3_34,Machinery
bics_l3_35,Medical Equipment & Devices
bics_l3_36,Metals & Mining
bics_l3_37,Oil & Gas Services & Equip
bics_l3_38,Oil & Gas Supply Chain
bics_l3_39,Publishing & Broadcasting
bics_l3_40,Real Estate Owners & Developers
bics_l3_41,Real Estate Services
bics_l3_42,Renewable Energy
bics_l3_43,Retail - Consumer Staples
bics_l3_44,Retail - Discretionary
bics_l3_45,Semiconductors
bics_l3_46,Software
bics_l3_47,Specialty Finance
bics_l3_48,Steel
bics_l3_49,Technology Hardware
bics_l3_50,Telecommunications
bics_l3_51,Tobacco & Cannabis
bics_l3_52,Transportation & Logistics
bics_l3_53,Transportation Equipment
bics_l3_54,Wholesale - Consumer Staples
bics_l3_55,Wholesale - Discretionary
