companyID:ID,name:string,Ticker:string,ACN:int,Market Cap:float,Revenue:Y:float,Tot Assets:Y:float,Number of Employees:LF:int,Company Description:string,Linkedin_empCount:int,Linkedin_Followers:int
comp_21,Capricorn Metals Ltd,CMM AU Equity,121700105,5370000000.0,505890000.0,1040000000.0,,Capricorn Metals Ltd operates as an exploration and production company. TheCompany specializes in the gold exploration and production services. CapricornMetals serves customers in Australia.,31,0
comp_22,Greatland Resources Ltd,GGP AU Equity,668338618,4990000000.0,957370000.0,2120000000.0,,"Greatland Resources Limited is a mining exploration company. The Companyexplores and develops gold and copper assets, located in the Paterson region ofWestern Australia. Greatland Resources operates in Australia.",,
comp_23,Downer EDI Ltd,DOW AU Equity,3872848,4910000000.0,10480000000.0,6480000000.0,,"Downer EDI Limited provides engineering and infrastructure management servicesto the public and private rail, road, power, telecommunications, mining andresources sectors in Australia, New Zealand, Asia and the Pacific.  Downerprovides rolling stock services, drilling services for the exploration industry,mine planning and management services and highway maintenance.",,
comp_24,Regis Resources Ltd,RRL AU Equity,9174761,4610000000.0,1650000000.0,2280000000.0,432,"Regis Resources Ltd. is a mineral exploration and production company. TheCompany mines for gold, nickel, and copper.",210,7594
comp_25,Vault Minerals Ltd,VAU AU Equity,68647610,4490000000.0,1430000000.0,2440000000.0,,"Vault Minerals Limited is an Australian gold producer and explorer. The Companyoperates the Darlot and King of the Hills gold mines in Western Australia'sEastern Goldfields, and holds a large exploration footprint in the district.Vault Minerals also holds an interest in the Siana and Mapawa gold projects inthe Philippines.",,
comp_26,Ventia Services Group Pty Ltd,VNT AU Equity,,4230000000.000001,6110000000.0,2940000000.0,,"Ventia Services Group Pty Limited provides infrastructure services. The Companyoffers asset management, capital works, operations and maintenance, networkdesign, architecture, facility management, and environmental services. VentiaServices Group serves customers in Australia and New Zealand.",,
comp_27,Westgold Resources Ltd,WGX AU Equity,9260306,4130000000.0,1360000000.0,3210000000.0,2000,Westgold Resources Limited provides gold mining services. The Company owns andoperates gold mining projects. Westgold Resources conducts its business inAustralia.,289,8121
comp_28,Gold Road Resources Ltd,GOR AU Equity,109289527,3790000000.0,527960000.00000006,1540000000.0,,"Gold Road Resources Limited operates as a mineral exploration and productioncompany. The Company focuses on its Yamarna Gold Project located east ofLaverton, Western Australia.",,
comp_29,Paladin Energy Ltd,PDN AU Equity,61681098,3780000000.0,274540000.0,1710000000.0,,Paladin Energy Ltd operates as a mining company. The Company explores andmines uranium. Paladin Energy serves customers worldwide.,5,238
comp_30,IGO Ltd,IGO AU Equity,92786304,3750000000.0,512500000.0,2360000000.0,,IGO Limited is an ASX-listed exploration and mining companywith a strategic focus on assets of scale and longevity. The company focuseson aligning the business to the structural shift to energy storage. IGO isheadquartered in Perth.,423,12329
comp_31,West African Resources Ltd,WAF AU Equity,121539375,3470000000.0,724500000.0,1970000000.0,,"West African Resources Limited operates as a gold exploration company. TheCompany acquires, explores, and develops resource projects. West AfricanResources serves customers in West Africa and Australia.",,
comp_32,New Hope Corp Ltd,NHC AU Equity,,3300000000.0,1780000000.0,3540000000.0,1000,New Hope Corporation Limited is a thermal coal production company based inAustralia. The Company also has interests in logistics and infrastructureoperations in Australia as well.,204,8294
comp_33,Emerald Resources NL,EMR AU Equity,9795046,3210000000.0,430410000.0,756120000.0,328,Emerald Resources NL operates as a mining company. The Company focuses onmining and exploration of gold projects. Emerald Resources serves clients inAustralia.,13,617
comp_34,Nickel Industries Ltd,NIC AU Equity,127510589,3100000000.0,2650000000.0,6300000000.0,,"Nickel Industries Limited provides mining services. The Company acquires,explores, and develops nickel projects. Nickel Industries operates in Australia.",11,481
comp_35,Iluka Resources Ltd,ILU AU Equity,8675018,2630000000.0,1170000000.0,3740000000.0,,"Iluka Resources Limited specializes in mining, concentration, and separationof mineral sands and titanium minerals. The Company also produces ilmenite andother titani-ferrous concentrates, zircon, and synthetic rutile along with theexploration of coal. Iluka's products are exported throughout the world.",36,1004
comp_36,Liontown Resources Ltd,LTR AU Equity,118153825,2570000000.0,,1380000000.0,,"Liontown Resources Limited is an exploration company and battery mineralsproducer. The Company focuses on the development and supply as required by therapidly growing electric vehicle and energy storage industries, as well as theprincipal activity is lithium deposits in Western Australia.",14,2007
comp_37,Perenti Ltd,PRN AU Equity,9211474,2510000000.0,3490000000.0,3330000000.0,10000,"Perenti Limited operates as a diversified mining service group. The Companyoffers contract, surface, and underground mining, blasting, and geotechnicalservices. Perenti serves customers worldwide.",205,9046
comp_38,Champion Iron Ltd,CIA AU Equity,119770142,2500000000.0,1770000000.0,3380000000.0,,"Champion Iron Limited is a exploration company. The Company acquires, exploresand develops properties for iron ore deposits. Champion Iron serves customersworldwide.",,
comp_39,IperionX Ltd,IPX AU Equity,618935372,2340000000.0,,83060000.0,,"IperionX Limited focuses on sustainable mineral and material supply chains. TheCompany develops low carbon titanium for advanced industries including space,aerospace, electric vehicles, and 3D printing. IperionX serves customersworldwide.",3,163
comp_40,Pantoro Gold Ltd,PNR AU Equity,3207467,2290000000.0,229430000.0,560880000.0,,Pantoro Gold Limited provides exploration and mining services. The Companyexplores and develops gold and other metals. Pantoro Gold serves customers inAustralia.,,
comp_41,Monadelphous Group Ltd,MND AU Equity,8988547,2190000000.0,2150000000.0,1010000000.0,7000,"Monadelphous Group Limited provides engineering and construction services to theresources and petrochemical industries. The Company provides mining andprocessing industry maintenance, mining equipment refurbishment, projectmanagement, construction, and airport ground handling services. MonadelphousGroup serves customers in Australia.",,
comp_42,Deterra Royalties Ltd,DRR AU Equity,641743348,2170000000.0,241960000.0,502370000.0,,"Deterra Royalties Limited focuses on operation of a royalty business modelinvolving the management and acquisition of a portfolio of royalties acrossmost bulk commodities, base and precious metals, battery minerals, and energy.",11,240
comp_43,Catalyst Metals Ltd,CYL AU Equity,118912495,2150000000.0,361410000.0,651930000.0,,Catalyst Metals Ltd. is a gold exploration and producing company. The Companyholds interests in advanced gold projects. Catalyst Metals serves customers inAustralia.,23,0
comp_44,NRW Holdings Ltd,NWH AU Equity,118300217,2110000000.0,3270000000.0,1700000000.0,9000,"NRW Holdings Limited provides mining and civil construction services. TheCompany offers rail formation, bulk earthworks, mine development, road andtunnel construction, topsoil removal, and a range of contract mining services.NRW Holdings serves customers in Australia.",100,7084
comp_45,Ora Banda Mining Ltd,OBM AU Equity,100038266,2090000000.0,404290000.0,444420000.0,,Ora Banda Mining Limited provides mining services. The Company explores anddevelops mineral properties. Ora Banda Mining serves customers in Australia.,66,1131
comp_46,Resolute Mining Ltd,RSG AU Equity,97088689,2040000000.0,1210000000.0,1330000000.0,,"Resolute Mining Limited provides mining services. The Company explores,develops, and operates gold mines. Resolute Mining serves customers inAustralia and Africa.",398,33368
comp_47,Deep Yellow Ltd,DYL AU Equity,6391948,1950000000.0,3880000.0,625080000.0,,Deep Yellow Limited is an advanced stage uranium exploration company progressingits core Namibian projects.,21,896
comp_48,Stanmore Resources Ltd,SMR AU Equity,131920968,1760000000.0,3630000000.0,5180000000.0,,Stanmore Resources Limited provides exploration and mining services. The Companyexplores and develops coal projects in the Australia. Stanmore Resources servescustomers worldwide.,24,1074
comp_49,Imdex Ltd,IMD AU Equity,8947813,1740000000.0,431400000.0,830150000.0,,Imdex Limited is a global mining-tech company. The Company develops drillingoptimization products and cloud-connected sensors to provide real-time rockknowledge and quality data. Imdex clients include drilling contractors andresource companies within the global minerals industry.,400,0
comp_50,Alkane Resources Ltd,ALK AU Equity,689216,1630000000.0,262360000.0,519380000.0,,"Alkane Resources Ltd is an gold producer and explorer. The Company produces goldfrom its 100% owned Tomingley Gold Project in NSW, and conducts exploration inNSW. Alkane also has investments in junior Australian gold developers.",75,6514
