:START_ID,:END_ID
bics_l4_76,bics_l3_36
bics_l4_106,bics_l3_36
bics_l4_90,bics_l3_36
bics_l4_15,bics_l3_36
bics_l4_122,bics_l3_9
bics_l4_127,bics_l3_48
bics_l4_69,bics_l3_18
bics_l4_27,bics_l3_36
bics_l4_91,bics_l3_36
bics_l4_47,bics_l3_18
bics_l4_10,bics_l3_46
bics_l4_88,bics_l3_34
bics_l4_49,bics_l3_38
bics_l4_33,bics_l3_34
bics_l4_114,bics_l3_42
bics_l4_19,bics_l3_18
bics_l4_63,bics_l3_44
bics_l4_86,bics_l3_48
bics_l4_105,bics_l3_16
bics_l4_25,bics_l3_11
bics_l4_113,bics_l3_42
bics_l4_4,bics_l3_20
bics_l4_124,bics_l3_40
bics_l4_40,bics_l3_37
bics_l4_104,bics_l3_34
bics_l4_37,bics_l3_13
bics_l4_43,bics_l3_16
bics_l4_97,bics_l3_47
bics_l4_100,bics_l3_55
bics_l4_21,bics_l3_11
bics_l4_136,bics_l3_50
bics_l4_96,bics_l3_10
bics_l4_98,bics_l3_34
bics_l4_68,bics_l3_28
bics_l4_50,bics_l3_27
bics_l4_87,bics_l3_36
bics_l4_23,bics_l3_51
bics_l4_17,bics_l3_42
bics_l4_11,bics_l3_5
bics_l4_93,bics_l3_40
bics_l4_34,bics_l3_55
bics_l4_41,bics_l3_12
bics_l4_74,bics_l3_4
bics_l4_94,bics_l3_7
bics_l4_108,bics_l3_10
bics_l4_103,bics_l3_20
bics_l4_132,bics_l3_52
bics_l4_120,bics_l3_8
bics_l4_9,bics_l3_3
bics_l4_80,bics_l3_52
bics_l4_20,bics_l3_10
bics_l4_133,bics_l3_19
bics_l4_46,bics_l3_49
bics_l4_44,bics_l3_17
bics_l4_66,bics_l3_55
bics_l4_16,bics_l3_9
bics_l4_2,bics_l3_9
bics_l4_89,bics_l3_38
bics_l4_83,bics_l3_17
bics_l4_134,bics_l3_10
bics_l4_22,bics_l3_25
bics_l4_45,bics_l3_17
bics_l4_52,bics_l3_34
bics_l4_65,bics_l3_26
bics_l4_92,bics_l3_47
bics_l4_38,bics_l3_52
bics_l4_53,bics_l3_54
bics_l4_51,bics_l3_19
bics_l4_75,bics_l3_4
bics_l4_123,bics_l3_14
bics_l4_85,bics_l3_35
bics_l4_112,bics_l3_38
bics_l4_36,bics_l3_47
bics_l4_107,bics_l3_4
bics_l4_95,bics_l3_37
bics_l4_30,bics_l3_17
bics_l4_109,bics_l3_39
bics_l4_84,bics_l3_35
bics_l4_71,bics_l3_29
bics_l4_18,bics_l3_8
bics_l4_135,bics_l3_4
bics_l4_70,bics_l3_46
bics_l4_130,bics_l3_51
bics_l4_1,bics_l3_1
bics_l4_8,bics_l3_55
bics_l4_58,bics_l3_23
bics_l4_6,bics_l3_2
bics_l4_54,bics_l3_43
bics_l4_59,bics_l3_23
bics_l4_64,bics_l3_25
bics_l4_77,bics_l3_44
bics_l4_29,bics_l3_53
bics_l4_129,bics_l3_3
bics_l4_5,bics_l3_54
bics_l4_57,bics_l3_22
bics_l4_116,bics_l3_40
bics_l4_39,bics_l3_16
bics_l4_35,bics_l3_49
bics_l4_31,bics_l3_49
bics_l4_26,bics_l3_9
bics_l4_62,bics_l3_55
bics_l4_125,bics_l3_49
bics_l4_81,bics_l3_52
bics_l4_42,bics_l3_15
bics_l4_73,bics_l3_31
bics_l4_82,bics_l3_34
bics_l4_119,bics_l3_45
bics_l4_117,bics_l3_27
bics_l4_99,bics_l3_44
bics_l4_118,bics_l3_29
bics_l4_56,bics_l3_24
bics_l4_79,bics_l3_32
bics_l4_48,bics_l3_32
bics_l4_121,bics_l3_44
bics_l4_115,bics_l3_40
bics_l4_24,bics_l3_32
bics_l4_7,bics_l3_7
bics_l4_102,bics_l3_30
bics_l4_128,bics_l3_49
bics_l4_28,bics_l3_47
bics_l4_101,bics_l3_54
bics_l4_61,bics_l3_23
bics_l4_14,bics_l3_6
bics_l4_3,bics_l3_34
bics_l4_13,bics_l3_44
bics_l4_131,bics_l3_52
bics_l4_111,bics_l3_41
bics_l4_55,bics_l3_21
bics_l4_137,bics_l3_50
bics_l4_12,bics_l3_5
bics_l4_67,bics_l3_40
bics_l4_60,bics_l3_35
bics_l4_78,bics_l3_39
bics_l4_72,bics_l3_16
bics_l4_32,bics_l3_49
bics_l4_110,bics_l3_52
bics_l4_126,bics_l3_33
