:START_ID,:END_ID,:TYPE,ROLE:string
deposit_0067,commodity_0015,HAS,Primary
deposit_0068,commodity_0057,HAS,Primary
deposit_0068,commodity_0066,HAS,Primary
deposit_0068,commodity_0077,HAS,Primary
deposit_0068,commodity_0105,HAS,Primary
deposit_0068,commodity_0139,HAS,Primary
deposit_0069,commodity_0010,HAS,Primary
deposit_0070,commodity_0001,HAS,Primary
deposit_0070,commodity_0010,HAS,Secondary
deposit_0070,commodity_0026,HAS,Secondary
deposit_0070,commodity_0093,HAS,Primary
deposit_0070,commodity_0137,HAS,Primary
deposit_0071,commodity_0010,HAS,Primary
deposit_0071,commodity_0018,HAS,Primary
deposit_0071,commodity_0026,HAS,Secondary
deposit_0071,commodity_0086,HAS,Primary
deposit_0071,commodity_0094,HAS,Primary
deposit_0071,commodity_0095,HAS,Secondary
deposit_0071,commodity_0099,HAS,Primary
deposit_0072,commodity_0010,HAS,Primary
deposit_0073,commodity_0010,HAS,Primary
deposit_0074,commodity_0010,HAS,Primary
deposit_0075,commodity_0001,HAS,Primary
deposit_0075,commodity_0010,HAS,Primary
deposit_0075,commodity_0026,HAS,Primary
deposit_0075,commodity_0093,HAS,Primary
deposit_0075,commodity_0137,HAS,Primary
deposit_0076,commodity_0010,HAS,Primary
deposit_0076,commodity_0086,HAS,Primary
deposit_0077,commodity_0010,HAS,Primary
deposit_0078,commodity_0086,HAS,Primary
deposit_0079,commodity_0015,HAS,Primary
deposit_0080,commodity_0015,HAS,Primary
deposit_0081,commodity_0010,HAS,Primary
deposit_0082,commodity_0037,HAS,Secondary
deposit_0082,commodity_0040,HAS,Primary
deposit_0083,commodity_0010,HAS,Primary
deposit_0084,commodity_0018,HAS,Primary
deposit_0084,commodity_0086,HAS,Primary
deposit_0085,commodity_0010,HAS,Primary
deposit_0086,commodity_0072,HAS,Primary
deposit_0086,commodity_0073,HAS,Primary
deposit_0087,commodity_0010,HAS,Primary
deposit_0088,commodity_0057,HAS,Primary
deposit_0088,commodity_0066,HAS,Secondary
deposit_0088,commodity_0105,HAS,Primary
deposit_0088,commodity_0139,HAS,Primary
