bicsl6ID:ID,text:string
bics_l6_1,Abrasive Products
bics_l6_2,Adv Rev-News/Sport/Entmt Web
bics_l6_3,Advanced Ceramics
bics_l6_4,Aircraft Electronics
bics_l6_5,Airport & Highway Const
bics_l6_6,Aluminum Foil for Packaging
bics_l6_7,Aluminum Smelting & Refining
bics_l6_8,Aquaculture
bics_l6_9,Ball & Roller Bearing
bics_l6_10,Bauxite Mining
bics_l6_11,Bicycle Parts
bics_l6_12,Bitum Coal & Lignite Surface
bics_l6_13,Bituminous Coal Underground
bics_l6_14,Bolts & Washers
bics_l6_15,Brick & Stone Bldg Matl Dealers
bics_l6_16,Business Process Outsourcing
bics_l6_17,Cable Line Construction
bics_l6_18,Carbon Fiber
bics_l6_19,Children's Apparel
bics_l6_20,Clay
bics_l6_21,Clinical Labs
bics_l6_22,Comm & Transmission Const
bics_l6_23,Commercial Veh Mfg - Electric
bics_l6_24,Commodities Brokerage
bics_l6_25,Communications Software
bics_l6_26,Concrete Pipe
bics_l6_27,Const/Mining Mach/Equip Whslrs
bics_l6_28,Copper Mining
bics_l6_29,Copper Smelting & Refining
bics_l6_30,Crude Oil Production
bics_l6_31,Crushed Stone
bics_l6_32,Currencies Trading
bics_l6_33,Diamonds
bics_l6_34,Dimension Stone
bics_l6_35,"Discretes, Sensors & Actuators"
bics_l6_36,E-Marketing
bics_l6_37,Electric Power Grid Parts & Svcs
bics_l6_38,Electric Utility Line Const
bics_l6_39,Energy Storage Systems
bics_l6_40,Fabricated Pipe & Pipe Fitting
bics_l6_41,"Fiber, Yarn & Thread"
bics_l6_42,Financial Advisory Services
bics_l6_43,Forging & Stamping
bics_l6_44,Fossil Electric - Regulated
bics_l6_45,Fuel Cells
bics_l6_46,Gambling Software
bics_l6_47,Gas Utility Line Construction
bics_l6_48,Gemstones
bics_l6_49,General Equip Finance & Leasing
bics_l6_50,General Management Consulting
bics_l6_51,Geothermal Energy Generation
bics_l6_52,Granite
bics_l6_53,Graphite Products
bics_l6_54,Health Care Software
bics_l6_55,Ice Cream
bics_l6_56,Imaging Equipment
bics_l6_57,Implement & Irrigation Equip
bics_l6_58,Ind Equip Finance & Leasing
bics_l6_59,Ind Process Furnace & Oven
bics_l6_60,Industrial Coatings
bics_l6_61,Industrial Gas
bics_l6_62,Industrial Pattern
bics_l6_63,Jewelry
bics_l6_64,Laminate & Wood Flooring
bics_l6_65,Lead
bics_l6_66,Limestone
bics_l6_67,Lithium
bics_l6_68,Long Products
bics_l6_69,Machine Shops
bics_l6_70,Machinery Rental Services
bics_l6_71,Maritime Construction
bics_l6_72,Metal Coat & Treating
bics_l6_73,Metal Containers
bics_l6_74,Metallic Ores & Metals - Rail
bics_l6_75,Mining Material Handling Equip
bics_l6_76,Mobile Data Services
bics_l6_77,Mobile Phone Services
bics_l6_78,Motor & Generator
bics_l6_79,Motorcycles - Electric
bics_l6_80,Nanotechnology
bics_l6_81,Natural Gas Distributors
bics_l6_82,Natural Gas Production
bics_l6_83,Network Construction
bics_l6_84,Nickel
bics_l6_85,Nonmetal Mineral Products
bics_l6_86,Nuclear Power Construction
bics_l6_87,Nuclear Power Gen Equip & Sys
bics_l6_88,Oil & Gas Infra Construction
bics_l6_89,Oil Pipelines & Storage
bics_l6_90,Organic Resins
bics_l6_91,Palladium
bics_l6_92,Petroleum Wholesalers
bics_l6_93,Phosphate Fertilizers
bics_l6_94,Phosphate Rock
bics_l6_95,Pipe & Tubular
bics_l6_96,Platinum
bics_l6_97,Port & Harbor Operators
bics_l6_98,"Potash, Soda, Borate"
bics_l6_99,Potassium Fertilizers
bics_l6_100,Power Plant Construction
bics_l6_101,Protein Alternatives
bics_l6_102,Radiology & Diagnostic Imaging
bics_l6_103,Railway & Subway Construction
bics_l6_104,Rare Earth
bics_l6_105,Recycling Facilities
bics_l6_106,Remediation Services
bics_l6_107,Sand & Gravel
bics_l6_108,Sheet Metal
bics_l6_109,Solar Plant Construction
bics_l6_110,Special Coated Metals
bics_l6_111,Steel Wire Drawing
bics_l6_112,Structural Metal & Plate Work
bics_l6_113,Sugar
bics_l6_114,Supermarket - Online
bics_l6_115,Surface Mining Machinery
bics_l6_116,Tool Accessories
bics_l6_117,Touch Solution
bics_l6_118,Underground Mining Machinery
bics_l6_119,VOIP Services
bics_l6_120,Water Heating Equipment
bics_l6_121,Water Utility Line Construction
bics_l6_122,Windows
bics_l6_123,Wire Products
bics_l6_124,Workstations
bics_l6_125,Zinc
